META; spain/la-liga-primera/getafe-v-betis; 2018-03-13 12:20:06 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 113/00; 1; 21/20; 1; 1; 1; 1; ; ; ; ; 
Draw; 12/5; 12/5; 49/20; 23/10; 12/5; 23/10; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 40/17
Betis; 14/5; 14/5; 29/10; 11/4; 14/5; 14/5; 11/4; 27/10; 14/5; 5/2; 14/5; 57/20; 27/10
META; spain/la-liga-primera/getafe-v-betis; 2018-03-13 20:17:57 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 113/00; 10/11; 1; 10/11; 1; 21/20; 1; 1; 1; 1; 5/6; ; ; ; 
Draw; 12/5; 12/5; 49/20; 11/5; 23/10; 11/5; 12/5; 23/10; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 40/17; 2
Betis; 14/5; 14/5; 29/10; 13/5; 11/4; 13/5; 14/5; 14/5; 11/4; 27/10; 14/5; 5/2; 14/5; 57/20; 27/10; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-14 20:17:45 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 21/20; 10/11; 1; 10/11; 1; 21/20; 1; 1; 1; 1; 5/6; ; ; ; 
Draw; 12/5; 12/5; 64/25; 11/5; 23/10; 11/5; 12/5; 23/10; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 40/17; 2
Betis; 14/5; 14/5; 61/20; 13/5; 11/4; 13/5; 14/5; 14/5; 11/4; 27/10; 14/5; 5/2; 14/5; 57/20; 27/10; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-15 13:10:17 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 21/20; 10/11; 1; 10/11; 1; 21/20; 1; 1; 1; 1; 5/6; ; ; ; ; 
Draw; 12/5; 12/5; 64/25; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 40/17; 2
Betis; 14/5; 14/5; 61/20; 13/5; 11/4; 13/5; 14/5; 14/5; 14/5; 11/4; 27/10; 14/5; 5/2; 14/5; 57/20; 27/10; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-15 20:17:48 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 21/20; 10/11; 1; 10/11; 1; 21/20; 1; 19/20; 1; 1; 5/6; ; ; ; ; 
Draw; 12/5; 12/5; 64/25; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 2; 
Betis; 14/5; 14/5; 61/20; 13/5; 11/4; 13/5; 14/5; 14/5; 14/5; 11/4; 27/10; 14/5; 5/2; 14/5; 57/20; 11/4; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-16 10:18:33 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 21/20; 10/11; 1; 10/11; 1; 21/20; 1; 1; 1; 5/6; ; ; ; ; ; 
Draw; 12/5; 12/5; 64/25; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 2; 
Betis; 14/5; 14/5; 61/20; 13/5; 11/4; 13/5; 14/5; 14/5; 14/5; 11/4; 28/11; 14/5; 5/2; 14/5; 57/20; 13/5; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-16 16:21:32 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 21/20; 10/11; 1; 10/11; 1; 21/20; 1; 1; 1; 5/6; ; ; ; ; ; 
Draw; 12/5; 12/5; 64/25; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 2; 
Betis; 14/5; 14/5; 61/20; 13/5; 11/4; 13/5; 14/5; 14/5; 14/5; 11/4; 28/11; 14/5; 5/2; 14/5; 57/20; 13/5; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-17 12:17:45 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 21/20; 10/11; 1; 10/11; 1; 21/20; 1; 19/20; 1; 1; 5/6; ; ; ; ; 
Draw; 12/5; 12/5; 64/25; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 2; 
Betis; 14/5; 14/5; 61/20; 13/5; 11/4; 13/5; 14/5; 14/5; 14/5; 11/4; 27/10; 14/5; 5/2; 14/5; 57/20; 11/4; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-18 14:17:14 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 21/20; 10/11; 1; 10/11; 1; 21/20; 1; 1; 1; 1; 5/6; ; ; ; ; 
Draw; 12/5; 12/5; 64/25; 11/5; 23/10; 11/5; 12/5; 23/10; 47/20; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 2; 
Betis; 14/5; 14/5; 61/20; 13/5; 11/4; 13/5; 14/5; 14/5; 14/5; 11/4; 27/10; 14/5; 5/2; 14/5; 57/20; 11/4; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-19 08:15:32 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 27/25; 10/11; 1; 10/11; 1; 21/20; 21/20; 1; 1; 1; 1; 10/11; ; ; ; ; 
Draw; 12/5; 12/5; 51/20; 11/5; 23/10; 11/5; 12/5; 23/10; 5/2; 47/20; 5/2; 40/17; 9/4; 12/5; 40/17; 12/5; 21/10; 
Betis; 11/4; 14/5; 74/25; 13/5; 11/4; 13/5; 29/10; 14/5; 13/5; 14/5; 11/4; 27/10; 14/5; 5/2; 37/13; 14/5; 27/10; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-20 08:16:10 GMT+2; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 27/25; 10/11; 1; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 1; 1; 1; 10/11; ; ; ; ; 
Draw; 12/5; 12/5; 51/20; 11/5; 23/10; 11/5; 12/5; 12/5; 23/10; 5/2; 47/20; 5/2; 12/5; 40/17; 9/4; 12/5; 40/17; 12/5; 21/10; 
Betis; 14/5; 14/5; 74/25; 13/5; 11/4; 13/5; 29/10; 11/4; 14/5; 13/5; 14/5; 11/4; 14/5; 27/10; 14/5; 5/2; 37/13; 14/5; 27/10; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-21 14:17:11 GMT+2; 2018-04-02 19:00; e70300-dr003
Getafe; 1; 1; 27/25; 10/11; 1; 10/11; 1; 1; 21/20; 1; 1; 30/29; 1; 1; 5/6; ; ; ; ; ; 
Draw; 12/5; 23/10; 12/5; 51/20; 11/5; 23/10; 11/5; 12/5; 9/4; 12/5; 23/10; 47/20; 5/2; 23/10; 40/17; 9/4; 5/2; 40/17; 12/5; 12/5; 21/10
Betis; 14/5; 14/5; 14/5; 74/25; 13/5; 11/4; 13/5; 29/10; 11/4; 11/4; 14/5; 14/5; 11/4; 13/5; 45/17; 14/5; 14/5; 37/13; 14/5; 27/10; 12/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-22 12:36:08 GMT+2; 2018-04-02 19:00; e70300-dr003
Getafe; 1; 1; 27/25; 10/11; 1; 10/11; 1; 1; 21/20; 1; 1; 30/29; 1; 1; 5/6; 1; ; ; ; ; ; 
Draw; 12/5; 23/10; 12/5; 51/20; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 23/10; 47/20; 5/2; 23/10; 40/17; 9/4; 5/2; 40/17; 12/5; 40/17; 11/5; 12/5
Betis; 14/5; 14/5; 14/5; 74/25; 13/5; 11/4; 13/5; 29/10; 11/4; 11/4; 14/5; 14/5; 11/4; 13/5; 45/17; 14/5; 14/5; 37/13; 14/5; 27/10; 12/5; 14/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-23 14:42:48 GMT+2; 2018-04-02 19:00; e70300-dr003
Getafe; 1; 1; 27/25; 10/11; 1; 10/11; 21/20; 1; 1; 21/20; 1; 1; 30/29; 21/20; 1; 5/6; 1; ; ; ; ; 
Draw; 12/5; 23/10; 12/5; 51/20; 23/10; 23/10; 23/10; 27/11; 9/4; 12/5; 23/10; 47/20; 5/2; 23/10; 40/17; 9/4; 5/2; 12/5; 12/5; 40/17; 21/10; 12/5
Betis; 14/5; 11/4; 14/5; 74/25; 13/5; 11/4; 13/5; 27/10; 27/10; 11/4; 14/5; 11/4; 11/4; 13/5; 13/5; 14/5; 14/5; 45/17; 11/4; 45/17; 12/5; 14/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-26 12:16:27 GMT+3; 2018-04-02 20:00; e70300-dr003
Getafe; 1; 1; 27/25; 10/11; 1; 10/11; 21/20; 1; 21/20; 21/20; 1; 1; 30/29; 21/20; 1; 10/11; 1; ; ; ; ; 
Draw; 12/5; 23/10; 12/5; 51/20; 23/10; 23/10; 23/10; 27/11; 9/4; 12/5; 23/10; 47/20; 5/2; 23/10; 40/17; 9/4; 5/2; 12/5; 47/20; 21/10; 12/5; 
Betis; 14/5; 11/4; 14/5; 74/25; 13/5; 11/4; 13/5; 27/10; 27/10; 11/4; 11/4; 11/4; 11/4; 13/5; 45/17; 14/5; 14/5; 45/17; 11/4; 27/10; 12/5; 14/5
META; spain/la-liga-primera/getafe-v-betis; 2018-03-27 08:16:11 GMT+3; 2018-04-02 20:00; e70300-dr003
