META; spain/la-liga-primera/malaga-v-betis; 2017-12-07 10:55:38 GMT+2; 2017-12-18 20:00; e70300-dr003
Malaga; 13/10; ; 5/4; 11/8; 13/10; 13/10; 13/10; 13/10; 23/17; 5/4; ; 5/4; ; 13/10; ; ; 13/10; 5/4; 67/50; 24/19; 23/17; 13/10; 5/4; 13/10; 5/4; ; 10/11; ; 
Betis; 2; ; 21/10; 19/10; 2; 21/10; ; 21/10; 21/10; 2; ; 21/10; ; 41/20; ; ; 2; 2; 23/10; 133/67; 21/10; 2; 21/10; 21/10; 39/19; ; 6/4; ; 
Draw; ; ; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 11/5; 23/10; ; 12/5; ; 12/5; ; ; 23/10; 23/10; 63/25; 45/17; 11/5; 12/5; 5/2; 47/20; 40/17; ; 2; ; 
META; spain/la-liga-primera/malaga-v-betis; 2017-12-08 12:13:49 GMT+2; 2017-12-18 20:00; e70300-dr003
Malaga; 13/10; 5/4; 5/4; 11/8; 13/10; 13/10; 13/10; 13/10; 23/17; 5/4; ; 5/4; ; 13/10; ; ; 13/10; 5/4; 67/50; 24/19; 23/17; 13/10; 5/4; 13/10; 5/4; ; 20/21; ; 
Betis; 2; 21/10; 21/10; 19/10; 2; 21/10; ; 21/10; 21/10; 2; ; 21/10; ; 41/20; ; ; 2; 2; 23/10; 133/67; 21/10; 2; 21/10; 21/10; 39/19; ; 6/4; ; 
Draw; ; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 11/5; 23/10; ; 12/5; ; 12/5; ; ; 23/10; 23/10; 63/25; 45/17; 11/5; 12/5; 5/2; 47/20; 23/10; ; 2; ; 
META; spain/la-liga-primera/malaga-v-betis; 2017-12-11 18:14:00 GMT+2; 2017-12-18 20:00; e70300-dr003
Malaga; 21/20; 11/10; 11/10; 23/20; 11/10; 6/5; 11/10; 11/10; 6/5; 11/10; 23/20; 11/10; ; 23/20; 23/20; ; 11/10; 11/10; 119/100; 8/7; 6/5; 11/10; 23/20; 11/10; 11/10; ; 5/6; 21/20; 23/20
Betis; 5/2; 12/5; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 40/17; 23/10; 5/2; 23/10; ; 12/5; 12/5; ; 12/5; 40/17; 127/50; 23/10; 40/17; 12/5; 12/5; 49/20; 40/17; ; 9/5; 21/10; 5/2
Draw; 12/5; 5/2; 12/5; 12/5; ; 12/5; 12/5; 12/5; 40/17; ; 5/2; 5/2; ; 49/20; 12/5; ; 23/10; 40/17; 131/50; 28/11; 40/17; 12/5; 5/2; 12/5; 12/5; ; 2; 11/5; 5/2
META; spain/la-liga-primera/malaga-v-betis; 2017-12-12 10:58:30 GMT+2; 2017-12-18 20:00; e70300-dr003
Malaga; 21/20; 11/10; 11/10; ; 11/10; 6/5; 11/10; 11/10; 6/5; 11/10; 23/20; 11/10; ; 23/20; 23/20; ; 11/10; 11/10; 6/5; 8/7; 6/5; 11/10; 23/20; 11/10; 11/10; ; 21/20; 21/20; 
Betis; 5/2; 12/5; 23/10; ; 12/5; 12/5; 23/10; 23/10; 40/17; 23/10; 5/2; 23/10; ; 12/5; 12/5; ; 12/5; 12/5; 62/25; 23/10; 40/17; 5/2; 12/5; 49/20; 12/5; ; 21/10; 21/10; 
Draw; 12/5; 5/2; 12/5; ; ; 12/5; 12/5; 12/5; 40/17; ; 5/2; 5/2; ; 49/20; 12/5; ; 23/10; 12/5; 53/20; 28/11; 40/17; 12/5; 5/2; 12/5; 27/11; ; 21/10; 11/5; 
