META; spain/la-liga-primera/celta-vigo-v-villarreal; 2017-12-07 10:55:30 GMT+2; 2017-12-17 15:15; e70300-dr003
Celta Vigo; 27/20; ; 26/19; 29/20; 7/5; 29/20; 7/5; 7/5; 6/4; 27/20; ; 11/8; ; 29/20; 7/5; ; 7/5; 23/17; 36/25; 26/19; 6/4; 7/5; 7/5; 11/8; 23/17; ; 11/10; ; 
Villarreal; 2; ; 19/10; 15/8; 37/19; 2; 9/5; 15/8; 19/10; 19/10; ; 2; ; 19/10; 2; ; 37/19; 19/10; 85/40; 28/15; 19/10; 2; 15/8; 39/20; 37/19; ; 6/4; ; 
Draw; ; ; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; ; 23/10; ; 47/20; 23/10; ; 11/5; 23/10; 5/2; 28/11; 11/5; 23/10; 5/2; 47/20; 23/10; ; 2; ; 
META; spain/la-liga-primera/celta-vigo-v-villarreal; 2017-12-08 12:13:42 GMT+2; 2017-12-17 15:15; e70300-dr003
Celta Vigo; 27/20; 7/5; 26/19; 29/20; 7/5; 29/20; 7/5; 7/5; 6/4; 27/20; ; 11/8; ; 29/20; 7/5; ; 7/5; 23/17; 36/25; 26/19; 6/4; 7/5; 7/5; 11/8; 23/17; ; 11/10; ; 
Villarreal; 2; 19/10; 19/10; 15/8; 37/19; 2; 9/5; 15/8; 19/10; 19/10; ; 2; ; 19/10; 2; ; 37/19; 19/10; 85/40; 28/15; 19/10; 2; 15/8; 39/20; 37/19; ; 6/4; ; 
Draw; ; 12/5; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; ; 23/10; ; 47/20; 23/10; ; 11/5; 23/10; 5/2; 28/11; 11/5; 23/10; 5/2; 47/20; 23/10; ; 2; ; 
META; spain/la-liga-primera/celta-vigo-v-villarreal; 2017-12-11 18:13:52 GMT+2; 2017-12-17 15:15; e70300-dr003
Celta Vigo; 11/8; 13/10; ; 29/20; 23/17; 7/5; 13/10; 11/8; 7/5; 13/10; 7/5; 13/10; ; 27/20; 13/10; ; 23/17; 13/10; 11/8; 13/10; 7/5; 13/10; 11/8; 27/20; 13/10; ; 11/8; 6/5; 13/10
Villarreal; 19/10; 2; ; 15/8; 21/10; 2; 19/10; 2; 2; 2; 2; 2; ; 41/20; 21/10; ; 21/10; 39/19; 111/50; 21/10; 2; 2; 2; 2; 39/19; ; 2; 19/10; 11/5
Draw; ; 12/5; 23/10; 23/10; 21/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; ; 21/10; 40/17; 63/25; 12/5; 23/10; 12/5; 12/5; 47/20; 40/17; ; 11/5; 21/10; 5/2
META; spain/la-liga-primera/celta-vigo-v-villarreal; 2017-12-12 10:58:22 GMT+2; 2017-12-17 15:15; e70300-dr003
Celta Vigo; 11/8; 13/10; ; ; 23/17; 7/5; 13/10; 11/8; 7/5; 13/10; 7/5; 13/10; ; 27/20; 13/10; ; 23/17; 13/10; 11/8; 13/10; 7/5; 13/10; 11/8; 27/20; 13/10; ; 5/4; 6/5; 7/5
Villarreal; 19/10; 2; ; ; 21/10; 2; 19/10; 2; 2; 2; 2; 2; ; 41/20; 21/10; ; 21/10; 39/19; 111/50; 21/10; 2; 2; 2; 2; 39/19; ; 2; 19/10; 
Draw; ; 12/5; 23/10; ; 21/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; ; 21/10; 40/17; 63/25; 12/5; 23/10; 12/5; 12/5; 47/20; 40/17; ; 9/4; 21/10; 
