META; spain/la-liga-primera/athletic-bilbao-v-eibar; 2018-01-10 12:21:14 GMT+2; ; e70300-dr003
Athletic Bilbao; ; ; ; ; 1; ; 10/11; ; ; ; ; ; ; ; ; ; 10/11; ; 10/11; ; ; 10/11; ; 10/11; ; ; ; ; 
Draw; ; ; ; ; 5/2; ; 23/10; ; ; ; ; ; ; ; ; ; 12/5; ; 12/5; ; ; 12/5; ; 12/5; ; ; ; ; 
Eibar; ; ; ; ; 67/20; ; 3; ; ; ; ; ; ; ; ; ; 3; ; 3; ; ; 3; ; 16/5; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-eibar; 2018-01-10 13:42:29 GMT+2; 2018-01-26 20:00; e70300-dr003
Athletic Bilbao; ; ; ; ; 1; ; 10/11; ; ; ; ; ; ; ; ; ; 10/11; ; 10/11; ; ; 10/11; ; 10/11; ; ; ; 
Draw; ; ; ; ; 5/2; ; 23/10; ; ; ; ; ; ; ; ; ; 12/5; ; 12/5; ; ; 12/5; ; 12/5; ; ; ; 
Eibar; ; ; ; ; 67/20; ; 3; ; ; ; ; ; ; ; ; ; 3; ; 3; ; ; 3; ; 16/5; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-eibar; 2018-01-17 12:26:06 GMT+2; 2018-01-26 20:00; e70300-dr003
Athletic Bilbao; 8/11; 4/5; 4/5; 4/5; 43/50; 4/5; 3/4; 4/5; 4/5; 4/5; ; 4/5; ; 5/6; 5/6; 3/4; 4/5; 10/13; 4/5; 11/14; 4/5; 4/5; 3/4; 4/5; 10/13; 4/7; ; 
Draw; 13/5; 5/2; 12/5; 5/2; 51/20; 5/2; 12/5; 5/2; 12/5; 12/5; ; 12/5; ; 49/20; 12/5; 23/10; 5/2; 12/5; 5/2; 28/11; 12/5; 5/2; 13/5; 51/20; 12/5; 15/8; ; 
Eibar; 15/4; 18/5; 18/5; 18/5; 41/10; 15/4; 7/2; 7/2; 37/10; 18/5; ; 15/4; ; 37/10; 15/4; 7/2; 10/3; 37/10; 10/3; 41/13; 37/10; 19/5; 19/5; 15/4; 15/4; 27/10; ; 
META; spain/la-liga-primera/athletic-bilbao-v-eibar; 2018-01-18 18:19:22 GMT+2; 2018-01-26 20:00; e70300-dr003
Athletic Bilbao; 8/11; 4/5; 4/5; 4/5; 43/50; 4/5; 3/4; 4/5; 4/5; 4/5; ; 4/5; ; 5/6; 5/6; 3/4; 4/5; 10/13; 4/5; 11/14; 4/5; 4/5; 3/4; 4/5; 10/13; 8/11; ; 
Draw; 13/5; 5/2; 12/5; 5/2; 51/20; 5/2; 12/5; 5/2; 12/5; 12/5; ; 12/5; ; 49/20; 12/5; 23/10; 5/2; 12/5; 5/2; 28/11; 12/5; 5/2; 13/5; 51/20; 12/5; 11/5; ; 
Eibar; 15/4; 18/5; 18/5; 18/5; 41/10; 15/4; 7/2; 7/2; 37/10; 18/5; ; 15/4; ; 18/5; 15/4; 7/2; 10/3; 37/10; 10/3; 41/13; 37/10; 19/5; 19/5; 15/4; 15/4; 1/4; ; 
META; spain/la-liga-primera/athletic-bilbao-v-eibar; 2018-01-19 12:15:35 GMT+2; 2018-01-26 20:00; e70300-dr003
Athletic Bilbao; 4/5; 4/5; 4/5; 4/5; 43/50; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; ; 5/6; 5/6; 3/4; 4/5; 10/13; 4/5; 11/14; 4/5; 4/5; 4/5; 4/5; 10/13; ; 8/15; ; 
Draw; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; ; 49/20; 12/5; 23/10; 5/2; 40/17; 5/2; 28/11; 12/5; 5/2; 5/2; 51/20; 12/5; ; 11/5; ; 
Eibar; 7/2; 18/5; 18/5; 18/5; 41/10; 15/4; 7/2; 7/2; 37/10; 18/5; 19/5; 15/4; ; 18/5; 15/4; 7/2; 10/3; 62/17; 10/3; 41/13; 37/10; 19/5; 19/5; 15/4; 62/17; ; 14/5; ; 
