META; spain/la-liga-primera/sevilla-v-deportivo-la-coruna; 2017-12-01 18:24:08 GMT+2; 2017-12-02 17:30; e70300-dr003
Sevilla ; 4/9; 4/9; 4/9; 4/9; 5/12; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 5/11; 40/85; 4/9; 4/9; 5/12; 3/7; 23/50; 5/11; 3/7; 4/9; 9/20; 21/50; 3/7; ; 4/9; 4/9; 4/9
Draw; 7/2; 18/5; 7/2; 18/5; 15/4; 15/4; 7/2; 7/2; 37/10; 18/5; 18/5; 7/2; 10/3; 37/10; 4; 15/4; 15/4; 37/10; 41/10; 4; 18/5; 7/2; 4; 15/4; 15/4; ; 7/2; 7/2; 7/2
Deportivo La Coruna; 13/2; 11/2; 11/2; 11/2; 25/4; 6; 11/2; 6; 13/2; 6; 13/2; 11/2; 6; 6; 11/2; 6; 25/4; 25/4; 13/2; 11/2; 6; 11/2; 6; 7; 25/4; ; 33/5; 33/5; 13/2
