META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-19 16:18:25 GMT+2; 2018-02-27 20:30; e70300-dr003
Girona; 21/20; ; ; ; 61/50; 6/5; 11/10; 11/10; ; ; ; 23/20; ; 6/5; 23/20; 11/10; 15/13; 15/13; 10/9; ; 11/10; ; 11/10; 15/13; ; ; ; 
Celta Vigo; 5/2; ; ; ; 64/25; 12/5; 23/10; 11/5; ; ; ; 9/4; ; 23/10; 9/4; 9/4; 9/4; 11/5; 39/19; ; 12/5; 23/10; 47/20; 23/10; ; ; ; 
Draw; 12/5; ; ; ; 63/25; 12/5; 12/5; 9/4; ; ; ; 5/2; ; 49/20; 13/5; 9/4; 23/10; 12/5; 13/5; ; 5/2; 13/5; 49/20; 40/17; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-20 12:17:20 GMT+2; 2018-02-27 20:30; e70300-dr003
Girona; 21/20; 6/5; ; ; 61/50; 23/20; 11/10; 1; 11/10; ; 11/10; 11/10; ; 6/5; 23/20; 11/10; 11/10; 15/13; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; ; ; ; 
Celta Vigo; 5/2; 11/5; ; ; 64/25; 12/5; 9/4; 9/4; 12/5; ; 12/5; 12/5; ; 11/5; 9/4; 9/4; 23/10; 11/5; 21/10; 12/5; 12/5; 9/4; 47/20; 40/17; ; ; ; 
Draw; 12/5; 12/5; ; ; 63/25; 5/2; 12/5; 23/10; 27/11; ; 5/2; 12/5; ; 49/20; 13/5; 9/4; 40/17; 12/5; 13/5; 27/11; 5/2; 13/5; 49/20; 12/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-24 12:16:37 GMT+2; 2018-02-27 20:30; e70300-dr003
Girona; 6/5; 5/4; 5/4; 5/4; 33/25; 5/4; 5/4; 11/10; 6/5; 5/4; 6/5; 13/10; ; 27/20; 5/4; 6/5; 5/4; 15/13; 17/14; 6/5; 5/4; 5/4; 5/4; 5/4; ; 23/20; 6/5; 
Celta Vigo; 23/10; 21/10; 2; 21/10; 57/25; 11/5; 21/10; 2; 28/13; 2; 11/5; 21/10; ; 41/20; 11/5; 2; 28/13; 11/5; 19/10; 28/13; 85/40; 85/40; 21/10; 28/13; ; 2; 17/10; 
Draw; 23/10; 12/5; 12/5; 12/5; 129/50; 5/2; 12/5; 23/10; 27/11; 23/10; 12/5; 23/10; ; 49/20; 12/5; 9/4; 12/5; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; 23/10; 2; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-27 18:15:44 GMT+2; 2018-02-27 20:30; e70300-dr003
Girona; 7/5; 13/10; 26/19; 11/8; 29/20; 7/5; 7/5; 11/8; 7/5; 11/8; 11/8; 7/5; 7/5; 29/20; 7/5; 13/10; 7/5; 7/5; 7/5; 11/8; 29/20; 7/5; 7/5; ; 7/5; 7/5; 7/5
Celta Vigo; 15/8; 2; 19/10; 2; 52/25; 2; 15/8; 15/8; 39/19; 19/10; 19/10; 19/10; 2; 39/20; 2; 2; 37/19; 37/19; 2; 2; 2; 19/10; 37/19; ; 19/10; 19/10; 2
Draw; 5/2; 12/5; 12/5; 9/4; 51/20; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 12/5; 12/5; 27/11; 40/17; 5/2; 5/2; 12/5; ; 12/5; 12/5; 5/2
