META; spain/la-liga-primera/betis-v-villarreal; 2018-01-22 12:15:12 GMT+2; 2018-02-03 15:15; e70300-dr003
Betis; 6/4; 6/4; ; ; 42/25; 31/20; 6/4; 6/4; ; ; ; ; ; ; ; 6/4; 8/5; 6/4; 8/5; 22/15; ; 6/4; 31/20; 31/20; 17/11; 23/20; ; 
Villarreal; 7/4; 17/10; ; ; 46/25; 9/5; 17/10; 9/5; ; ; ; ; ; ; ; 9/5; 17/10; 17/10; 17/10; 29/18; ; 13/8; 7/4; 17/10; 17/10; 11/8; ; 
Draw; 23/10; 5/2; ; ; 49/20; 12/5; 23/10; 23/10; ; ; ; ; ; ; ; 12/5; 11/5; 9/4; 11/5; 12/5; ; 12/5; 12/5; 47/20; 9/4; 7/4; ; 
META; spain/la-liga-primera/betis-v-villarreal; 2018-01-23 02:14:40 GMT+2; 2018-02-03 15:15; e70300-dr003
Betis; 6/4; 6/4; ; 8/5; 33/20; 8/5; 6/4; 8/5; 8/5; ; ; 31/20; ; 8/5; 8/5; 8/5; 8/5; 6/4; 8/5; 22/15; 8/5; 6/4; 31/20; 31/20; 17/11; 10/9; ; 
Villarreal; 7/4; 17/10; ; 13/8; 183/ 100; 9/5; 17/10; 7/4; 28/17; ; ; 17/10; ; 17/10; 7/4; 7/4; 17/10; 28/17; 17/10; 29/18; 28/17; 13/8; 17/10; 17/10; 17/10; 6/5; ; 
Draw; 23/10; 5/2; ; 12/5; 63/25; 12/5; 23/10; 12/5; 40/17; ; ; 23/10; ; 12/5; 23/10; 12/5; 11/5; 23/10; 11/5; 12/5; 40/17; 12/5; 5/2; 47/20; 23/10; 19/10; ; 
META; spain/la-liga-primera/betis-v-villarreal; 2018-01-23 17:20:49 GMT+2; 2018-02-03 15:15; e70300-dr003
Betis; 6/4; 6/4; ; 8/5; 33/20; 31/20; 6/4; 8/5; 8/5; ; ; 31/20; ; 8/5; 8/5; 6/4; 8/5; 6/4; 8/5; 22/15; 8/5; 6/4; 31/20; 31/20; 17/11; 6/5; ; 
Villarreal; 7/4; 17/10; ; 13/8; 183/ 100; 7/4; 17/10; 7/4; 28/17; ; ; 17/10; ; 17/10; 7/4; 17/10; 17/10; 28/17; 17/10; 29/18; 28/17; 13/8; 17/10; 17/10; 17/10; 13/10; ; 
Draw; 23/10; 5/2; ; 12/5; 63/25; 12/5; 23/10; 12/5; 40/17; ; ; 23/10; ; 12/5; 23/10; 12/5; 11/5; 23/10; 11/5; 12/5; 40/17; 12/5; 5/2; 47/20; 23/10; 19/10; ; 
META; spain/la-liga-primera/betis-v-villarreal; 2018-01-24 12:16:16 GMT+2; 2018-02-03 15:15; e70300-dr003
Villarreal; 8/5; 6/4; ; 13/8; 13/8; 13/8; 6/4; ; 28/17; ; ; 31/20; ; 8/5; 17/10; 6/4; 17/10; 6/4; 17/10; 22/15; 28/17; 6/4; 31/20; 31/20; 17/11; ; 6/5; ; 
Betis; 33/20; 17/10; ; 8/5; 93/50; 17/10; 13/8; ; 8/5; ; ; 17/10; ; 17/10; 13/8; 17/10; 8/5; 28/17; 8/5; 20/13; 8/5; 7/4; 17/10; 17/10; 28/17; ; 13/10; ; 
Draw; 23/10; 5/2; ; 12/5; 63/25; 12/5; 23/10; ; 40/17; ; ; 12/5; ; 12/5; 12/5; 12/5; 11/5; 23/10; 11/5; 28/11; 40/17; 12/5; 5/2; 47/20; 23/10; ; 19/10; ; 
META; spain/la-liga-primera/betis-v-villarreal; 2018-01-30 12:17:13 GMT+2; 2018-02-03 15:15; e70300-dr003
Villarreal; 6/4; 6/4; 7/5; 7/5; 6/4; 6/4; 7/5; 7/5; 17/11; 11/8; 29/20; 7/5; ; 29/20; 6/4; 11/8; 6/4; 16/11; 6/4; 13/9; 17/11; 7/5; 29/20; 7/5; 16/11; ; 7/5; 13/10; 7/5
Betis; 9/5; 17/10; 9/5; 9/5; 39/20; 9/5; 7/4; 17/10; 7/4; 7/4; 9/5; 7/4; ; 7/4; 9/5; 17/10; 7/4; 9/5; 7/4; 24/13; 7/4; 9/5; 9/5; 9/5; 24/13; ; 13/8; 17/10; 19/10
Draw; 23/10; 5/2; 5/2; 5/2; 131/ 50; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; ; 5/2; 12/5; 23/10; 9/4; 27/11; 9/4; 28/11; 12/5; 5/2; 5/2; 49/20; 27/11; ; 9/4; 21/10; 5/2
