META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-10 08:16:54 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 11/10; 11/10; 10/11; 21/20; 10/11; 21/20; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 4/5; 
Draw; 9/4; 123/50; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 19/10
Real Sociedad; 13/5; 3; 13/5; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 11/4; 13/5; 28/11; 11/4; 11/4; 45/17; 9/4
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-11 12:54:36 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 11/10; 11/10; 10/11; 21/20; 10/11; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 8/11; 
Draw; 9/4; 123/50; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 1/4
Real Sociedad; 13/5; 3; 13/5; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 13/5; 13/5; 28/11; 11/4; 11/4; 45/17; 12/5
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-11 20:18:33 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 11/10; 11/10; 10/11; 21/20; 10/11; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 8/11; 
Draw; 9/4; 123/0; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 1/4
Real Sociedad; 13/5; 3; 13/5; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 13/5; 13/5; 28/11; 11/4; 11/4; 45/17; 12/5
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-12 10:45:50 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 11/10; 11/10; 10/11; 21/20; 10/11; 21/20; 1; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 5/6; 
Draw; 9/4; 123/0; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; 23/10; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 7/4
Real Sociedad; 13/5; 3; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 27/10; 13/5; 13/5; 13/5; 28/11; 11/4; 11/4; 45/17; 11/5
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-13 08:16:47 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 11/10; 119/100; 23/20; 11/10; 1; 21/20; 11/10; 6/5; 5/4; 23/20; 11/10; 11/10; 7/6; 21/20; 23/20; 15/13; 5/6; 4/6
Draw; 9/4; 61/25; 23/10; 9/4; 21/10; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 1/4; 1/50
Real Sociedad; 13/5; 137/50; 13/5; 5/2; 12/5; 11/4; 5/2; 12/5; 47/20; 5/2; 5/2; 27/11; 21/10; 11/4; 12/5; 27/11; 11/5; 1/5
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-13 16:17:11 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 11/10; 23/20; 11/10; 119/00; 23/20; 11/10; 1; 21/20; 23/20; 11/10; 11/10; 5/4; 23/20; 11/10; 5/4; 7/6; 21/20; 23/20; 5/4; 21/20; 11/10
Draw; 9/4; 11/5; 9/4; 61/25; 23/10; 9/4; 21/10; 23/10; 11/5; 23/10; 23/10; 9/4; 23/10; 23/10; 40/17; 40/17; 23/10; 12/5; 40/17; 21/10; 11/5
Real Sociedad; 13/5; 12/5; 13/5; 137/0; 13/5; 5/2; 12/5; 11/4; 12/5; 5/2; 5/2; 47/20; 5/2; 13/5; 28/13; 21/10; 11/4; 12/5; 28/13; 12/5; 13/5
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-14 12:19:02 GMT+3; 2018-04-17 15:00; e70300-dr003
Atletico Madrid; 23/20; 23/20; 23/20; 11/10; 119/00; 23/20; 11/10; 1; 21/20; 23/20; 6/5; 5/4; 23/20; 11/10; 6/5; 11/10; 7/6; 21/20; 23/20; 6/5; 21/20; 10/9; 
Draw; 11/5; 9/4; 11/5; 9/4; 61/25; 23/10; 9/4; 21/10; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 40/17; 23/10; 12/5; 21/10; 11/5; 
Real Sociedad; 5/2; 5/2; 12/5; 13/5; 137/0; 13/5; 5/2; 12/5; 11/4; 12/5; 5/2; 12/5; 47/20; 5/2; 5/2; 23/10; 12/5; 21/10; 11/4; 12/5; 9/4; 12/5; 5/2
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-16 20:38:30 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 5/4; 5/4; 5/4; 5/4; 131/00; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 11/10; 24/19; 16/13; 5/4; 5/4; 5/4; 10/9; 10/9; 13/10; 13/10
Draw; 23/10; 9/4; 11/5; 11/5; 12/5; 23/10; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; 9/4; 12/5; 23/10; 9/4; 21/10; 11/5; 23/10; 23/10
Real Sociedad; 23/10; 9/4; 9/4; 23/10; 62/25; 12/5; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 47/20; 23/10; 23/10; 11/5; 12/5; 9/4; 40/17; 9/4; 23/10; 12/5; 13/8; 15/8; 9/4; 23/10
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-17 20:40:44 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 5/4; 13/10; 5/4; 5/4; 34/25; 5/4; 13/10; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 5/4; 13/10; 16/13; 13/10; 13/10; 13/10; 23/20; 10/9; 13/10
Real Sociedad; 23/10; 11/5; 9/4; 23/10; 59/25; 12/5; 11/5; 23/10; 12/5; 9/4; 9/4; 23/10; 11/5; 47/20; 9/4; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 9/4; 9/4; 21/10; 15/8; 23/10
Draw; 23/10; 11/5; 21/10; 11/5; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 9/4; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 40/17; 9/4; 23/10; 23/10; 9/4; 11/5; 19/10; 23/10
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-18 15:21:37 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 5/4; 5/4; 5/4; 5/4; 34/25; 5/4; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 16/13; 13/10; 13/10; 13/10; 5/4; 5/4; 13/10; 13/10
Draw; 23/10; 9/4; 21/10; 11/5; 59/25; 23/10; 11/5; 9/4; 23/10; 11/5; 11/5; 11/5; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10
Real Sociedad; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 11/5; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 12/5; 40/17; 12/5; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-19 08:15:52 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 5/4; 5/4; 5/4; 13/10; 131/100; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 13/10; 5/4; 5/4; 14/11; 16/13; 13/10; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4
Draw; 23/10; 11/5; 21/10; 11/5; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 11/5; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 23/10; 21/10; 23/10; 12/5
Real Sociedad; 23/10; 9/4; 23/10; 11/5; 62/25; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 9/4; 23/10; 23/10; 23/10; 12/5; 40/17; 12/5; 40/17; 12/5; 23/10; 11/5; 12/5; 12/5
META; spain/la-liga-primera/real-sociedad-v-atletico-madrid; 2018-04-19 10:14:24 GMT+3; 2018-04-19 18:30; e70300-dr003
Atletico Madrid; 5/4; 5/4; 5/4; 5/4; 131/100; 6/5; 5/4; 11/10; 5/4; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4; 14/11; 16/13; 13/10; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10
Draw; 23/10; 11/5; 21/10; 9/4; 12/5; 12/5; 11/5; 23/10; 23/10; 11/5; 9/4; 21/10; 9/4; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5
Real Sociedad; 23/10; 9/4; 23/10; 9/4; 62/25; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 9/4; 12/5; 23/10; 23/10; 12/5; 40/17; 12/5; 40/17; 12/5; 23/10; 12/5; 12/5; 12/5
