META; spain/la-liga-primera/las-palmas-v-betis; 2017-12-01 18:24:21 GMT+2; 2017-12-03 19:45; e70300-dr003
Las Palmas; 6/5; 23/20; 6/5; 5/4; 6/5; 6/5; 5/4; 11/10; 5/4; 6/5; 6/5; 6/5; 13/10; 6/5; 5/4; 6/5; 6/5; 6/5; 32/25; 17/14; 16/13; 6/5; 6/5; 5/4; 5/4; ; 6/5; 6/5; 5/4
Betis; 21/10; 2; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 28/13; 21/10; 11/5; 21/10; 9/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 28/13; 21/10; 2; 2; 21/10; 28/13; ; 19/10; 2; 21/10
Draw; 5/2; 11/4; 13/5; 11/5; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 27/10; 5/2; 13/5; 13/5; 28/11; 69/25; 27/10; 28/11; 13/5; 11/4; 27/10; 13/5; ; 12/5; 12/5; 27/10
