META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-22 12:15:25 GMT+2; 2018-02-04 17:30; e70300-dr003
Girona; 13/8; 13/8; ; ; 83/50; 13/8; 8/5; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 8/5; 8/5; 52/35; ; 13/8; 13/8; 33/20; 28/17; 23/20; ; 
Athletic Bilbao; 8/5; 13/8; ; ; 19/10; 9/5; 13/8; 7/4; ; ; ; ; ; ; ; 17/10; 17/10; 8/5; 17/10; 17/11; ; 13/8; 17/10; 13/8; 8/5; 6/5; ; 
Draw; 12/5; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; ; ; ; ; ; ; ; 12/5; 11/5; 9/4; 11/5; 5/2; ; 23/10; 12/5; 23/10; 23/10; 7/4; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-23 02:14:53 GMT+2; 2018-02-04 17:30; e70300-dr003
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 7/4; 13/8; 17/10; 17/10; ; ; 13/8; ; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; 6/5; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; 17/10; 8/5; ; ; 13/8; ; 33/20; 13/8; 17/10; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; 23/20; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; 23/10; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-23 17:21:01 GMT+2; 2018-02-04 17:30; e70300-dr003
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; 17/10; 17/10; ; ; 17/10; ; 17/10; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; 5/4; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; 17/10; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; 5/4; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 11/5; 23/10; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-24 12:16:28 GMT+2; 2018-02-04 17:30; e70300-dr003
Athletic Bilbao; 8/5; 13/8; ; 17/10; 44/25; 17/10; 13/8; ; 17/10; ; ; 17/10; ; 33/20; 17/10; 8/5; 17/10; 8/5; 17/10; 17/11; 17/10; 13/8; 17/10; 13/8; 8/5; ; 27/20; ; 
Girona; 13/8; 13/8; ; 13/8; 179/ 100; 17/10; 13/8; ; 8/5; ; ; 13/8; ; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 52/35; 8/5; 13/8; 13/8; 33/20; 28/17; ; 6/5; ; 
Draw; 12/5; 23/10; ; 9/4; 12/5; 23/10; 9/4; ; 9/4; ; ; 11/5; ; 9/4; 12/5; 23/10; 11/5; 11/5; 11/5; 5/2; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/girona-v-athletic-bilbao; 2018-01-30 12:17:26 GMT+2; 2018-02-04 17:30; e70300-dr003
Girona; 29/20; 6/4; 17/11; 13/8; 159/ 100; 31/20; 6/4; 6/4; 17/11; 6/4; 6/4; 31/20; ; 31/20; 8/5; 7/5; 6/4; 6/4; 6/4; 23/15; 17/11; 6/4; 6/4; 6/4; 6/4; ; 7/5; 7/5; 6/4
Athletic Bilbao; 7/4; 9/5; 28/15; 17/10; 103/ 50; 15/8; 15/8; 9/5; 24/13; 15/8; 15/8; 9/5; ; 39/20; 19/10; 7/4; 9/5; 19/10; 9/5; 37/19; 24/13; 15/8; 19/10; 19/10; 19/10; ; 9/5; 9/5; 2
Draw; 12/5; 9/4; 21/10; 9/4; 23/10; 23/10; 11/5; 9/4; 9/4; 21/10; 9/4; 11/5; ; 43/20; 21/10; 21/10; 11/5; 28/13; 11/5; 9/4; 9/4; 11/5; 23/10; 21/10; 11/5; ; 21/10; 19/10; 11/5
