META; spain/la-liga-primera/leganes-v-espanyol; 2018-01-17 12:26:22 GMT+2; 2018-01-28 11:00; e70300-dr003
Leganes; 5/4; 13/10; 26/19; 6/4; 153/ 100; 13/10; 7/5; 13/10; 7/5; 11/8; ; 13/10; ; 7/5; 7/5; 13/10; 7/5; 23/17; 7/5; 23/18; 7/5; 7/5; 11/8; 7/5; 23/17; 1; ; 
Draw; 11/5; 2; 2; 19/10; 191/ 100; 2; 19/10; 2; 19/10; 19/10; ; 21/10; ; 2; 15/8; 19/10; 19/10; 19/10; 19/10; 21/10; 19/10; 15/8; 21/10; 19/10; 19/10; 7/4; ; 
Espanyol; 23/10; 12/5; 9/4; 11/5; 131/ 50; 5/2; 11/5; 5/2; 40/17; 11/5; ; 9/4; ; 23/10; 5/2; 9/4; 9/4; 23/10; 9/4; 21/10; 40/17; 12/5; 23/10; 47/20; 23/10; 13/8; ; 
META; spain/la-liga-primera/leganes-v-espanyol; 2018-01-18 18:19:35 GMT+2; 2018-01-28 11:00; e70300-dr003
Leganes; 5/4; 13/10; 26/19; 6/4; 153/ 100; 13/10; 7/5; 13/10; 7/5; 11/8; ; 11/8; ; 7/5; 7/5; 13/10; 13/10; 23/17; 13/10; 23/18; 7/5; 7/5; 11/8; 7/5; 23/17; 21/20; ; 
Draw; 11/5; 2; 2; 19/10; 48/25; 2; 19/10; 2; 19/10; 19/10; ; 19/10; ; 2; 15/8; 19/10; 19/10; 24/13; 19/10; 21/10; 19/10; 15/8; 21/10; 19/10; 19/10; 7/4; ; 
Espanyol; 23/10; 12/5; 9/4; 11/5; 13/5; 5/2; 11/5; 5/2; 40/17; 11/5; ; 12/5; ; 23/10; 5/2; 21/10; 12/5; 23/10; 12/5; 21/10; 40/17; 12/5; 23/10; 47/20; 23/10; 9/5; ; 
META; spain/la-liga-primera/leganes-v-espanyol; 2018-01-19 12:15:50 GMT+2; 2018-01-28 11:00; e70300-dr003
Leganes; 5/4; 13/10; 23/17; 13/10; 147/100; 13/10; 13/10; 13/10; 7/5; 13/10; ; 11/8; ; 27/20; 13/10; 5/4; 13/10; 13/10; 13/10; 23/18; 7/5; 13/10; 13/10; 27/20; 13/10; ; 20/21; ; 
Draw; 11/5; 2; 2; 2; 48/25; 2; 19/10; 2; 19/10; 19/10; ; 19/10; ; 2; 15/8; 19/10; 19/10; 19/10; 19/10; 21/10; 19/10; 15/8; 85/40; 19/10; 19/10; ; 7/4; ; 
Espanyol; 23/10; 12/5; 23/10; 12/5; 137/50; 5/2; 12/5; 5/2; 40/17; 23/10; ; 12/5; ; 49/20; 11/4; 23/10; 12/5; 40/17; 12/5; 21/10; 40/17; 5/2; 12/5; 5/2; 12/5; ; 7/4; ; 
META; spain/la-liga-primera/leganes-v-espanyol; 2018-01-22 12:14:54 GMT+2; 2018-01-28 11:00; e70300-dr003
Leganes; 5/4; 7/5; 23/17; 13/10; 36/25; 11/8; 11/8; 13/10; 7/5; 13/10; 13/10; 7/5; ; 11/8; 7/5; 13/10; 5/4; 13/10; 5/4; 4/3; 7/5; 13/10; 11/8; 27/20; 23/17; 5/4; ; 7/5
Draw; 11/5; 19/10; 19/10; 2; 51/25; 2; 19/10; 2; 19/10; 19/10; 2; 19/10; ; 39/20; 15/8; 19/10; 21/10; 37/19; 21/10; 21/10; 15/8; 15/8; 2; 19/10; 2; 7/4; ; 2
Espanyol; 23/10; 12/5; 12/5; 12/5; 131/ 50; 5/2; 9/4; 5/2; 5/2; 12/5; 12/5; 23/10; ; 49/20; 5/2; 9/4; 23/10; 12/5; 23/10; 27/11; 27/11; 12/5; 12/5; 49/20; 12/5; 7/4; ; 5/2
META; spain/la-liga-primera/leganes-v-espanyol; 2018-01-23 02:14:23 GMT+2; 2018-01-28 11:00; e70300-dr003
Leganes; 13/10; 13/10; 13/10; 13/10; 36/25; 11/8; 11/8; 13/10; 7/5; 13/10; 13/10; 7/5; ; 27/20; 11/8; 13/10; 5/4; 13/10; 5/4; 4/3; 7/5; 13/10; 11/8; 27/20; 13/10; 21/20; 6/5; 7/5
Draw; 21/10; 19/10; 19/10; 2; 41/20; 2; 19/10; 2; 19/10; 19/10; 2; 19/10; ; 39/20; 19/10; 19/10; 21/10; 37/19; 21/10; 21/10; 15/8; 15/8; 2; 19/10; 37/19; 9/5; 9/5; 2
Espanyol; 23/10; 13/5; 12/5; 12/5; 13/5; 5/2; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; ; 49/20; 5/2; 23/10; 23/10; 12/5; 23/10; 27/11; 27/11; 5/2; 12/5; 49/20; 27/11; 15/8; 21/10; 5/2
META; spain/la-liga-primera/leganes-v-espanyol; 2018-01-23 17:20:31 GMT+2; 2018-01-28 11:00; e70300-dr003
Leganes; 13/10; 13/10; 23/17; 13/10; 36/25; 7/5; 7/5; 7/5; 7/5; 27/20; 13/10; 7/5; ; 7/5; 11/8; 5/4; 5/4; 23/17; 5/4; 23/17; 7/5; 13/10; 11/8; 27/20; 23/17; 5/4; 5/4; 11/8
Draw; 21/10; 15/8; 19/10; 2; 41/20; 19/10; 19/10; 15/8; 19/10; 19/10; 2; 19/10; ; 39/20; 19/10; 19/10; 21/10; 2; 21/10; 21/10; 15/8; 15/8; 2; 19/10; 2; 9/5; 9/5; 2
Espanyol; 23/10; 5/2; 12/5; 12/5; 13/5; 12/5; 9/4; 12/5; 5/2; 23/10; 12/5; 23/10; ; 12/5; 5/2; 9/4; 23/10; 27/11; 23/10; 12/5; 27/11; 5/2; 12/5; 49/20; 27/11; 12/5; 12/5; 5/2
META; spain/la-liga-primera/leganes-v-espanyol; 2018-01-24 12:15:57 GMT+2; 2018-01-28 11:00; e70300-dr003
Leganes; 13/10; 7/5; 23/17; 13/10; 149/ 100; 7/5; 7/5; ; 7/5; 27/20; 11/8; 11/8; ; 7/5; 11/8; 13/10; 23/17; 23/17; 23/17; 23/17; 7/5; 7/5; 11/8; 27/20; 7/5; ; 13/10; 6/5; 7/5
Draw; 21/10; 19/10; 19/10; 2; 51/25; 19/10; 19/10; ; 19/10; 19/10; 2; 19/10; ; 39/20; 19/10; 19/10; 2; 37/19; 2; 21/10; 15/8; 15/8; 2; 19/10; 2; ; 19/10; 9/5; 2
Espanyol; 23/10; 12/5; 12/5; 12/5; 63/25; 12/5; 11/5; ; 5/2; 23/10; 23/10; 12/5; ; 12/5; 5/2; 21/10; 11/5; 12/5; 11/5; 12/5; 27/11; 12/5; 12/5; 49/20; 12/5; ; 9/4; 21/10; 12/5
