META; spain/la-liga-primera/athletic-bilbao-v-real-sociedad; 2017-12-07 10:55:19 GMT+2; 2017-12-16 15:15; e70300-dr003
Athletic Bilbao; 23/20; ; 11/10; 23/20; 15/13; 23/20; 11/10; 11/10; 11/10; 11/10; ; 6/5; ; 23/20; 6/5; ; 15/13; 11/10; 121/100; 15/14; 11/10; 11/10; 11/10; 11/10; 11/10; ; 5/6; ; 
Real Sociedad; 12/5; ; 12/5; 12/5; 40/17; 5/2; 23/10; 5/2; 13/5; 12/5; ; 11/5; ; 49/20; 23/10; ; 40/17; 9/4; 51/20; 27/11; 13/5; 12/5; 5/2; 12/5; 23/10; ; 7/4; ; 
Draw; 23/10; ; 23/10; 23/10; 9/4; ; 23/10; 12/5; 9/4; 23/10; ; 12/5; ; 12/5; 12/5; ; 9/4; 40/17; 64/25; 13/5; 9/4; 12/5; 5/2; 49/20; 40/17; ; 2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-real-sociedad; 2017-12-08 12:13:32 GMT+2; 2017-12-16 15:15; e70300-dr003
Athletic Bilbao; 23/20; 23/20; 11/10; 23/20; 15/13; 23/20; 11/10; 11/10; 11/10; 11/10; ; 6/5; ; 23/20; 6/5; ; 15/13; 11/10; 121/100; 15/14; 11/10; 11/10; 11/10; 11/10; 11/10; ; 10/11; ; 
Real Sociedad; 12/5; 23/10; 12/5; 12/5; 40/17; 5/2; 23/10; 5/2; 13/5; 12/5; ; 11/5; ; 49/20; 23/10; ; 40/17; 9/4; 51/20; 27/11; 13/5; 12/5; 5/2; 12/5; 23/10; ; 9/5; ; 
Draw; 23/10; 12/5; 23/10; 23/10; 9/4; ; 23/10; 12/5; 9/4; 23/10; ; 12/5; ; 12/5; 12/5; ; 9/4; 40/17; 64/25; 13/5; 9/4; 12/5; 5/2; 49/20; 40/17; ; 2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-real-sociedad; 2017-12-11 18:13:43 GMT+2; 2017-12-16 15:15; e70300-dr003
Athletic Bilbao; 21/20; 11/10; ; 23/20; 15/13; 23/20; 6/5; 11/10; 15/13; 23/20; 23/20; 6/5; ; 6/5; 6/5; ; 15/13; 15/13; 123/100; 7/6; 15/13; 11/10; 23/20; 23/20; 6/5; ; 21/20; 10/9; 6/5
Draw; 23/10; 5/2; 12/5; 23/10; ; 5/2; 12/5; 12/5; 12/5; ; 5/2; 12/5; ; 12/5; 12/5; ; 9/4; 12/5; 129/50; 5/2; 12/5; 12/5; 5/2; 47/20; 12/5; ; 23/10; 11/5; 12/5
Real Sociedad; 13/5; 23/10; ; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 9/4; 5/2; 11/5; ; 23/10; 23/10; ; 12/5; 40/17; 62/25; 23/10; 12/5; 12/5; 23/10; 12/5; 40/17; ; 21/10; 19/10; 12/5
META; spain/la-liga-primera/athletic-bilbao-v-real-sociedad; 2017-12-12 10:58:12 GMT+2; 2017-12-16 15:15; e70300-dr003
Athletic Bilbao; 6/5; 11/10; ; ; 15/13; 23/20; 23/20; 11/10; 15/13; 23/20; 6/5; 6/5; ; 23/20; 6/5; ; 15/13; 6/5; 61/50; 7/6; 15/13; 6/5; 23/20; 6/5; 6/5; ; 10/9; 10/9; 
Real Sociedad; 23/10; 23/10; ; ; 12/5; 12/5; 9/4; 12/5; 12/5; 9/4; 12/5; 11/5; ; 47/20; 23/10; ; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 23/10; ; 11/5; 7/4; 
Draw; 23/10; 5/2; 12/5; ; ; 12/5; 23/10; 12/5; 12/5; ; 12/5; 12/5; ; 12/5; 12/5; ; 9/4; 12/5; 129/50; 5/2; 12/5; 12/5; 5/2; 47/20; 12/5; ; 23/10; 2; 
