META; spain/la-liga-primera/alaves-v-girona; 2018-04-10 08:16:52 GMT+3; 2018-04-19 18:30; e70300-dr003
Alaves; 7/5; 6/4; 13/10; 7/5; 13/10; 16/11; 29/20; 6/4; 7/5; 7/5; 7/5; 15/11; 16/11; 7/5; 7/5; 1
Girona; 21/10; 11/5; 19/10; 2; 15/8; 39/19; 2; 21/10; 21/10; 37/19; 35/19; 39/19; 2; 37/19; 6/4; 
Draw; 21/10; 23/10; 19/10; 21/10; 15/8; 21/10; 21/10; 43/20; 11/5; 21/10; 21/10; 23/10; 21/10; 23/10; 28/13; 8/5
META; spain/la-liga-primera/alaves-v-girona; 2018-04-11 12:54:33 GMT+3; 2018-04-19 18:30; e70300-dr003
Alaves; 7/5; 6/4; 13/10; 7/5; 13/10; 16/11; 29/20; 6/4; 7/5; 7/5; 7/5; 15/11; 16/11; 7/5; 7/5; 21/20
Girona; 21/10; 11/5; 19/10; 2; 15/8; 39/19; 2; 21/10; 2; 37/19; 35/19; 39/19; 2; 37/19; 9/5; 
Draw; 21/10; 23/10; 19/10; 21/10; 15/8; 21/10; 21/10; 43/20; 11/5; 21/10; 21/10; 23/10; 21/10; 23/10; 28/13; 6/4
META; spain/la-liga-primera/alaves-v-girona; 2018-04-11 20:18:30 GMT+3; 2018-04-19 18:30; e70300-dr003
Alaves; 7/5; 6/4; 13/10; 7/5; 13/10; 16/11; 29/20; 6/4; 7/5; 7/5; 7/5; 15/11; 16/11; 7/5; 7/5; 21/20
Girona; 21/10; 11/5; 19/10; 2; 15/8; 39/19; 2; 21/10; 2; 37/19; 35/19; 39/19; 2; 37/19; 9/5; 
Draw; 21/10; 23/10; 19/10; 21/10; 15/8; 21/10; 21/10; 43/20; 11/5; 21/10; 21/10; 23/10; 21/10; 23/10; 28/13; 6/4
META; spain/la-liga-primera/alaves-v-girona; 2018-04-12 10:45:47 GMT+3; 2018-04-19 18:30; e70300-dr003
Alaves; 7/5; 6/4; 13/10; 7/5; 13/10; 16/11; 7/5; 29/20; 6/4; 7/5; 7/5; 7/5; 15/11; 16/11; 7/5; 7/5
Girona; 21/10; 11/5; 19/10; 2; 15/8; 39/19; 2; 2; 21/10; 2; 37/19; 35/19; 39/19; 2; 37/19; 9/5
Draw; 21/10; 23/10; 19/10; 21/10; 15/8; 21/10; 11/5; 21/10; 43/20; 11/5; 21/10; 21/10; 23/10; 21/10; 23/10; 28/13
META; spain/la-liga-primera/alaves-v-girona; 2018-04-13 08:16:44 GMT+3; 2018-04-19 18:30; e70300-dr003
Alaves; 7/5; 6/4; 13/10; 7/5; 13/10; 16/11; 7/5; 7/5; 6/4; 7/5; 7/5; 16/11; 15/11; 16/11; 7/5; 16/11; 21/20; 1
Girona; 21/10; 11/5; 19/10; 2; 15/8; 39/19; 2; 21/10; 2; 21/10; 2; 37/19; 35/19; 39/19; 2; 9/5; 17/10; 
Draw; 21/10; 23/10; 19/10; 21/10; 15/8; 21/10; 11/5; 21/10; 43/20; 11/5; 21/10; 28/13; 23/10; 21/10; 23/10; 28/13; 6/4; 10/9
META; spain/la-liga-primera/alaves-v-girona; 2018-04-13 16:17:08 GMT+3; 2018-04-19 18:30; e70300-dr003
Alaves; 7/5; 29/20; 7/5; 6/4; 13/10; 7/5; 13/10; 16/11; 7/5; 7/5; 7/5; 6/4; 7/5; 7/5; 17/11; 15/11; 16/11; 7/5; 17/11; 11/8
Girona; 21/10; 2; 21/10; 11/5; 19/10; 2; 15/8; 39/19; 2; 21/10; 2; 21/10; 21/10; 9/5; 35/19; 39/19; 2; 9/5; 9/5; 2
Draw; 21/10; 21/10; 21/10; 23/10; 19/10; 21/10; 15/8; 21/10; 21/10; 11/5; 21/10; 43/20; 11/5; 21/10; 9/4; 23/10; 21/10; 23/10; 9/4; 2
META; spain/la-liga-primera/alaves-v-girona; 2018-04-14 12:18:44 GMT+3; 2018-04-17 15:00; e70300-dr003
Alaves; 11/8; 11/8; 29/20; 7/5; 6/4; 13/10; 7/5; 13/10; 16/11; 7/5; 7/5; 7/5; 6/4; 7/5; 7/5; 16/11; 15/11; 16/11; 7/5; 6/4; 11/8
Girona; 21/10; 2; 21/10; 11/5; 19/10; 2; 15/8; 39/19; 2; 21/10; 2; 21/10; 21/10; 19/10; 35/19; 39/19; 2; 19/10; 9/5; 2; 
Draw; 21/10; 11/5; 21/10; 21/10; 23/10; 19/10; 21/10; 15/8; 21/10; 21/10; 11/5; 21/10; 43/20; 11/5; 21/10; 28/13; 23/10; 21/10; 23/10; 11/5; 21/10
META; spain/la-liga-primera/alaves-v-girona; 2018-04-16 20:38:27 GMT+3; 2018-04-19 18:30; e70300-dr003
Alaves; 6/4; 7/5; 7/5; 7/5; 151/00; 7/5; 7/5; 13/10; 16/11; 7/5; 7/5; 11/8; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 10/7; 11/8; 16/11; 7/5; 27/20; 5/4; 7/5; 6/4
