META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2018-05-15 10:47:50 GMT+3; 2018-05-20 15:15; e70300-dr003
Athletic Bilbao; 17/20; 17/20; 10/11; 89/00; 20/23; 20/23; 4/5; 9/10; 10/11; 9/10; 20/23; 19/20; 10/11; 13/15; 10/11; 13/14; 9/10; 9/10; 10/11; 5/6; 5/6; 10/11; 10/11
Draw; 13/5; 13/5; 5/2; 68/25; 27/10; 5/2; 5/2; 45/17; 5/2; 13/5; 11/4; 13/5; 13/5; 28/11; 12/5; 11/4; 13/5; 11/4; 13/5; 23/10; 19/10; 27/10; 13/5
Espanyol; 3; 29/10; 29/10; 16/5; 16/5; 29/10; 3; 29/10; 3; 14/5; 29/10; 3; 29/10; 14/5; 56/19; 29/10; 58/19; 5/2; 13/5; 3; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2018-05-16 16:13:53 GMT+3; 2018-05-20 15:15; e70300-dr003
Athletic Bilbao; 1; 19/20; 19/20; 1; 49/50; 19/20; 20/21; 10/11; 1; 19/20; 19/20; 1; 19/20; 1; 19/20; 1; 10/11; 39/40; 1; 20/21; 1; 5/6; 20/21; 1; 
Draw; 5/2; 13/5; 5/2; 5/2; 133/0; 13/5; 5/2; 5/2; 28/11; 5/2; 13/5; 12/5; 12/5; 5/2; 11/4; 5/2; 12/5; 27/10; 5/2; 27/10; 28/11; 12/5; 19/10; 13/5; 13/5
Espanyol; 13/5; 11/4; 27/10; 13/5; 72/25; 29/10; 11/4; 11/4; 11/4; 27/10; 11/4; 11/4; 13/5; 27/10; 11/4; 11/4; 29/10; 13/5; 27/10; 27/10; 14/5; 13/5; 12/5; 14/5; 14/5
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2018-05-17 12:12:03 GMT+3; 2018-05-20 15:15; e70300-dr003
Athletic Bilbao; 1; 19/20; 1; 26/25; 1; 10/11; 1; 1; 1; 21/20; 1; 39/40; 1; 21/20; 10/11; 21/20; 21/20; ; ; ; ; ; ; 
Draw; 5/2; 13/5; 5/2; 5/2; 133/0; 13/5; 5/2; 5/2; 28/11; 5/2; 5/2; 5/2; 12/5; 5/2; 11/4; 28/11; 12/5; 27/10; 5/2; 27/10; 28/11; 19/10; 13/5; 5/2
Espanyol; 13/5; 13/5; 13/5; 13/5; 133/0; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 13/5; 13/5; 27/10; 13/5; 45/17; 23/10; 13/5; 5/2
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2018-05-19 12:10:40 GMT+3; 2018-05-20 15:15; e70300-dr003
Athletic Bilbao; 21/20; 1; 1; 51/50; 1; 10/11; 1; 1; 1; 21/20; 1; 68/67; 39/40; 21/20; 1; 21/20; 10/9; 21/20; ; ; ; ; ; ; 
Draw; 5/2; 13/5; 5/2; 13/5; 53/20; 27/10; 5/2; 5/2; 45/17; 13/5; 5/2; 13/5; 12/5; 13/5; 11/4; 28/11; 5/2; 11/4; 13/5; 11/4; 13/5; 5/2; 5/2; 13/5; 5/2
Espanyol; 13/5; 13/5; 5/2; 5/2; 137/0; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 45/17; 14/5; 45/17; 27/10; 13/5; 27/10; 13/5; 13/5; 27/10; 13/5
