META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-12 10:25:10 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 11/4
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-12 20:17:10 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-13 12:19:47 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-13 20:17:38 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-14 20:17:26 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-15 13:09:57 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-15 20:17:29 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-16 10:18:15 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-16 16:21:12 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-17 12:17:26 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 12/5
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-18 14:16:55 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 21/20; 21/20
Draw; 12/5; 
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-19 08:15:14 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 1; 
Draw; 5/2; 5/2
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-20 08:15:52 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 1; 
Draw; 5/2; 5/2
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-21 14:16:52 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 1; 
Draw; 5/2; 5/2
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-22 12:35:49 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 1; 
Draw; 5/2; 5/2
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-23 14:42:29 GMT+2; 2018-03-31 23:00; e70300-dr003
Getafe; 1; 
Draw; 5/2; 5/2
Real Betis; 13/5; 14/5
META; spain/la-liga-primera/getafe-v-real-betis; 2018-03-26 12:16:09 GMT+3; 2018-03-31 23:00; e70300-dr003
Getafe; 1; 
Draw; 5/2; 5/2
Real Betis; 13/5; 14/5
