META; spain/la-liga-primera/espanyol-v-sevilla; 2018-01-07 12:14:53 GMT+2; 2018-01-20 12:00; e70300-dr003
Sevilla; ; ; ; ; 151/100; 7/5; 7/5; 11/8; ; ; ; 29/20; ; ; ; 7/5; 7/5; ; 7/5; ; ; 7/5; ; 7/5; ; ; 5/6; ; 
Espanyol; ; ; ; ; 51/25; 2; 9/5; 2; ; ; ; 9/5; ; ; ; 19/10; 19/10; ; 19/10; ; ; 15/8; ; 19/10; ; ; 6/5; ; 
Draw; ; ; ; ; 62/25; 23/10; 23/10; 23/10; ; ; ; 12/5; ; ; ; 12/5; 9/4; ; 9/4; ; ; 23/10; ; 47/20; ; ; 19/10; ; 
META; spain/la-liga-primera/espanyol-v-sevilla; 2018-01-10 12:20:51 GMT+2; ; e70300-dr003
Sevilla; 17/10; ; 8/5; 8/5; 173/100; 13/8; 8/5; 8/5; 8/5; 8/5; ; 13/8; ; 33/20; 17/10; 8/5; 6/4; 8/5; 6/4; 6/4; 8/5; 13/8; 13/8; 13/8; 8/5; ; 7/5; ; 
Espanyol; 17/10; ; 13/8; 13/8; 89/50; 7/4; 13/8; 17/10; 17/10; 8/5; ; 17/10; ; 33/20; 13/8; 17/10; 17/10; 28/17; 17/10; 23/15; 17/10; 13/8; 8/5; 33/20; 28/17; ; 6/4; ; 
Draw; 21/10; ; 23/10; 12/5; 123/50; 23/10; 9/4; 23/10; 23/10; 23/10; ; 11/5; ; 47/20; 12/5; 23/10; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 5/2; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/espanyol-v-sevilla; 2018-01-10 13:42:06 GMT+2; 2018-01-20 12:00; e70300-dr003
Sevilla; 17/10; ; 8/5; 8/5; 173/ 100; 13/8; 8/5; 8/5; 8/5; 8/5; ; 13/8; ; 33/20; 17/10; 8/5; 6/4; 8/5; 6/4; 6/4; 8/5; 13/8; 13/8; 13/8; 8/5; 7/5; ; 
Espanyol; 17/10; ; 13/8; 13/8; 89/50; 7/4; 13/8; 17/10; 17/10; 8/5; ; 17/10; ; 33/20; 13/8; 17/10; 17/10; 28/17; 17/10; 23/15; 17/10; 13/8; 8/5; 33/20; 28/17; 6/4; ; 
Draw; 21/10; ; 23/10; 12/5; 123/ 50; 23/10; 9/4; 23/10; 23/10; 23/10; ; 11/5; ; 47/20; 12/5; 23/10; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 5/2; 23/10; 9/4; 9/5; ; 
META; spain/la-liga-primera/espanyol-v-sevilla; 2018-01-17 12:25:30 GMT+2; 2018-01-20 12:00; e70300-dr003
Espanyol; 17/10; 13/8; 28/17; 13/8; 89/50; 17/10; 13/8; 17/10; 7/4; 33/20; 17/10; 17/10; 33/20; 17/10; 13/8; 17/10; 17/10; 17/10; 17/10; 7/4; 7/4; 13/8; 17/10; 17/10; 17/10; 13/8; 8/5; 17/10
Sevilla; 17/10; 13/8; 13/8; 17/10; 46/25; 17/10; 17/10; 17/10; 5/3; 8/5; 13/8; 13/8; 13/8; 33/20; 7/4; 13/8; 6/4; 17/10; 6/4; 13/8; 28/17; 13/8; 13/8; 33/20; 7/4; 13/8; 13/8; 9/5
Draw; 21/10; 23/10; 11/5; 9/4; 23/10; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 28/13; 23/10; 40/17; 11/5; 11/5; 23/10; 11/5; 11/5; 11/5; 2; 9/4
META; spain/la-liga-primera/espanyol-v-sevilla; 2018-01-18 18:18:59 GMT+2; 2018-01-20 12:00; e70300-dr003
Sevilla; 17/10; 8/5; 13/8; 13/8; 173/ 100; 13/8; 13/8; 13/8; 7/4; 33/20; 13/8; 17/10; 13/8; 33/20; 17/10; 13/8; 6/4; 17/10; 6/4; 17/10; 17/10; 13/8; 17/10; 33/20; 17/10; 13/8; 13/8; 7/4
Espanyol; 9/5; 17/10; 17/10; 7/4; 15/8; 9/5; 17/10; 9/5; 7/4; 17/10; 7/4; 7/4; 33/20; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5
Draw; 11/5; 9/4; 11/5; 11/5; 58/25; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 23/10; 9/4; 11/5; 21/10; 23/10; 28/13; 23/10; 9/4; 28/13; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 23/10
META; spain/la-liga-primera/espanyol-v-sevilla; 2018-01-19 12:15:11 GMT+2; 2018-01-20 12:00; e70300-dr003
Sevilla; 17/10; 8/5; 8/5; 13/8; 173/100; 13/8; 8/5; 13/8; 7/4; 8/5; 13/8; 17/10; 13/8; 17/10; 17/10; 13/8; 17/11; 17/10; 17/11; 17/10; 17/10; 13/8; 17/10; 33/20; 17/10; ; 13/8; 13/8; 17/10
Espanyol; 7/4; 17/10; 7/4; 7/4; 189/100; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 7/4; 33/20; 7/4; 17/10; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 9/5; 7/4; ; 7/4; 7/4; 9/5
Draw; 11/5; 9/4; 11/5; 11/5; 23/10; 23/10; 11/5; 9/4; 11/5; 21/10; 11/5; 21/10; 23/10; 9/4; 11/5; 21/10; 23/10; 28/13; 23/10; 9/4; 28/13; 11/5; 9/4; 11/5; 11/5; ; 11/5; 11/5; 12/5
