META; spain/la-liga-primera/levante-v-malaga; 2018-04-10 08:17:00 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 10/11; 49/50; 4/5; 9/10; 4/5; 19/20; 20/23; 10/11; 10/11; 10/11; 10/11; 11/13; 19/20; 20/23; 10/11; 4/6
Draw; 9/4; 119/50; 23/10; 9/4; 23/10; 11/5; 12/5; 9/4; 12/5; 23/10; 9/4; 12/5; 11/5; 12/5; 9/4; 9/5
Malaga; 17/5; 73/20; 3; 16/5; 3; 13/4; 16/5; 7/2; 100/30; 7/2; 16/5; 31/10; 16/5; 7/2; 16/5; 5/2
META; spain/la-liga-primera/levante-v-malaga; 2018-04-11 12:54:42 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 10/11; 49/50; 4/5; 9/10; 4/5; 19/20; 20/23; 10/11; 10/11; 10/11; 10/11; 11/13; 19/20; 20/23; 10/11; 4/6
Draw; 9/4; 119/50; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 12/5; 9/4; 9/4; 12/5; 11/5; 12/5; 9/4; 13/8
Malaga; 17/5; 73/20; 3; 16/5; 3; 13/4; 7/2; 7/2; 100/30; 10/3; 16/5; 31/10; 16/5; 7/2; 16/5; 14/5
META; spain/la-liga-primera/levante-v-malaga; 2018-04-11 20:18:39 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 10/11; 49/50; 4/5; 9/10; 4/5; 19/20; 20/23; 10/11; 10/11; 10/11; 10/11; 11/13; 19/20; 20/23; 10/11; 4/6
Draw; 9/4; 119/0; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 12/5; 9/4; 9/4; 12/5; 11/5; 12/5; 9/4; 13/8
Malaga; 17/5; 73/20; 3; 16/5; 3; 13/4; 7/2; 7/2; 100/0; 10/3; 16/5; 31/10; 16/5; 7/2; 16/5; 14/5
META; spain/la-liga-primera/levante-v-malaga; 2018-04-12 10:45:56 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 10/11; 49/50; 4/5; 9/10; 4/5; 19/20; 17/20; 20/23; 10/11; 10/11; 10/11; 10/11; 13/15; 19/20; 20/23; 10/11; 4/6
Draw; 9/4; 119/0; 23/10; 9/4; 23/10; 11/5; 12/5; 9/4; 9/4; 12/5; 23/10; 9/4; 40/17; 11/5; 12/5; 9/4; 17/10
Malaga; 17/5; 73/20; 3; 16/5; 3; 13/4; 10/3; 7/2; 7/2; 100/0; 10/3; 16/5; 3; 16/5; 7/2; 13/4; 5/2
META; spain/la-liga-primera/levante-v-malaga; 2018-04-13 08:16:53 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 10/11; 49/50; 4/5; 9/10; 4/5; 19/20; 17/20; 10/11; 10/11; 10/11; 10/11; 10/11; 13/15; 19/20; 20/23; 10/11; 4/6; 4/6
Draw; 9/4; 119/50; 23/10; 23/10; 23/10; 11/5; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 40/17; 11/5; 12/5; 23/10; 17/10; 2/13
Malaga; 17/5; 73/20; 3; 16/5; 3; 13/4; 10/3; 16/5; 7/2; 100/30; 10/3; 13/4; 3; 16/5; 7/2; 13/4; 5/2; 1/6
META; spain/la-liga-primera/levante-v-malaga; 2018-04-13 16:17:18 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 10/11; 10/11; 10/11; 49/50; 4/5; 9/10; 4/5; 19/20; 10/11; 17/20; 10/11; 10/11; 10/11; 10/11; 13/15; 19/20; 20/23; 19/20; 8/11; 10/11; 
Draw; 9/4; 9/4; 9/4; 119/0; 23/10; 23/10; 23/10; 11/5; 11/5; 12/5; 23/10; 9/4; 12/5; 23/10; 12/5; 40/17; 11/5; 12/5; 12/5; 21/10; 23/10
Malaga; 7/2; 10/3; 17/5; 73/20; 3; 16/5; 3; 13/4; 10/3; 10/3; 16/5; 7/2; 100/0; 10/3; 3; 16/5; 7/2; 3; 14/5; 7/2; 
META; spain/la-liga-primera/levante-v-malaga; 2018-04-14 12:18:52 GMT+3; 2018-04-17 15:00; e70300-dr003
Levante; 5/6; 17/20; 10/11; 10/11; 49/50; 4/5; 9/10; 4/5; 19/20; 10/11; 17/20; 10/11; 10/11; 10/11; 10/11; 10/11; 13/15; 19/20; 20/23; 10/11; 8/11; 10/11
Draw; 9/4; 23/10; 9/4; 9/4; 119/0; 23/10; 23/10; 23/10; 11/5; 11/5; 12/5; 23/10; 9/4; 12/5; 23/10; 40/17; 40/17; 11/5; 12/5; 40/17; 21/10; 23/10
Malaga; 15/4; 18/5; 10/3; 17/5; 73/20; 3; 16/5; 3; 13/4; 10/3; 10/3; 16/5; 7/2; 100/0; 10/3; 16/5; 3; 16/5; 7/2; 13/4; 14/5; 7/2
META; spain/la-liga-primera/levante-v-malaga; 2018-04-16 20:38:36 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 17/20; 17/20; 17/20; 17/20; 23/25; 17/20; 17/20; 4/5; 7/8; 20/23; 17/20; 20/23; 9/10; 10/11; 17/20; 13/15; 4/5; 7/8; 13/15; 17/20; 13/15; 5/6; 5/6; 5/6; 5/6; 9/10
Draw; 5/2; 23/10; 9/4; 12/5; 5/2; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 40/17; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; 11/5; 21/10; 12/5; 12/5
Malaga; 7/2; 18/5; 7/2; 7/2; 19/5; 15/4; 10/3; 7/2; 37/10; 18/5; 7/2; 7/2; 18/5; 7/2; 7/2; 7/2; 7/2; 18/5; 18/5; 18/5; 39/11; 7/2; 7/2; 7/2; 7/2; 7/2
META; spain/la-liga-primera/levante-v-malaga; 2018-04-17 20:40:50 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 3/4; 4/5; 4/5; 17/20; 43/50; 5/6; 4/5; 9/11; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 4/5; 4/5; 5/6; 5/6; 13/16; 4/5; 4/5; 5/6; 5/6; 8/11; 5/6; 
Draw; 13/5; 12/5; 23/10; 12/5; 131/0; 5/2; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 5/2; 47/20; 12/5; 5/2; 5/2; 12/5; 27/11; 27/11; 5/2; 5/2; 5/2; 11/5; 9/4; 12/5
Malaga; 4; 19/5; 19/5; 7/2; 79/20; 4; 7/2; 7/2; 19/5; 19/5; 19/5; 15/4; 15/4; 4; 15/4; 15/4; 15/4; 15/4; 50/13; 15/4; 19/5; 15/4; 15/4; 7/2; 10/3; 7/2
META; spain/la-liga-primera/levante-v-malaga; 2018-04-18 15:21:43 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 4/5; 4/5; 4/5; 17/20; 5/6; 4/5; 4/5; 9/11; 4/5; 3/4; 4/5; 5/6; 5/6; 5/6; 4/5; 5/6; 5/6; 5/6; 13/16; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 
Draw; 13/5; 12/5; 23/10; 12/5; 133/50; 5/2; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 47/20; 12/5; 5/2; 5/2; 12/5; 27/11; 27/11; 13/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2
Malaga; 15/4; 19/5; 19/5; 7/2; 41/10; 15/4; 15/4; 7/2; 19/5; 4; 19/5; 15/4; 15/4; 4; 15/4; 15/4; 62/17; 15/4; 19/5; 15/4; 4; 62/17; 4; 7/2; 4; 4; 
META; spain/la-liga-primera/levante-v-malaga; 2018-04-19 08:15:59 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 10/11; 4/5; 20/23; 4/5; 93/100; 17/20; 20/23; 4/5; 9/11; 10/11; 17/20; 20/23; 10/11; 10/11; 5/6; 17/20; 13/15; 5/6; 8/9; 13/16; 10/11; 10/11; 10/11; 5/6; 5/6; 10/11; 10/11
Draw; 5/2; 23/10; 9/4; 23/10; 129/50; 12/5; 12/5; 12/5; 5/2; 9/4; 12/5; 9/4; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 27/11; 5/2; 27/11; 5/2; 9/4; 9/4; 12/5; 23/10
Malaga; 16/5; 19/5; 7/2; 4; 18/5; 15/4; 10/3; 7/2; 19/5; 7/2; 10/3; 7/2; 7/2; 18/5; 100/30; 7/2; 17/5; 15/4; 62/17; 15/4; 7/2; 17/5; 7/2; 7/2; 7/2; 7/2; 7/2
META; spain/la-liga-primera/levante-v-malaga; 2018-04-19 10:14:31 GMT+3; 2018-04-19 20:30; e70300-dr003
Levante; 10/11; 4/5; 20/23; 10/11; 47/50; 9/10; 9/10; 5/6; 9/10; 10/11; 9/10; 10/11; 10/11; 19/20; 5/6; 10/11; 13/15; 5/6; 8/9; 8/9; 37/40; 10/11; 10/11; 10/11; 20/21; 20/21; 20/21
Draw; 5/2; 23/10; 11/5; 11/5; 62/25; 12/5; 23/10; 23/10; 27/11; 9/4; 12/5; 11/5; 12/5; 9/4; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 23/10
Malaga; 16/5; 19/5; 17/5; 7/2; 37/10; 18/5; 10/3; 7/2; 17/5; 7/2; 16/5; 7/2; 7/2; 7/2; 100/30; 7/2; 17/5; 15/4; 62/17; 17/5; 17/5; 17/5; 7/2; 7/2; 7/2; 7/2; 7/2
