META; spain/la-liga-primera/eibar-v-sevilla; 2018-01-22 12:15:10 GMT+2; 2018-02-03 12:00; e70300-dr003
Eibar; 31/20; 13/8; ; ; 167/ 100; 13/8; 8/5; 8/5; ; ; ; ; ; ; ; 8/5; 17/11; 17/11; 17/11; 52/35; ; 13/8; 8/5; 13/8; 17/11; 10/9; ; 
Sevilla; 13/8; 13/8; ; ; 19/10; 9/5; 13/8; 9/5; ; ; ; ; ; ; ; 17/10; 7/4; 8/5; 7/4; 11/7; ; 13/8; 17/10; 33/20; 28/17; 6/5; ; 
Draw; 12/5; 12/5; ; ; 119/ 50; 12/5; 23/10; 23/10; ; ; ; ; ; ; ; 12/5; 11/5; 23/10; 11/5; 27/11; ; 23/10; 12/5; 23/10; 40/17; 13/8; ; 
META; spain/la-liga-primera/eibar-v-sevilla; 2018-01-23 02:14:38 GMT+2; 2018-02-03 12:00; e70300-dr003
Eibar; 31/20; 13/8; ; 13/8; 44/25; 13/8; 8/5; 8/5; 28/17; ; ; 7/4; ; 33/20; 8/5; 17/10; 17/11; 8/5; 17/11; 52/35; 28/17; 13/8; 8/5; 13/8; 8/5; 23/20; ; 
Sevilla; 13/8; 13/8; ; 13/8; 44/25; 9/5; 13/8; 9/5; 28/17; ; ; 13/8; ; 17/10; 7/4; 8/5; 7/4; 8/5; 7/4; 11/7; 28/17; 13/8; 17/10; 33/20; 28/17; 6/5; ; 
Draw; 12/5; 12/5; ; 12/5; 61/25; 12/5; 9/4; 23/10; 9/4; ; ; 11/5; ; 23/10; 23/10; 12/5; 11/5; 9/4; 11/5; 27/11; 9/4; 23/10; 12/5; 23/10; 23/10; 19/10; ; 
META; spain/la-liga-primera/eibar-v-sevilla; 2018-01-23 17:20:46 GMT+2; 2018-02-03 12:00; e70300-dr003
Eibar; 31/20; 13/8; ; 13/8; 44/25; 13/8; 8/5; 8/5; 28/17; ; ; 7/4; ; 33/20; 8/5; 8/5; 17/11; 8/5; 17/11; 52/35; 28/17; 13/8; 8/5; 13/8; 8/5; 23/20; ; 
Sevilla; 13/8; 13/8; ; 13/8; 44/25; 9/5; 13/8; 9/5; 28/17; ; ; 13/8; ; 33/20; 7/4; 8/5; 7/4; 8/5; 7/4; 11/7; 28/17; 13/8; 17/10; 33/20; 28/17; 6/5; ; 
Draw; 12/5; 12/5; ; 12/5; 61/25; 23/10; 9/4; 23/10; 9/4; ; ; 11/5; ; 23/10; 23/10; 12/5; 11/5; 9/4; 11/5; 27/11; 9/4; 23/10; 12/5; 23/10; 23/10; 19/10; ; 
META; spain/la-liga-primera/eibar-v-sevilla; 2018-01-24 12:16:13 GMT+2; 2018-02-03 12:00; e70300-dr003
Eibar; 31/20; 13/8; ; 13/8; 44/25; 13/8; 8/5; ; 28/17; ; ; 7/4; ; 33/20; 8/5; 8/5; 17/11; 8/5; 17/11; 52/35; 28/17; 13/8; 13/8; 13/8; 8/5; ; 23/20; ; 
Sevilla; 13/8; 13/8; ; 13/8; 44/25; 9/5; 13/8; ; 28/17; ; ; 13/8; ; 33/20; 7/4; 8/5; 7/4; 8/5; 7/4; 11/7; 28/17; 13/8; 17/10; 33/20; 28/17; ; 6/5; ; 
Draw; 12/5; 12/5; ; 12/5; 61/25; 23/10; 9/4; ; 9/4; ; ; 11/5; ; 23/10; 23/10; 12/5; 11/5; 9/4; 11/5; 27/11; 9/4; 23/10; 12/5; 23/10; 23/10; ; 19/10; ; 
META; spain/la-liga-primera/eibar-v-sevilla; 2018-01-30 12:17:11 GMT+2; 2018-02-03 12:00; e70300-dr003
Eibar; 31/20; 13/8; 8/5; 13/8; 17/10; 13/8; 8/5; 8/5; 28/17; 31/20; 8/5; 8/5; ; 13/8; 13/8; 6/4; 28/17; ; 28/17; 13/8; 28/17; 8/5; 8/5; 13/8; 8/5; ; 6/4; 6/4; 13/8
Sevilla; 13/8; 13/8; 28/17; 13/8; 89/50; 17/10; 13/8; 13/8; 17/10; 13/8; 17/10; 17/10; ; 17/10; 7/4; 13/8; 28/17; ; 28/17; 17/10; 17/10; 13/8; 17/10; 33/20; 17/10; ; 13/8; 6/4; 7/4
Draw; 12/5; 23/10; 23/10; 12/5; 5/2; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; ; 47/20; 23/10; 21/10; 11/5; 40/17; 11/5; 12/5; 23/10; 12/5; ; 23/10; 12/5; ; ; 2; 12/5
