META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-11 20:18:43 GMT+3; 2018-04-20 20:00; e70300-dr003
Leganes; 59/50; 1; 23/20; 11/10; 4/6; 
Leganes; 5/4; 5/4; 5/4; 13/10; 34/25; 5/4; 13/10; 6/5; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; 13/10; 23/20; 10/9; 13/10
Draw; 11/5; 9/4; 11/5; 11/5; 117/0; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 9/4; 11/5; 23/10; 23/10; 21/10; 2; 9/4
Deportivo La Coruna; 23/10; 11/5; 11/5; 11/5; 121/0; 23/10; 11/5; 11/5; 11/5; 9/4; 23/10; 11/5; 9/4; 9/4; 9/4; 9/4; 21/10; 11/5; 23/10; 9/4; 21/10; 6/4; 23/10
META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-19 08:16:02 GMT+3; 2018-04-20 20:00; e70300-dr003
Leganes; 11/8; 11/8; 27/20; 13/10; 36/25; 13/10; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 7/5; 13/10; 11/8; 23/17; 5/4; 9/7; 13/10; 11/8; 23/17; 13/10; 13/10; 5/4; 27/20; 27/20
Deportivo La Coruna; 11/5; 21/10; 21/10; 11/5; 23/10; 23/10; 21/10; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 9/4; 28/13; 9/4; 21/10; 2; 11/5; 9/4
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 23/10; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 43/20; 9/4; 11/5; 9/4; 9/4; 21/10; 11/5; 23/10; 9/4; 9/4; 11/5; 21/10; 9/4; 9/4
META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-19 10:14:58 GMT+3; 2018-04-20 20:00; e70300-dr003
Leganes; 11/8; 11/8; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 7/5; 13/10; 11/8; 23/17; 5/4; 9/7; 13/10; 7/5; 23/17; 13/10; 13/10; 13/10; 27/20; 27/20
Deportivo La Coruna; 11/5; 21/10; 21/10; 11/5; 23/10; 23/10; 2; 11/5; 11/5; 11/5; 11/5; 9/4; 21/10; 9/4; 11/5; 28/13; 21/10; 21/10; 11/5; 11/5; 28/13; 9/4; 21/10; 2; 11/5; 9/4
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 23/10; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 43/20; 9/4; 11/5; 9/4; 9/4; 21/10; 11/5; 23/10; 9/4; 9/4; 11/5; 23/10; 9/4; 9/4
META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-20 10:25:21 GMT+3; 2018-04-20 20:00; e70300-dr003
Leganes; 7/5; 13/10; 7/5; 13/10; 38/25; 7/5; 7/5; 13/10; 7/5; 7/5; 11/8; 7/5; 7/5; 29/20; 7/5; 7/5; 7/5; 7/5; 17/12; 11/8; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5
Deportivo La Coruna; 21/10; 2; 21/10; 43/20; 11/5; 2; 21/10; 39/19; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 39/19; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 
Draw; 11/5; 9/4; 21/10; 11/5; 58/25; 23/10; 11/5; 11/5; 40/17; 21/10; 11/5; 11/5; 9/4; 43/20; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 23/10
