META; spain/la-liga-primera/betis-v-eibar; 2018-03-18 14:17:24 GMT+2; 2018-04-08 15:00; e70300-dr003
Betis; 7/5
Eibar; 9/4
Draw; 61/25
META; spain/la-liga-primera/betis-v-eibar; 2018-03-19 08:15:40 GMT+2; 2018-04-08 15:00; e70300-dr003
Betis; 7/5; 7/5; 7/5; 7/5; 16/11; 11/8; 29/20; 16/11
Eibar; 19/10; 9/4; 9/5; 19/10; 9/5; 21/10; 19/10; 9/5
Draw; 23/10; 61/25; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-03-20 08:16:21 GMT+2; 2018-04-08 15:00; e70300-dr003
Betis; 7/5; 7/5; 27/20; 13/10; 23/17; 13/10; 29/20; 7/5; 7/5; 7/5; 23/17; 11/8; 27/20; 16/11
Eibar; 19/10; 19/10; 119/50; 2; 21/10; 21/10; 39/20; 2; 24/13; 19/10; 21/10; 2; 24/13; 
Draw; 23/10; 23/10; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 11/5; 9/4; 11/5; 12/5; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-03-21 14:17:23 GMT+2; 2018-04-07 16:30; e70300-dr003
Betis; 7/5; 7/5; 11/8; 27/20; 13/10; 23/17; 13/10; 29/20; 7/5; 23/17; 7/5; 9/7; 23/17; 11/8; 27/20; 23/17
Eibar; 19/10; 19/10; 19/10; 119/0; 2; 21/10; 21/10; 39/20; 2; 37/19; 19/10; 11/6; 21/10; 2; 2; 
Draw; 23/10; 23/10; 12/5; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 11/5; 9/4; 27/11; 11/5; 12/5; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-03-22 12:36:21 GMT+2; 2018-04-07 16:30; e70300-dr003
Betis; 7/5; 7/5; 11/8; 27/20; 5/4; 13/10; 5/4; 23/17; 13/10; 29/20; 7/5; 23/17; 7/5; 9/7; 23/17; 11/8; 27/20; 23/17
Eibar; 19/10; 19/10; 19/10; 119/50; 15/8; 2; 15/8; 21/10; 21/10; 39/20; 2; 37/19; 19/10; 11/6; 21/10; 2; 2; 
Draw; 23/10; 23/10; 12/5; 12/5; 21/10; 9/4; 21/10; 11/5; 9/4; 23/10; 23/10; 11/5; 9/4; 27/11; 11/5; 12/5; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-03-23 14:43:01 GMT+2; 2018-04-07 16:30; e70300-dr003
Betis; 7/5; 7/5; 11/8; 27/20; 5/4; 13/10; 5/4; 23/17; 7/5; 29/20; 7/5; 23/17; 7/5; 9/7; 23/17; 11/8; 11/8; 23/17
Eibar; 19/10; 19/10; 19/10; 119/0; 15/8; 2; 15/8; 21/10; 2; 39/20; 2; 37/19; 19/10; 11/6; 21/10; 2; 39/20; 2
Draw; 23/10; 23/10; 12/5; 12/5; 21/10; 9/4; 21/10; 11/5; 21/10; 23/10; 23/10; 11/5; 9/4; 27/11; 11/5; 12/5; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-03-26 12:16:39 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 7/5; 7/5; 11/8; 27/20; 5/4; 13/10; 5/4; 23/17; 11/8; 13/10; 29/20; 7/5; 13/10; 23/17; 7/5; 9/7; 23/17; 11/8; 11/8; 23/17
Eibar; 19/10; 19/10; 19/10; 119/50; 15/8; 2; 15/8; 21/10; 2; 39/20; 2; 37/19; 19/10; 11/6; 21/10; 2; 2; ; ; 
Draw; 23/10; 23/10; 12/5; 12/5; 21/10; 9/4; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 27/11; 11/5; 12/5; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-03-27 08:16:23 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 7/5; 11/8; 11/8; 27/20; 5/4; 11/8; 5/4; 23/17; 11/8; 13/10; 29/20; 7/5; 13/10; 23/17; 7/5; 9/7; 23/17; 11/8; 11/8; 23/17
Eibar; 19/10; 2; 19/10; 119/50; 15/8; 2; 15/8; 21/10; 2; 39/20; 2; 37/19; 19/10; 11/6; 21/10; 2; 2; ; ; 
Draw; 23/10; 23/10; 12/5; 12/5; 21/10; 9/4; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 27/11; 11/5; 12/5; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-03-28 08:17:07 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 7/5; 11/8; 11/8; 27/20; 5/4; 11/8; 5/4; 23/17; 11/8; 13/10; 29/20; 7/5; 13/10; 23/17; 7/5; 9/7; 23/17; 11/8; 11/8; 23/17
Eibar; 19/10; 2; 19/10; 119/50; 15/8; 2; 15/8; 21/10; 2; 39/20; 2; 37/19; 19/10; 11/6; 21/10; 2; 2; ; ; 
Draw; 23/10; 23/10; 12/5; 12/5; 21/10; 9/4; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 27/11; 11/5; 12/5; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-03-29 08:16:48 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 7/5; 11/8; 11/8; 27/20; 7/5; 11/8; 5/4; 23/17; 11/8; 13/10; 7/5; 7/5; 13/10; 23/17; 7/5; 9/7; 23/17; 11/8; 11/8; 23/17
Eibar; 19/10; 2; 19/10; 119/50; 2; 15/8; 21/10; 2; 39/20; 2; 37/19; 19/10; 11/6; 21/10; 2; 2; ; ; ; 
Draw; 23/10; 23/10; 12/5; 12/5; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 27/11; 11/5; 12/5; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-03-31 12:17:38 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 7/5; 11/8; 11/8; 27/20; 7/5; 11/8; 5/4; 23/17; 11/8; 11/8; 7/5; 7/5; 11/8; 23/17; 7/5; 23/17; 11/8; 11/8; 23/17
Eibar; 19/10; 2; 19/10; 119/50; 2; 19/10; 15/8; 21/10; 2; 19/10; 39/20; 2; 37/19; 19/10; 21/10; 2; 2; ; 
Draw; 23/10; 23/10; 12/5; 12/5; 23/10; 9/4; 11/5; 11/5; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 9/4; 11/5; 12/5; 23/10; 9/4
META; spain/la-liga-primera/betis-v-eibar; 2018-04-03 18:17:23 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 6/5; 5/4; 6/5; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; 23/20; 6/5; 6/5; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; 17/14; 5/4; 6/5; 6/5; 6/5; 23/20; 23/20; 6/5; 6/5
Draw; 12/5; 23/10; 23/10; 23/10; 51/20; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 47/20; 23/10; 12/5; 40/17; 9/4; 27/11; 23/10; 12/5; 47/20; 40/17; 9/4; 21/10; 12/5; 9/4
Eibar; 11/5; 11/5; 23/10; 11/5; 129/50; 9/4; 9/4; 21/10; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 9/4; 40/17; 21/10; 40/17; 23/10; 23/10; 9/4; 40/17; 21/10; 21/10; 12/5; 23/10
