META; spain/la-liga-primera/getafe-v-athletic-bilbao; 2018-01-07 12:14:50 GMT+2; 2018-01-19 20:00; e70300-dr003
Getafe; ; ; ; ; 31/20; 31/20; 7/5; 6/4; ; ; ; 29/20; ; ; ; 7/5; 16/11; ; 16/11; ; ; 6/4; ; 29/20; ; ; ; ; 
Athletic Bilbao; ; ; ; ; 49/25; 19/10; 9/5; 15/8; ; ; ; 15/8; ; ; ; 19/10; 9/5; ; 9/5; ; ; 9/5; ; 37/20; ; ; 7/5; ; 
Draw; ; ; ; ; 5/2; 9/4; 9/4; 11/5; ; ; ; 23/10; ; ; ; 12/5; 23/10; ; 23/10; ; ; 12/5; ; 47/20; ; ; ; ; 
META; spain/la-liga-primera/getafe-v-athletic-bilbao; 2018-01-10 12:20:48 GMT+2; ; e70300-dr003
Getafe; 6/4; ; 17/11; 6/4; 159/100; 13/8; 6/4; 6/4; 8/5; 31/20; ; 31/20; ; 8/5; 8/5; 6/4; 16/11; 6/4; 16/11; 22/15; 8/5; 6/4; 31/20; 31/20; 17/11; ; 5/4; ; 
Athletic Bilbao; 9/5; ; 9/5; 15/8; 101/50; 9/5; 9/5; 9/5; 24/13; 9/5; ; 9/5; ; 15/8; 9/5; 15/8; 9/5; 9/5; 9/5; 32/19; 24/13; 15/8; 9/5; 9/5; 9/5; ; 7/5; ; 
Draw; 23/10; ; 21/10; 11/5; 59/25; 23/10; 21/10; 9/4; 21/10; 21/10; ; 9/4; ; 43/20; 11/5; 11/5; 23/10; 21/10; 23/10; 23/10; 21/10; 11/5; 23/10; 11/5; 28/13; ; ; ; 
META; spain/la-liga-primera/getafe-v-athletic-bilbao; 2018-01-10 13:42:03 GMT+2; 2018-01-19 20:00; e70300-dr003
Getafe; 6/4; ; 17/11; 6/4; 159/ 100; 13/8; 6/4; 6/4; 8/5; 31/20; ; 31/20; ; 8/5; 8/5; 6/4; 16/11; 6/4; 16/11; 22/15; 8/5; 6/4; 31/20; 31/20; 17/11; 5/4; ; 
Athletic Bilbao; 9/5; ; 9/5; 15/8; 101/ 50; 9/5; 9/5; 9/5; 24/13; 9/5; ; 9/5; ; 15/8; 9/5; 15/8; 9/5; 9/5; 9/5; 32/19; 24/13; 15/8; 9/5; 9/5; 9/5; 7/5; ; 
Draw; 23/10; ; 21/10; 11/5; 59/25; 23/10; 21/10; 9/4; 21/10; 21/10; ; 9/4; ; 43/20; 11/5; 11/5; 23/10; 21/10; 23/10; 23/10; 21/10; 11/5; 23/10; 11/5; 28/13; ; ; 
META; spain/la-liga-primera/getafe-v-athletic-bilbao; 2018-01-17 12:25:28 GMT+2; 2018-01-19 20:00; e70300-dr003
Getafe; 13/8; 17/10; 28/17; 6/4; 89/50; 17/10; 13/8; 17/10; 17/10; 33/20; 17/10; 17/10; 33/20; 7/4; 17/10; 17/10; 17/10; 28/17; 17/10; 22/13; 17/10; 13/8; 17/10; 17/10; 17/10; 13/8; 13/8; 17/10
Athletic Bilbao; 17/10; 17/10; 7/4; 15/8; 93/50; 9/5; 7/4; 9/5; 9/5; 17/10; 7/4; 9/5; 17/10; 7/4; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 17/10; 9/5; 9/5; 17/10; 13/8; 19/10
Draw; 11/5; 21/10; 21/10; 11/5; 113/ 50; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 11/5; 21/10; 21/10; 21/10; 37/19; 21/10; 37/19; 11/5; 21/10; 2; 11/5; 2; 28/13; 21/10; 19/10; 21/10
