META; spain/la-liga-primera/las-palmas-v-girona; 2018-05-15 10:47:56 GMT+3; 2018-05-20 16:00; e70300-dr003
Girona; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 5/4; 11/10; 10/9; 5/4
Las Palmas; 21/10; 2; 21/10; 19/10; 9/5; 2; 2; 39/19; 2; 21/10; 13/8; 9/5; 2; ; 
Draw; 12/5; 13/5; 68/25; 5/2; 12/5; 5/2; 13/5; 13/5; 28/11; 11/4; 11/4; 13/5; 9/4; 15/8; 5/2
META; spain/la-liga-primera/las-palmas-v-girona; 2018-05-16 16:14:00 GMT+3; 2018-05-20 16:00; e70300-dr003
Girona; 5/4; 6/5; 5/4; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 5/4; 23/20; 11/10; 5/4
Las Palmas; 21/10; 2; 21/10; 2; 2; 21/10; 41/20; 21/10; 2; 21/10; 19/10; 19/10; 2; ; 
Draw; 12/5; 13/5; 68/25; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 11/4; 11/4; 13/5; 12/5; 19/10; 5/2
META; spain/la-liga-primera/las-palmas-v-girona; 2018-05-17 12:12:08 GMT+3; 2018-05-20 16:00; e70300-dr003
Girona; 5/4; 6/5; 5/4; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 5/4; 6/5; 11/10; 5/4
Las Palmas; 21/10; 2; 21/10; 2; 2; 21/10; 41/20; 21/10; 2; 21/10; 19/10; 19/10; 2; ; 
Draw; 12/5; 13/5; 68/25; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 11/4; 11/4; 13/5; 12/5; 19/10; 5/2
META; spain/la-liga-primera/las-palmas-v-girona; 2018-05-19 12:10:24 GMT+3; 2018-05-19 17:30; e70300-dr003
Girona; 23/20; 6/5; 6/5; 6/5; 5/4; 5/4; 5/4; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 5/4; 24/19; 16/13; 5/4; 5/4; 6/5; 6/5; 5/4; 13/10; 13/10
Las Palmas; 21/10; 19/10; 2; 19/10; 21/10; 21/10; 2; 21/10; 2; 21/10; 21/10; 2; 43/20; 2; 21/10; 2; 39/19; 39/19; 85/40; 21/10; 2; 21/10; 21/10; 21/10; ; 
Draw; 13/5; 11/4; 13/5; 11/4; 68/25; 11/4; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 27/10; 11/4; 13/5; 27/10; 27/10; 13/5; 11/4; 45/17; 13/5; 13/5; 27/10; 11/4; 27/10
