META; spain/la-liga-primera/betis-v-alaves; 2017-10-18 12:02:25 GMT+3; 2017-10-21 15:15; e70300-dr003
Betis; 4/7; 3/5; 4/7; 11/20; 4/7; 4/7; 5/9; 8/15; 6/11; 4/7; 4/7; 6/10; ; 4/7; 4/7; 8/15; 6/11; 4/7; 3/5; 3/5; 6/11; 4/7; 4/7; 4/7; 4/7; ; 8/15; 8/15; 4/7
Draw; 3; 29/10; 29/10; 3; 16/5; 10/3; 3; 3; 31/10; 29/10; 3; 29/10; ; 31/10; 16/5; 14/5; 31/10; 58/19; 16/5; 41/13; 3; 3; 16/5; 3; 31/10; ; 14/5; 14/5; 3
Alaves; 9/2; 19/4; 24/5; 5; 5; 19/4; 9/2; 5; 51/10; 19/4; 9/2; 19/4; ; 5; 19/4; 9/2; 9/2; 5; 28/5; 23/5; 5; 19/4; 19/4; 19/4; 96/19; ; 21/5; 21/5; 27/5
