META; spain/la-liga-primera/levante-v-getafe; 2017-10-18 12:02:23 GMT+3; 2017-10-21 12:00; e70300-dr003
Levante; 11/8; 7/5; 7/5; 13/10; 29/20; 7/5; 6/4; 7/5; 16/11; 29/20; 7/5; 29/20; ; 6/4; 7/5; 13/10; 23/17; 16/11; 31/20; 17/12; 16/11; 7/5; 29/20; 7/5; 16/11; ; 11/8; 27/20; 6/4
Getafe; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 2; 39/19; 21/10; 21/10; 21/10; ; 21/10; 21/10; 2; 2; 21/10; 109/50; 21/10; 39/19; 2; 2; 21/10; 21/10; ; 19/10; 2; 17/10
Draw; 11/5; 21/10; 21/10; 11/5; 11/5; 23/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; ; 11/5; 11/5; 21/10; 11/5; 21/10; 56/25; 23/10; 11/5; 85/40; 9/4; 21/10; 28/13; ; 19/10; 2; 11/5
