META; spain/la-liga-primera/alaves-v-leganes; 2017-12-26 12:45:49 GMT+2; 2018-01-21 15:00; e70300-dr003
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 
Leganes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 91/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 49/20; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-leganes; 2017-12-31 12:14:43 GMT+2; 2018-01-21 15:00; e70300-dr003
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 
Leganes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 91/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 49/20; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-leganes; 2018-01-10 12:21:01 GMT+2; ; e70300-dr003
Alaves; 6/4; ; 13/8; 13/8; 171/100; 13/8; 8/5; 8/5; 8/5; 8/5; ; 13/8; ; 33/20; 8/5; ; 17/11; 17/11; 17/11; 53/35; 8/5; 13/8; 13/8; 8/5; 17/11; ; 7/5; ; 
Leganes; 15/8; ; 19/10; 2; 103/50; 2; 15/8; 15/8; 19/10; 15/8; ; 19/10; ; 2; 19/10; 19/10; 9/5; 24/13; 9/5; 30/17; 19/10; 15/8; 19/10; 19/10; 19/10; ; 7/4; ; 
Draw; 11/5; ; 19/10; 19/10; 85/40; 21/10; 2; 2; 2; 19/10; ; 19/10; ; 39/20; 21/10; 2; 21/10; 2; 21/10; 21/10; 2; 2; 21/10; 2; 2; ; 9/5; ; 
META; spain/la-liga-primera/alaves-v-leganes; 2018-01-10 13:42:16 GMT+2; 2018-01-21 11:00; e70300-dr003
Alaves; 11/8; ; 7/5; 13/8; 149/ 100; 6/4; 6/4; 6/4; 8/5; 7/5; ; 7/5; ; 6/4; 7/5; 7/5; 7/5; 23/17; 7/5; 15/11; 8/5; 7/5; 29/20; 7/5; 23/17; 1; ; 
Draw; 11/5; ; 19/10; 19/10; 21/10; 2; 2; 2; 2; 19/10; ; 21/10; ; 39/20; 21/10; 2; 21/10; 2; 21/10; 21/10; 2; 2; 21/10; 2; 2; 9/5; ; 
Leganes; 2; ; 11/5; 2; 61/25; 11/5; 2; 21/10; 19/10; 11/5; ; 21/10; ; 11/5; 11/5; 21/10; 2; 28/13; 2; 2; 19/10; 23/10; 85/40; 9/4; 11/5; 7/4; ; 
META; spain/la-liga-primera/alaves-v-leganes; 2018-01-17 12:25:51 GMT+2; 2018-01-21 11:00; e70300-dr003
Alaves; 11/10; 23/20; 15/13; 23/20; 121/ 100; 23/20; 6/5; 11/10; 15/13; 23/20; 11/10; 11/10; 23/20; 6/5; 23/20; 11/10; 15/13; 11/10; 15/13; 8/7; 15/13; 11/10; 23/20; 23/20; 15/13; 21/20; 10/9; 10/9
Draw; 21/10; 2; 2; 2; 54/25; 2; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 21/10; 2; 37/19; 21/10; 37/19; 28/13; 2; 2; 85/40; 2; 21/10; 2; 19/10; 21/10
Leganes; 14/5; 14/5; 14/5; 14/5; 61/20; 29/10; 11/4; 11/4; 3; 11/4; 11/4; 14/5; 27/10; 11/4; 14/5; 14/5; 11/4; 37/13; 11/4; 37/13; 56/19; 14/5; 14/5; 57/20; 29/10; 14/5; 13/5; 3
META; spain/la-liga-primera/alaves-v-leganes; 2018-01-18 18:19:09 GMT+2; 2018-01-21 11:00; e70300-dr003
Alaves; 23/20; 23/20; 15/13; 23/20; 121/ 100; 23/20; 6/5; 11/10; 15/13; 23/20; 23/20; 6/5; 23/20; 6/5; 23/20; 6/5; 15/13; 15/13; 15/13; 6/5; 19/17; 11/10; 23/20; 23/20; 15/13; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 54/25; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 2; 21/10; 2; 37/19; 39/19; 37/19; 28/13; 39/19; 2; 21/10; 2; 21/10; 19/10; 19/10; 21/10
Leganes; 14/5; 14/5; 14/5; 14/5; 61/20; 29/10; 11/4; 11/4; 56/19; 29/10; 11/4; 11/4; 27/10; 14/5; 14/5; 14/5; 11/4; 29/10; 11/4; 27/10; 29/10; 14/5; 14/5; 57/20; 29/10; 14/5; 13/5; 3
META; spain/la-liga-primera/alaves-v-leganes; 2018-01-19 12:15:21 GMT+2; 2018-01-21 11:00; e70300-dr003
Alaves; 6/5; 23/20; 15/13; 23/20; 63/50; 6/5; 6/5; 11/10; 15/13; 23/20; 23/20; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 15/13; 6/5; 6/5; 19/17; 6/5; 23/20; 6/5; 15/13; ; 10/9; 10/9; 6/5
Draw; 21/10; 2; 2; 2; 85/40; 21/10; 2; 2; 21/10; 19/10; 2; 2; 21/10; 2; 21/10; 2; 2; 39/19; 2; 28/13; 39/19; 2; 21/10; 2; 21/10; ; 19/10; 19/10; 2
Leganes; 13/5; 14/5; 11/4; 14/5; 59/20; 29/10; 13/5; 11/4; 56/19; 11/4; 11/4; 11/4; 27/10; 14/5; 14/5; 14/5; 14/5; 11/4; 14/5; 27/10; 29/10; 14/5; 14/5; 57/20; 14/5; ; 11/4; 13/5; 14/5
