META; spain/la-liga-primera/atletico-madrid-v-deportivo-la-coruna; 2018-03-12 10:25:25 GMT+2; 2018-04-01 19:45; e70300-dr003
Atletico Madrid; 2/11; 1/5; 2/13; 3/16; 3/19; 2/11; 1/6; 3/16
Draw; 11/2; 32/5; 11/2; 5; 11/2; 21/4; 96/19; 
Deportivo La Coruna; 14; 20; 18; 13; 14; 20; 20; 53/4
META; spain/la-liga-primera/atletico-madrid-v-deportivo-la-coruna; 2018-03-12 20:17:27 GMT+2; 2018-04-01 19:45; e70300-dr003
Atletico Madrid; 2/11; 1/5; 2/11; 2/9; 1/7; 2/11; 1/5; 2/13; 3/19; 2/11; 1/6; 1/6; 3/19
Draw; 11/2; 5; 11/2; 11/2; 6; 11/2; 11/2; 23/4; 6; 27/5; 13/2; 11/2; 29/5
Deportivo La Coruna; 14; 14; 16; 22; 18; 16; 14; 61/4; 14; 25/2; 17; 20; 31/2
META; spain/la-liga-primera/atletico-madrid-v-deportivo-la-coruna; 2018-03-13 12:20:03 GMT+2; 2018-04-01 19:45; e70300-dr003
Atletico Madrid; 2/11; 1/5; 2/11; 2/9; 1/7; 1/6; 2/11; 1/5; 3/19; 3/19; 2/11; 1/6; 1/6; 1/6; 3/19
Draw; 11/2; 5; 11/2; 11/2; 6; 11/2; 11/2; 57/10; 6; 27/5; 23/4; 13/2; 11/2; 23/4; 
Deportivo La Coruna; 14; 14; 16; 22; 18; 15; 16; 14; 15; 29/2; 25/2; 15; 17; 20; 15
META; spain/la-liga-primera/atletico-madrid-v-deportivo-la-coruna; 2018-03-13 20:17:54 GMT+2; 2018-04-01 19:45; e70300-dr003
Atletico Madrid; 2/11; 1/5; 2/11; 2/9; 1/9; 1/7; 1/9; 1/6; 2/11; 1/5; 3/19; 3/19; 2/11; 1/6; 1/6; 1/6; 3/19; 1/25
Draw; 11/2; 5; 11/2; 11/2; 5; 5; 11/2; 11/2; 57/10; 6; 27/5; 23/4; 13/2; 11/2; 23/4; 6/5; ; 
Deportivo La Coruna; 14; 14; 16; 22; 17; 18; 17; 15; 16; 14; 15; 29/2; 25/2; 15; 17; 20; 15; 6/5
META; spain/la-liga-primera/atletico-madrid-v-deportivo-la-coruna; 2018-03-14 20:17:42 GMT+2; 2018-04-01 19:45; e70300-dr003
Atletico Madrid; 2/11; 1/5; 2/11; 1/5; 1/9; 1/7; 1/9; 1/6; 2/11; 1/5; 3/19; 3/19; 2/11; 1/6; 1/6; 1/6; 3/19; 1/6
