META; spain/la-liga-primera/villarreal-v-leganes; 2018-04-10 08:16:40 GMT+3; 2018-04-17 20:30; e70300-dr003
Villarreal; 8/13; 63/100; 4/7; 4/7; 1/2; 3/5; 4/7; 6/10; 8/13; 8/13; 4/7; 4/7; 11/18; 3/5; 4/7; 4/7; 4/9
Draw; 13/5; 143/50; 3; 11/4; 11/4; 11/4; 3; 13/5; 27/10; 14/5; 11/4; 45/17; 45/17; 11/4; 29/10; 27/10; 15/8
Leganes; 5; 5; 9/2; 24/5; 5; 11/2; 5; 11/2; 94/19; 43/10; 24/5; 21/4; 5; 7/2; ; ; 
META; spain/la-liga-primera/villarreal-v-leganes; 2018-04-11 12:54:20 GMT+3; 2018-04-17 20:30; e70300-dr003
Villarreal; 8/13; 63/100; 4/7; 3/5; 1/2; 3/5; 4/7; 6/10; 8/13; 8/13; 8/13; 10/17; 11/18; 3/5; 4/7; 10/17; 4/9; 4/7
Draw; 13/5; 143/50; 3; 11/4; 11/4; 11/4; 3; 13/5; 27/10; 14/5; 13/5; 27/10; 45/17; 11/4; 29/10; 11/4; 2; 11/4
Leganes; 5; 5; 19/4; 9/2; 24/5; 5; 11/2; 5; 5; 96/19; 43/10; 24/5; 21/4; 51/10; 4; 28/5; ; 
META; spain/la-liga-primera/villarreal-v-leganes; 2018-04-11 20:18:16 GMT+3; 2018-04-17 20:30; e70300-dr003
Villarreal; 8/13; 63/00; 4/7; 3/5; 1/2; 3/5; 4/7; 6/10; 8/13; 8/13; 8/13; 10/17; 11/18; 3/5; 4/7; 10/17; 4/9; 4/7
Draw; 13/5; 143/0; 3; 11/4; 11/4; 11/4; 3; 13/5; 27/10; 14/5; 13/5; 27/10; 45/17; 11/4; 29/10; 11/4; 2; 11/4
Leganes; 5; 5; 19/4; 9/2; 24/5; 5; 11/2; 5; 5; 96/19; 43/10; 24/5; 21/4; 51/10; 4; 28/5; ; 
META; spain/la-liga-primera/villarreal-v-leganes; 2018-04-12 10:45:34 GMT+3; 2018-04-17 20:30; e70300-dr003
Villarreal; 8/13; 63/00; 4/7; 3/5; 1/2; 3/5; 4/7; 6/10; 8/13; 8/13; 8/13; 10/17; 11/18; 3/5; 4/7; 10/17; 4/9; 4/7
Draw; 13/5; 143/0; 3; 11/4; 11/4; 11/4; 3; 13/5; 27/10; 14/5; 13/5; 27/10; 45/17; 11/4; 29/10; 11/4; 2; 11/4
Leganes; 5; 5; 19/4; 9/2; 24/5; 5; 11/2; 5; 5; 96/19; 43/10; 24/5; 21/4; 51/10; 4; 28/5; ; 
