META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-03 18:18:13 GMT+3; 2018-04-15 19:45; e70300-dr003
Real Madrid; 3/10; 2/7; 33/100; 2/9; 1/4; 2/9; 2/7; 30/100; 3/10; 5/18; 3/10; 5/18; 2/7; 2/7; 5/18; 1/5
Draw; 17/4; 9/2; 5; 9/2; 4; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 7/2; ; 
Malaga; 9; 19/2; 8; 8; 10; 9; 9; 15/2; 10; 33/4; 37/5; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-04 08:17:36 GMT+3; 2018-04-15 19:45; e70300-dr003
Real Madrid; 3/10; 2/7; 2/7; 33/100; 2/9; 1/4; 2/9; 3/11; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 2/7; 3/11; 2/7; 2/7; 5/18; 1/5
Draw; 17/4; 9/2; 9/2; 51/10; 9/2; 9/2; 9/2; 19/4; 17/4; 9/2; 9/2; 9/2; 9/2; 4; 22/5; 23/5; 19/4; 9/2; 50/11; 4
Malaga; 9; 10; 9; 15/2; 17/2; 15/2; 17/2; 10; 9; 17/2; 8; 36/5; 8; 9; 34/5; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-real-madrid; 2018-04-04 18:18:54 GMT+3; 2018-04-15 19:45; e70300-dr003
Real Madrid; 3/10; 2/7; 2/7; 33/00; 2/9; 1/4; 2/9; 3/11; 2/7; 3/10; 30/00; 3/10; 5/18; 3/10; 2/7; 3/11; 2/7; 2/7; 5/18; 1/5
Draw; 17/4; 9/2; 9/2; 51/10; 9/2; 9/2; 9/2; 19/4; 17/4; 9/2; 9/2; 9/2; 9/2; 4; 22/5; 23/5; 19/4; 9/2; 50/11; 21/10
Malaga; 17/2; 10; 9; 15/2; 17/2; 15/2; 17/2; 10; 9; 17/2; 8; 36/5; 8; 9; 1/3; ; ; ; ; 
