META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-07 12:19:02 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 13/25
Draw; 71/20
Celta Vigo; 63/10
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-10 08:16:37 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 11/20; 29/50; 8/15; 8/15; 4/9; 8/15; 8/15; 4/7; 4/7; 11/20; 4/7; 8/15; 18/35; 8/15; 8/15; 8/15; 4/11
Draw; 10/3; 18/5; 7/2; 10/3; 16/5; 7/2; 10/3; 3; 16/5; 100/30; 10/3; 13/4; 7/2; 17/5; 7/2; 33/10; 1/50
Celta Vigo; 9/2; 51/10; 5; 9/2; 9/2; 23/5; 9/2; 9/2; 19/4; 19/4; 9/2; 22/5; 41/10; 23/5; 19/4; 49/11; 7/2
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-11 12:54:17 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 7/10; 43/50; 4/5; 4/5; 8/11; 3/4; 4/5; 4/5; 5/6; 17/20; 4/5; 4/5; 5/6; 14/19; 5/6; 4/5; 4/7; 5/6
Draw; 3; 61/20; 29/10; 14/5; 13/5; 16/5; 3; 11/4; 14/5; 14/5; 14/5; 37/13; 29/10; 31/10; 3; 37/13; 11/5; 14/5
Celta Vigo; 7/2; 67/20; 10/3; 3; 33/10; 3; 16/5; 16/5; 3; 16/5; 31/10; 13/5; 13/4; 29/10; 31/10; 5/6; 3; 
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-11 20:18:13 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 7/10; 43/50; 4/5; 4/5; 8/11; 3/4; 4/5; 4/5; 5/6; 17/20; 4/5; 10/13; 5/6; 14/19; 5/6; 4/5; 4/7; 5/6
Draw; 3; 61/20; 29/10; 14/5; 13/5; 16/5; 3; 11/4; 14/5; 14/5; 14/5; 37/13; 29/10; 31/10; 3; 29/10; 21/10; 14/5
Celta Vigo; 7/2; 67/20; 10/3; 3; 33/10; 3; 16/5; 16/5; 3; 16/5; 31/10; 13/5; 13/4; 29/10; 41/13; 5/6; 3; 
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-12 10:45:31 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 7/10; 43/50; 4/5; 4/5; 8/11; 3/4; 4/5; 4/5; 5/6; 17/20; 4/5; 10/13; 5/6; 14/19; 5/6; 4/5; 4/7; 5/6
Draw; 3; 61/20; 29/10; 14/5; 13/5; 16/5; 3; 11/4; 14/5; 14/5; 14/5; 37/13; 29/10; 31/10; 3; 29/10; 9/4; 14/5
Celta Vigo; 7/2; 67/20; 10/3; 3; 33/10; 3; 16/5; 16/5; 3; 16/5; 31/10; 13/5; 13/4; 29/10; 41/13; 5/6; 3; 
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-13 08:16:28 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 4/5; 47/50; 5/6; 5/6; 8/11; 3/4; 5/6; 20/23; 5/6; 17/20; 17/20; 5/6; 5/6; 14/19; 5/6; 13/15; 4/7; 5/6
Draw; 3; 59/20; 3; 14/5; 11/4; 16/5; 11/4; 13/5; 14/5; 14/5; 14/5; 37/13; 29/10; 31/10; 3; 29/10; 21/10; 27/10
