META; spain/la-liga-primera/girona-v-getafe; 2017-12-07 10:55:27 GMT+2; 2017-12-17 11:00; e70300-dr003
Girona; 21/20; ; 1; 21/20; 1; 1; 1; 1; 1; 1; ; 1; ; 21/20; 21/20; ; 1; 1; 107/100; 1; 1; 21/20; 21/20; 1; 1; ; 8/11; ; 
Draw; 11/5; ; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; ; 12/5; ; 47/20; ; ; 9/4; 23/10; 127/50; 13/5; 23/10; 23/10; 5/2; 47/20; 40/17; ; 9/5; ; 
Getafe; 14/5; ; 27/10; 13/5; 11/4; 29/10; ; 11/4; 3; 27/10; ; 11/4; ; 27/10; 13/5; ; 11/4; 27/10; 3; 45/17; 56/19; 14/5; 13/5; 57/20; 11/4; ; 13/8; ; 
META; spain/la-liga-primera/girona-v-getafe; 2017-12-08 12:13:39 GMT+2; 2017-12-17 11:00; e70300-dr003
Girona; 21/20; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; ; 1; ; 21/20; 21/20; ; 1; 1; 107/100; 1; 1; 21/20; 21/20; 1; 1; ; 8/11; ; 
Draw; 11/5; 12/5; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; ; 12/5; ; 47/20; ; ; 9/4; 23/10; 127/50; 13/5; 23/10; 23/10; 5/2; 47/20; 40/17; ; 9/5; ; 
Getafe; 14/5; 13/5; 27/10; 13/5; 11/4; 29/10; ; 11/4; 3; 27/10; ; 11/4; ; 27/10; 13/5; ; 11/4; 11/4; 3; 45/17; 56/19; 14/5; 13/5; 57/20; 11/4; ; 13/8; ; 
META; spain/la-liga-primera/girona-v-getafe; 2017-12-11 18:13:50 GMT+2; 2017-12-17 11:00; e70300-dr003
Girona; 21/20; 11/10; 11/10; 21/20; ; 21/20; 21/20; 1; 11/10; 11/10; 11/10; 11/10; ; 11/10; 21/20; ; 1; 21/20; 59/50; 15/14; 11/10; 21/20; 11/10; 1; 21/20; ; 10/9; 1; 10/9
Draw; 11/5; 12/5; 9/4; 12/5; ; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; ; 23/10; 23/10; ; 9/4; 23/10; 63/25; 13/5; 40/17; 23/10; 5/2; 47/20; 40/17; ; 23/10; 21/10; 12/5
Getafe; 14/5; 5/2; 5/2; 13/5; 14/5; 11/4; 5/2; 13/5; 13/5; 5/2; 11/4; 5/2; ; 13/5; 14/5; ; 14/5; 13/5; 67/25; 27/11; 28/11; 11/4; 5/2; 14/5; 13/5; ; 12/5; 9/4; 27/10
META; spain/la-liga-primera/girona-v-getafe; 2017-12-12 10:58:20 GMT+2; 2017-12-17 11:00; e70300-dr003
Girona; 21/20; 21/20; 21/20; ; ; 21/20; 21/20; 1; 11/10; 21/20; 11/10; 21/20; ; 11/10; 21/20; ; 1; 21/20; 113/100; 21/20; 11/10; 21/20; 21/20; 1; 21/20; ; 10/9; 1; 
Draw; 11/5; 12/5; 23/10; ; ; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 12/5; ; 47/20; 23/10; ; 9/4; 23/10; 129/50; 13/5; 40/17; 23/10; 5/2; 47/20; 23/10; ; 21/10; 21/10; 
Getafe; 14/5; 13/5; 13/5; ; 14/5; 11/4; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; ; 27/10; 14/5; ; 14/5; 13/5; 69/25; 5/2; 28/11; 11/4; 13/5; 14/5; 45/17; ; 12/5; 9/4; 
