META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-15 10:47:47 GMT+3; 2018-05-20 11:00; e70300-dr003
Valencia; 2/5; 2/5; 4/11; 19/50; 4/11; 4/11; 3/10; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 3/8; 4/11; 4/11; 4/11; 2/7; 3/10; 4/11; 4/11
Draw; 7/2; 4; 87/20; 4; 4; 17/4; 4; 4; 17/4; 77/19; 15/4; 43/10; 41/10; 17/4; 41/10; 10/3; 10/3; 21/5; 4; ; ; ; 
Deportivo La Coruna; 7; 11/2; 13/2; 7; 13/2; 13/2; 6; 13/2; 7; 13/2; 13/2; 6; 27/4; 6; 61/10; 13/2; 13/2; 7; 27/5; 37/5; 39/5; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-16 16:13:50 GMT+3; 2018-05-20 11:00; e70300-dr003
Valencia; 4/11; 2/5; 2/5; 4/9; 41/00; 4/11; 4/11; 1/3; 3/8; 2/5; 4/11; 2/5; 4/11; 2/5; 4/9; 7/19; 2/5; 3/8; 3/8; 4/11; 3/8; 4/11; 4/11; 2/5; 2/5
Draw; 7/2; 4; 4; 21/5; 4; 4; 43/10; 4; 4; 4; 41/10; 15/4; 43/10; 21/5; 17/4; 41/10; 7/2; 10/3; 21/5; 4; ; ; ; ; 
Deportivo La Coruna; 8; 13/2; 5; 32/5; 13/2; 6; 13/2; 13/2; 13/2; 7; 11/2; 6; 11/2; 27/4; 6; 61/10; 6; 13/2; 7; 27/5; 34/5; 34/5; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-17 12:11:45 GMT+3; 2018-05-20 11:00; e70300-dr003
Valencia; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 1/3; 3/8; 4/11; 1/3; 4/11; 4/11; 4/11; 4/11; 10/29; 4/11; 3/8; 3/8; 4/11; 10/29; 4/11; 1/3; 4/11; 4/11
Draw; 7/2; 4; 21/5; 9/2; 91/20; 4; 4; 43/10; 21/5; 4; 4; 17/4; 9/2; 17/4; 15/4; 43/10; 21/5; 17/4; 43/10; 7/2; 7/2; 9/2; 21/5; ; 
Deportivo La Coruna; 10; 7; 36/5; 7; 13/2; 13/2; 7; 15/2; 7; 7; 13/2; 15/2; 7; 61/10; 6; 31/4; 32/5; 33/5; 38/5; 38/5; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2018-05-19 12:10:37 GMT+3; 2018-05-20 11:00; e70300-dr003
Valencia; 4/11; 2/5; 4/11; 4/11; 19/50; 4/11; 7/20; 1/3; 6/17; 4/11; 4/11; 4/11; 4/11; 4/11; 4/11; 10/29; 4/11; 3/8; 6/17; 2/5; 6/17; 1/3; 4/11; 4/11; 4/11; 4/11
Draw; 17/4; 4; 7/2; 43/10; 9/2; 4; 22/5; 21/5; 4; 4; 17/4; 9/2; 43/10; 4; 22/5; 17/4; 22/5; 43/10; 4; 21/5; 21/5; 21/5; ; ; ; 
Deportivo La Coruna; 7; 13/2; 17/2; 71/10; 15/2; 7; 130/7; 13/2; 7; 13/2; 6; 13/2; 29/4; 15/2; 32/5; 15/2; 7; 29/4; 13/2; 34/5; 36/5; 38/5; 39/5; ; ; 
