META; spain/la-liga-primera/atletico-madrid-v-girona; 2018-01-10 12:21:03 GMT+2; ; e70300-dr003
Atletico Madrid; 2/7; ; 1/3; 7/20; 17/50; 3/10; 3/10; 3/10; 3/10; 1/3; ; 1/3; ; 7/20; 7/20; 1/3; 1/3; 3/10; 1/3; 6/19; 3/10; 1/3; 1/3; 3/10; 3/10; ; 1/14; ; 
Draw; 4; ; 18/5; 7/2; 22/5; 15/4; 15/4; 7/2; 15/4; 18/5; ; 7/2; ; 18/5; 15/4; 15/4; 37/10; 37/10; 37/10; 15/4; 37/10; 19/5; 4; 15/4; 15/4; ; 2; ; 
Girona; 11; ; 10; 10; 11; 11; 10; 11; 10; 10; ; 9; ; 10; 9; 10; 17/2; 39/4; 17/2; 79/10; 10; 9; 10; 11; 39/4; ; 4/9; ; 
META; spain/la-liga-primera/atletico-madrid-v-girona; 2018-01-10 13:42:19 GMT+2; 2018-01-21 15:15; e70300-dr003
Atletico Madrid; 2/7; ; 1/3; 7/20; 17/50; 3/10; 3/10; 3/10; 3/10; 1/3; ; 1/3; ; 7/20; 7/20; 1/3; 1/3; 3/10; 1/3; 6/19; 3/10; 1/3; 1/3; 3/10; 3/10; 1/14; ; 
Draw; 4; ; 18/5; 7/2; 22/5; 15/4; 15/4; 7/2; 15/4; 18/5; ; 7/2; ; 37/10; 15/4; 15/4; 37/10; 15/4; 37/10; 15/4; 37/10; 19/5; 4; 15/4; 15/4; 2; ; 
Girona; 11; ; 10; 10; 11; 11; 10; 11; 10; 9; ; 10; ; 9; 9; 10; 17/2; 19/2; 17/2; 79/10; 10; 9; 19/2; 11; 19/2; 4/9; ; 
META; spain/la-liga-primera/atletico-madrid-v-girona; 2018-01-18 18:19:02 GMT+2; 2018-01-20 15:15; e70300-dr003
Atletico Madrid; 4/11; 4/11; 4/11; 7/20; 19/50; 1/3; 7/20; 3/10; 4/11; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 6/17; 4/11; 6/17; 7/19; 4/11; 1/3; 2/5; 1/3; 4/11; ; 1/3; 4/11
Draw; 15/4; 15/4; 18/5; 7/2; 39/10; 15/4; 15/4; 7/2; 19/5; 18/5; 18/5; 7/2; 16/5; 37/10; 4; 10/3; 18/5; 62/17; 18/5; 50/13; 15/4; 7/2; 19/5; 7/2; 37/10; ; 27/10; 7/2
Girona; 17/2; 8; 17/2; 10; 21/2; 19/2; 17/2; 9; 17/2; 17/2; 17/2; 8; 8; 17/2; 15/2; 17/2; 8; 35/4; 8; 87/10; 17/2; 8; 9; 10; 35/4; ; 48/5; 49/5
META; spain/la-liga-primera/atletico-madrid-v-girona; 2018-01-19 12:15:13 GMT+2; 2018-01-20 15:15; e70300-dr003
Atletico Madrid; 4/11; 4/11; 4/11; 7/20; 41/100; 1/3; 7/20; 3/10; 4/11; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 4/11; 4/11; 7/19; 4/11; 2/5; 2/5; 4/11; 7/19; ; ; 4/11; 4/11
Draw; 15/4; 15/4; 7/2; 7/2; 39/10; 15/4; 7/2; 7/2; 19/5; 7/2; 18/5; 7/2; 16/5; 15/4; 4; 10/3; 15/4; 18/5; 15/4; 50/13; 15/4; 7/2; 19/5; 7/2; 62/17; ; ; 7/2; 7/2
Girona; 17/2; 8; 17/2; 10; 89/10; 19/2; 17/2; 9; 17/2; 17/2; 17/2; 8; 8; 9; 15/2; 17/2; 17/2; 17/2; 17/2; 87/10; 17/2; 8; 9; 10; 17/2; ; ; 41/5; 49/5
