META; spain/la-liga-primera/leganes-v-athletic-bilbao; 2017-10-18 12:02:38 GMT+3; 2017-10-22 17:30; e70300-dr003
Leganes; 6/4; 6/4; ; 6/4; 8/5; 31/20; 6/4; 6/4; 28/17; ; 8/5; 31/20; ; 8/5; 13/8; 7/5; 6/4; 6/4; 13/8; 23/15; 28/17; 8/5; 31/20; 31/20; 17/11; ; 13/8; 8/5; 13/10
Draw; 2; 2; ; 2; 21/10; 41/20; 2; 21/10; 2; ; 2; 39/20; ; 21/10; 19/10; 19/10; 37/19; 37/19; 85/40; 21/10; 2; 15/8; 21/10; 19/10; 2; ; 13/8; 9/5; 13/8
Athletic Bilbao; 2; 2; ; 21/10; 2; 21/10; 2; 2; 37/19; ; 19/10; 41/20; ; 2; 21/10; 19/10; 2; 2; 109/50; 21/10; 37/19; 2; 2; 21/10; 39/19; ; 6/4; 15/8; 21/10
