META; spain/la-liga-primera/atletico-madrid-v-real-sociedad; 2017-12-01 18:24:05 GMT+2; 2017-12-02 15:15; e70300-dr003
Atletico Madrid; 1/2; 8/15; 8/15; 4/7; 1/2; 11/20; 1/2; 1/2; 11/21; 8/15; 8/15; 11/20; 1/2; 4/7; 11/20; 8/15; 1/2; 8/15; 4/7; 8/15; 11/21; 8/15; 4/7; 8/15; 8/15; ; 1/2; 1/2; 8/15
Draw; 29/10; 3; 3; 14/5; 13/4; 31/10; 3; 3; 16/5; 3; 16/5; 14/5; 16/5; 16/5; 16/5; 3; 13/4; 3; 16/5; 16/5; 31/10; 3; 16/5; 59/20; 58/19; ; 3; 3; 3
Real Sociedad; 13/2; 5; 11/2; 5; 23/4; 6; 11/2; 11/2; 23/4; 11/2; 6; 11/2; 11/2; 6; 5; 6; 23/4; 96/17; 61/10; 57/10; 23/4; 11/2; 11/2; 6; 57/10; ; 29/5; 29/5; 32/5
