META; spain/la-liga-primera/alaves-v-celta-vigo; 2018-01-22 12:15:15 GMT+2; 2018-02-03 17:30; e70300-dr003
Celta Vigo; 17/10; 13/8; ; ; 171/ 100; 13/8; 8/5; 13/8; ; ; ; 13/8; ; ; ; 17/10; 8/5; 8/5; 8/5; 53/35; ; 13/8; 8/5; 33/20; 8/5; 6/5; ; 
Alaves; 13/8; 17/10; ; ; 9/5; 9/5; 17/10; 9/5; ; ; ; 7/4; ; ; ; 17/10; 17/10; 8/5; 17/10; 29/18; ; 13/8; 7/4; 17/10; 28/17; 5/4; ; 
Draw; 11/5; 9/4; ; ; 123/ 50; 23/10; 11/5; 9/4; ; ; ; 21/10; ; ; ; 23/10; 11/5; 11/5; 11/5; 40/17; ; 23/10; 23/10; 11/5; 9/4; 13/8; ; 
META; spain/la-liga-primera/alaves-v-celta-vigo; 2018-01-23 02:14:43 GMT+2; 2018-02-03 17:30; e70300-dr003
Celta Vigo; 17/10; 13/8; ; 8/5; 173/ 100; 13/8; 8/5; 13/8; 28/17; ; ; 13/8; ; 33/20; 8/5; 17/10; 8/5; 8/5; 8/5; 53/35; 28/17; 13/8; 8/5; 33/20; 8/5; 6/5; ; 
Alaves; 13/8; 17/10; ; 7/4; 9/5; 9/5; 17/10; 9/5; 17/10; ; ; 7/4; ; 7/4; 7/4; 7/4; 17/10; 28/17; 17/10; 29/18; 17/10; 13/8; 7/4; 17/10; 28/17; 5/4; ; 
Draw; 11/5; 9/4; ; 11/5; 121/ 50; 23/10; 11/5; 9/4; 11/5; ; ; 21/10; ; 9/4; 23/10; 9/4; 11/5; 11/5; 11/5; 40/17; 11/5; 23/10; 23/10; 9/4; 9/4; 9/5; ; 
META; spain/la-liga-primera/alaves-v-celta-vigo; 2018-01-23 17:20:51 GMT+2; 2018-02-03 17:30; e70300-dr003
Celta Vigo; 17/10; 13/8; ; 8/5; 173/ 100; 13/8; 8/5; 13/8; 28/17; ; ; 13/8; ; 33/20; 8/5; 8/5; 8/5; 8/5; 8/5; 53/35; 28/17; 13/8; 8/5; 33/20; 8/5; 6/5; ; 
Alaves; 13/8; 17/10; ; 7/4; 9/5; 9/5; 17/10; 9/5; 17/10; ; ; 7/4; ; 7/4; 7/4; 17/10; 17/10; 28/17; 17/10; 29/18; 17/10; 13/8; 7/4; 17/10; 28/17; 13/10; ; 
Draw; 11/5; 9/4; ; 11/5; 121/ 50; 9/4; 11/5; 9/4; 11/5; ; ; 21/10; ; 9/4; 23/10; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 23/10; 23/10; 9/4; 9/4; 9/5; ; 
META; spain/la-liga-primera/alaves-v-celta-vigo; 2018-01-24 12:16:18 GMT+2; 2018-02-03 17:30; e70300-dr003
Celta Vigo; 17/10; 13/8; ; 8/5; 173/ 100; 13/8; 8/5; ; 28/17; ; ; 13/8; ; 33/20; 8/5; 8/5; 8/5; 8/5; 8/5; 53/35; 28/17; 13/8; 8/5; 33/20; 8/5; ; 5/4; ; 
Alaves; 13/8; 17/10; ; 7/4; 9/5; 9/5; 17/10; ; 17/10; ; ; 7/4; ; 7/4; 7/4; 17/10; 17/10; 28/17; 17/10; 29/18; 17/10; 13/8; 7/4; 17/10; 28/17; ; 7/5; ; 
Draw; 11/5; 9/4; ; 11/5; 121/ 50; 9/4; 11/5; ; 11/5; ; ; 21/10; ; 9/4; 23/10; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 23/10; 23/10; 9/4; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/alaves-v-celta-vigo; 2018-01-30 12:17:16 GMT+2; 2018-02-03 17:30; e70300-dr003
Celta Vigo; 13/8; 13/8; 13/8; 7/4; 42/25; 17/10; 8/5; 13/8; 7/4; 8/5; 8/5; 17/10; ; 33/20; 7/4; 6/4; 17/10; 8/5; 17/10; 17/10; 7/4; 8/5; 8/5; 8/5; 8/5; ; 6/4; 7/5; 13/8
Alaves; 7/4; 13/8; 28/17; 6/4; 93/50; 13/8; 17/10; 8/5; 8/5; 33/20; 17/10; 17/10; ; 17/10; 13/8; 13/8; 8/5; 7/4; 8/5; 13/8; 8/5; 7/4; 17/10; 17/10; 7/4; ; 13/8; 8/5; 9/5
Draw; 11/5; 23/10; 11/5; 23/10; 121/ 50; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 21/10; ; 9/4; 23/10; 21/10; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; ; 11/5; 2; 23/10
