META; spain/la-liga-primera/betis-v-real-sociedad; 2018-02-19 16:18:40 GMT+2; 2018-03-01 18:30; e70300-dr003
Betis; 6/4; ; 16/11; ; 29/20; 6/4; 7/5; 7/5; ; 29/20; ; 31/20; ; 6/4; 6/4; 7/5; 6/4; 23/17; 7/5; ; 7/5; 6/4; 29/20; 17/11; ; 7/5; ; 
Real Sociedad; 17/10; ; 13/8; ; 52/25; 9/5; 17/10; 7/4; ; 8/5; ; 17/10; ; 13/8; 7/4; 13/8; 28/17; 17/10; 8/5; ; 13/8; 17/10; 13/8; 28/17; ; 13/8; ; 
Draw; 12/5; ; 13/5; ; 127/50; 5/2; 5/2; 12/5; ; 13/5; ; 12/5; ; 27/10; 5/2; 9/4; 23/10; 12/5; 13/5; ; 11/4; 13/5; 27/10; 40/17; ; 23/10; ; 
META; spain/la-liga-primera/betis-v-real-sociedad; 2018-02-20 12:17:35 GMT+2; 2018-03-01 18:30; e70300-dr003
Betis; 6/4; 7/5; 6/4; ; 157/ 100; 6/4; 7/5; 7/5; 16/11; 29/20; ; 31/20; ; 6/4; 6/4; 7/5; 16/11; 23/17; 7/5; 16/11; 6/4; 29/20; 29/20; 16/11; ; 7/5; ; 
Real Sociedad; 17/10; 13/8; 8/5; ; 171/ 100; 9/5; 13/8; 7/4; 8/5; 8/5; ; 17/10; ; 13/8; 7/4; 6/4; 8/5; 17/10; 8/5; 8/5; 8/5; 13/8; 13/8; 8/5; ; 13/8; ; 
Draw; 12/5; 14/5; 13/5; ; 72/25; 5/2; 13/5; 12/5; 11/4; 13/5; ; 12/5; ; 27/10; 5/2; 12/5; 13/5; 12/5; 13/5; 11/4; 11/4; 14/5; 27/10; 13/5; ; 12/5; ; 
META; spain/la-liga-primera/betis-v-real-sociedad; 2018-02-24 12:16:53 GMT+2; 2018-03-01 18:30; e70300-dr003
Betis ; 6/4; 7/5; 16/11; 29/20; 38/25; ; 7/5; 7/5; 16/11; 7/5; 29/20; 29/20; ; 6/4; 6/4; 11/8; 16/11; 23/17; 7/5; 16/11; 7/5; 6/4; 29/20; 16/11; ; 7/5; ; 
Real Sociedad; 17/10; 13/8; 28/17; 8/5; 177/100; 17/10; 13/8; 8/5; 8/5; 13/8; 17/10; 13/8; ; 13/8; 8/5; 6/4; 28/17; 17/10; 8/5; 8/5; 13/8; 8/5; 33/20; 28/17; ; 13/8; ; 
Draw; 12/5; 14/5; 13/5; 11/4; 72/25; ; 13/5; 12/5; 11/4; 13/5; 13/5; 13/5; ; 27/10; 11/4; 5/2; 13/5; 12/5; 13/5; 11/4; 11/4; 14/5; 27/10; 45/17; ; 5/2; ; 
META; spain/la-liga-primera/betis-v-real-sociedad; 2018-02-27 18:16:00 GMT+2; 2018-03-01 18:30; e70300-dr003
Real Sociedad; 7/5; 7/5; 6/4; 6/4; 6/4; 31/20; 6/4; 7/5; 17/11; 6/4; 29/20; 29/20; 42/25; 31/20; 8/5; 7/5; 6/4; 17/11; 22/15; 6/4; 6/4; 6/4; 6/4; ; 6/4; 6/4; 6/4
Betis ; 9/5; 13/8; 8/5; 13/8; 179/100; 13/8; 8/5; 8/5; 8/5; 8/5; 17/10; 13/8; 29/20; 13/8; 6/4; 6/4; 28/17; 28/17; 28/17; 17/11; 8/5; 13/8; 28/17; ; 13/8; 13/8; 7/4
Draw; ; 14/5; 13/5; 13/5; 29/10; 27/10; 13/5; 13/5; 11/4; 27/10; 13/5; 13/5; 14/5; 11/4; 11/4; 12/5; 45/17; 13/5; 37/13; 11/4; ; 11/4; 27/10; ; 27/10; 11/4; 14/5
META; spain/la-liga-primera/betis-v-real-sociedad; 2018-03-01 15:57:44 GMT+2; ; e70300-dr003
Real Sociedad w l d w l l; 31/20; 6/4; 6/4; 29/20; 33/20; 31/20; 6/4; 6/4; 17/11; 6/4; 6/4; 6/4; 6/4; 31/20; 8/5; 6/4; 17/11; 6/4; 53/35; 6/4; 31/20; 31/20; 17/11; 6/4; 8/5; 13/8
; 8/5; 13/8; 8/5; 8/5; 42/25; 13/8; 13/8; 8/5; 7/4; 13/8; 8/5; 8/5; 17/10; 33/20; 13/8; 13/8; 28/17; 17/10; 32/19; 17/10; 17/10; 33/20; 17/10; 13/8; 17/10; 17/10
Draw; 11/4; 13/5; 13/5; 11/4; 139/50; 27/10; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 27/10; 5/2; 13/5; 28/11; 13/5; 27/10; 5/2; 53/20; 28/11; 13/5; 27/10; 11/4; 
