META; spain/la-liga-primera/las-palmas-v-malaga; 2018-01-22 12:15:30 GMT+2; 2018-02-05 20:00; e70300-dr003
Las Palmas; 23/20; 6/5; ; ; 121/ 100; 6/5; 5/4; 6/5; ; ; ; ; ; ; ; ; 11/10; 6/5; 11/10; 16/13; ; 5/4; 6/5; 6/5; 6/5; 5/6; ; 
Draw; 12/5; 5/2; ; ; 5/2; 5/2; 12/5; 5/2; ; ; ; ; ; ; ; ; 11/5; 40/17; 11/5; 5/2; ; 5/2; 5/2; 12/5; 40/17; 9/5; ; 
Malaga; 23/10; 21/10; ; ; 13/5; 12/5; 21/10; 23/10; ; ; ; ; ; ; ; ; 5/2; 39/19; 5/2; 19/10; ; 11/5; 11/5; 11/5; 21/10; 13/8; ; 
META; spain/la-liga-primera/las-palmas-v-malaga; 2018-01-23 02:14:58 GMT+2; 2018-02-05 20:00; e70300-dr003
Las Palmas; 23/20; 6/5; ; 5/4; 32/25; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 13/10; 5/4; 5/4; 15/13; 6/5; 15/13; 16/13; 6/5; 5/4; 6/5; 6/5; 6/5; 5/6; ; 
Malaga; 23/10; 21/10; ; 21/10; 119/ 50; 12/5; 21/10; 23/10; 11/5; ; ; 21/10; ; 21/10; 21/10; 11/5; 23/10; 28/13; 23/10; 19/10; 11/5; 11/5; 11/5; 11/5; 28/13; 13/8; ; 
Draw; 12/5; 5/2; ; 12/5; 64/25; 5/2; 12/5; 5/2; 12/5; ; ; 5/2; ; 49/20; 5/2; 5/2; 23/10; 40/17; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 40/17; 7/4; ; 
META; spain/la-liga-primera/las-palmas-v-malaga; 2018-01-23 17:21:06 GMT+2; 2018-02-05 20:00; e70300-dr003
Las Palmas; 23/20; 6/5; ; 5/4; 32/25; 6/5; 5/4; 6/5; 6/5; ; ; 6/5; ; 13/10; 5/4; 6/5; 15/13; 6/5; 15/13; 16/13; 6/5; 5/4; 6/5; 6/5; 6/5; 10/11; ; 
Malaga; 23/10; 21/10; ; 21/10; 119/ 50; 23/10; 2; 23/10; 11/5; ; ; 21/10; ; 41/20; 21/10; 11/5; 23/10; 28/13; 23/10; 19/10; 11/5; 11/5; 11/5; 11/5; 28/13; 17/10; ; 
Draw; 12/5; 5/2; ; 12/5; 64/25; 5/2; 12/5; 5/2; 12/5; ; ; 5/2; ; 49/20; 5/2; 12/5; 23/10; 40/17; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 40/17; 9/5; ; 
META; spain/la-liga-primera/las-palmas-v-malaga; 2018-01-24 12:16:33 GMT+2; 2018-02-05 20:00; e70300-dr003
Las Palmas; 23/20; 6/5; ; 5/4; 32/25; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 5/4; 5/4; 6/5; 15/13; 6/5; 15/13; 16/13; 6/5; 5/4; 6/5; 6/5; 6/5; ; 5/6; ; 
Malaga; 23/10; 21/10; ; 21/10; 119/ 50; 23/10; 21/10; ; 11/5; ; ; 21/10; ; 21/10; 21/10; 21/10; 23/10; 28/13; 23/10; 19/10; 11/5; 11/5; 11/5; 11/5; 28/13; ; 13/8; ; 
Draw; 12/5; 5/2; ; 12/5; 64/25; 5/2; 12/5; ; 12/5; ; ; 5/2; ; 49/20; 5/2; 5/2; 23/10; 40/17; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 12/5; ; 19/10; ; 
META; spain/la-liga-primera/las-palmas-v-malaga; 2018-01-30 12:17:32 GMT+2; 2018-02-05 20:00; e70300-dr003
Las Palmas; 5/4; 13/10; 5/4; 5/4; 69/50; 13/10; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 13/10; 5/4; 6/5; 5/4; 6/5; 23/18; 6/5; 13/10; 5/4; 13/10; 13/10; ; 5/4; 6/5; 
Malaga; 21/10; 2; 21/10; 21/10; 113/ 50; 21/10; 2; 21/10; 23/10; 21/10; 21/10; 21/10; ; 21/10; 11/5; 2; 11/5; 28/13; 11/5; 28/13; 23/10; 85/40; 21/10; 21/10; 28/13; ; 19/10; 19/10; 
Draw; 12/5; 12/5; 23/10; 12/5; 123/ 50; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; ; 47/20; 23/10; 9/4; 23/10; 23/10; 23/10; 5/2; 12/5; 23/10; 5/2; 23/10; 23/10; ; 21/10; 21/10; 
META; spain/la-liga-primera/las-palmas-v-malaga; 2018-02-05 12:45:33 GMT+2; 2018-02-05 20:00; e70300-dr003
Las Palmas; 5/4; 6/5; 6/5; 5/4; 5/4; ; ; ; 15/13; 6/5; 6/5; ; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 8/7; 6/5; 5/4; 6/5; 6/5; ; 5/4; 5/4; 13/10
Malaga; 11/5; 9/4; 9/4; 11/5; 49/20; ; ; ; 12/5; 9/4; 11/5; ; 9/4; 9/4; 23/10; 11/5; 23/10; 23/10; 11/5; 40/17; 23/10; 23/10; 47/20; 23/10; ; 9/4; 23/10; 12/5
Draw; 12/5; 12/5; 23/10; 23/10; 64/25; ; ; ; 28/11; 23/10; 12/5; ; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 49/20; 27/11; ; 12/5; 5/2; 5/2
