META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-07 14:15:21 GMT+2; 2018-02-21 17:45; e70300-dr003
Real Madrid; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 6/17; ; ; ; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; 4; ; ; ; ; 
Leganes; ; ; ; ; 61/10; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; ; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-12 20:48:52 GMT+2; 2018-02-21 17:45; e70300-dr003
Real Madrid; 2/7; ; 3/10; ; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; ; 3/10; ; 3/10; 30/100; 2/7; 5/18; 3/10; ; 5/18; 3/10; 2/7; 3/10; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; ; 26/5; 9/2; 9/2; 4; 9/2; 21/5; ; 4; ; 17/4; 9/2; 9/2; 22/5; 17/4; ; 22/5; 9/2; 9/2; 9/2; 49/11; ; 4; ; 
Leganes; 17/2; ; 10; ; 19/2; 10; 9; 9; 17/2; 9; ; 9; ; 9; 9; 17/2; 33/4; 8; ; 17/2; 17/2; 10; 17/2; 33/4; ; 19/2; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-16 18:37:56 GMT+2; 2018-02-21 17:45; e70300-dr003
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/ 100; 3/10; ; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 23/5; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; ; 8; 37/5; 17/2; 17/2; 10; 9; ; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-19 16:17:54 GMT+2; 2018-02-21 17:45; e70300-dr003
Real Madrid; 2/9; 1/4; 1/4; 2/7; 3/10; 1/4; 2/9; 2/9; 1/4; 2/7; 2/9; 1/4; 3/10; 2/7; 2/7; 1/4; 1/4; 5/19; 3/11; 1/4; 3/10; 1/4; 1/4; 1/4; ; 1/4; ; 2/7
Draw; 19/4; 5; 19/4; 9/2; 5; 5; 5; 5; 5; 9/2; 5; 9/2; 9/2; 9/2; 5; 5; 63/13; 19/4; 51/10; 24/5; 19/4; 21/4; 5; 49/10; ; ; ; 24/5
Leganes; 12; 9; 12; 9; 23/2; 12; 11; 10; 21/2; 11; 11; 11; 9; 10; 9; 11; 23/2; 35/4; 10; 21/2; 9; 11; 12; 23/2; ; ; ; 59/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-20 12:16:48 GMT+2; 2018-02-21 17:45; e70300-dr003
Real Madrid; 1/4; 2/7; 1/4; 2/7; 2/7; 1/4; 1/4; 2/9; 1/4; 2/7; 1/4; 1/4; ; 2/7; 2/7; 2/7; 5/19; 5/18; 5/18; 1/4; 3/10; 2/7; 2/7; 5/19; ; 1/4; ; 3/10
Draw; 5; 9/2; 9/2; 9/2; 27/5; 5; 19/4; 5; 5; 9/2; 9/2; 9/2; ; 19/4; 5; 9/2; 19/4; 5; 5; 24/5; 19/4; 5; 9/2; 24/5; ; 24/5; ; 24/5
Leganes; 11; 9; 11; 9; 23/2; 12; 10; 10; 21/2; 11; 11; 10; ; 11; 9; 10; 43/4; 9; 19/2; 21/2; 9; 12; 11; 11; ; 54/5; ; 59/5
