META; spain/la-liga-primera/barcelona-v-malaga; 2017-10-18 12:02:30 GMT+3; 2017-10-21 19:45; e70300-dr003
Barcelona; 1/14; 1/14; 1/16; 1/16; 1/16; 1/16; 1/33; 1/20; 1/16; 1/16; 1/16; 1/16; 1/16; 1/18; 1/16; 1/20; 1/20; 1/20; 2/25; 1/14; 1/16; 1/16; 1/20; 1/16; 1/20; ; 1/12; 1/16; 1/12
Draw; 12; 11; 14; 11; 14; 13; 12; 13; 14; 14; 11; 11; 11; 14; 12; 21/2; 11; 55/4; 33/2; 27/2; 13; 12; 14; 10; 55/4; ; 73/5; 68/5; 79/5
Malaga; 25; 25; 40; 28; 28; 33; 25; 45; 22; 40; 28; 30; 33; 50; 28; 22; 28; 105/4; 30; 30; 22; 25; 25; 33; 53/2; ; 31; 36; 25
