META; spain/la-liga-primera/las-palmas-v-valencia; 2018-01-07 12:15:00 GMT+2; 2018-01-20 19:45; e70300-dr003
Valencia; 2/5; 4/9; 2/5; ; 9/20; 3/4; 4/9; 8/11; ; ; ; 8/11; ; ; ; 5/6; 13/18; 3/7; 13/18; 7/17; ; 8/11; ; 21/50; 3/7; ; 8/15; ; 
Draw; 7/2; 15/4; 7/2; ; 4; 29/10; 7/2; 11/4; ; ; ; 14/5; ; ; ; 14/5; 13/5; 39/11; 13/5; 15/4; ; 13/5; ; 4; 18/5; ; 23/10; ; 
Las Palmas; 13/2; 11/2; 11/2; ; 32/5; 18/5; 11/2; 7/2; ; ; ; 7/2; ; ; ; 16/5; 15/4; 29/5; 15/4; 9/2; ; 7/2; ; 11/2; 76/13; ; 14/5; ; 
META; spain/la-liga-primera/las-palmas-v-valencia; 2018-01-10 12:20:58 GMT+2; ; e70300-dr003
Valencia; 10/11; ; ; 1; ; 21/20; 20/21; 10/11; 1; ; ; 20/21; ; 19/20; 19/20; 19/20; 1; ; 1; 1; 1; 10/11; 1; 10/11; 19/20; ; 1/4; ; 
Draw; 12/5; ; ; 11/4; ; 11/4; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 28/11; 5/2; 27/10; 13/5; 13/5; 27/10; ; ; ; 23/10; ; 
Las Palmas; 3; ; ; 12/5; ; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 11/4; 5/2; 45/17; 5/2; 11/5; 13/5; 13/5; 5/2; 11/4; 45/17; ; 5/2; ; 
META; spain/la-liga-primera/las-palmas-v-valencia; 2018-01-10 13:42:14 GMT+2; 2018-01-20 19:45; e70300-dr003
Valencia; 17/20; ; ; 1; ; 21/20; 20/21; 10/11; 1; ; ; 20/21; ; 19/20; 19/20; 19/20; 1; 10/11; 1; 1; 1; 10/11; 1; 10/11; 19/20; 1/4; ; 
Draw; 13/5; ; ; 11/4; ; 11/4; 13/5; 13/5; 13/5; ; ; 13/5; ; 11/4; 11/4; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 14/5; 27/10; 11/4; ; 23/10; ; 
Las Palmas; 3; ; ; 12/5; ; 27/10; 5/2; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 11/4; 5/2; 13/5; 5/2; 11/5; 13/5; 13/5; 5/2; 53/20; 45/17; 5/2; ; 
META; spain/la-liga-primera/las-palmas-v-valencia; 2018-01-17 12:25:46 GMT+2; 2018-01-20 19:45; e70300-dr003
Valencia; 4/6; 3/4; 8/11; 3/4; 19/25; 8/11; 7/10; 4/6; 7/10; 8/11; 7/10; 8/11; 5/6; 3/4; 3/4; 8/11; 7/10; 5/7; 7/10; 8/11; 7/10; 4/6; 8/11; 7/10; 5/7; 4/6; 4/6; 8/11
Draw; 16/5; 3; 29/10; 16/5; 16/5; 16/5; 29/10; 16/5; 3; 3; 16/5; 3; 16/5; 3; 3; 3; 29/10; 3; 29/10; 41/13; 3; 3; 16/5; 16/5; 58/19; 3; 14/5; 3
Las Palmas; 7/2; 16/5; 10/3; 3; 19/5; 7/2; 10/3; 7/2; 18/5; 10/3; 10/3; 10/3; 11/4; 17/5; 100/ 30; 10/3; 17/5; 39/11; 17/5; 38/11; 18/5; 100/ 30; 33/10; 7/2; 18/5; 10/3; 3; 7/2
META; spain/la-liga-primera/las-palmas-v-valencia; 2018-01-18 18:19:07 GMT+2; 2018-01-20 19:45; e70300-dr003
Valencia ; 4/5; 4/5; 4/5; 3/4; 4/5; 3/4; 4/5; 8/11; 7/9; 4/5; 3/4; 4/5; 5/6; 5/6; 3/4; 4/5; 3/4; 4/5; 3/4; 9/11; 7/9; 4/5; 4/5; 10/13; 4/5; 8/11; 8/11; 4/5
Draw; 3; 3; 29/10; 14/5; 63/20; 3; 29/10; 3; 56/19; 29/10; 3; 14/5; 16/5; 3; 3; 3; 29/10; 29/10; 29/10; 3; 56/19; 3; 3; 59/20; 29/10; 14/5; 14/5; 3
Las Palmas; 16/5; 29/10; 3; 10/3; 18/5; 16/5; 16/5; 16/5; 33/10; 3; 16/5; 3; 11/4; 31/10; 100/ 30; 16/5; 16/5; 16/5; 16/5; 41/13; 13/4; 3; 31/10; 10/3; 13/4; 3; 3; 10/3
META; spain/la-liga-primera/las-palmas-v-valencia; 2018-01-19 12:15:19 GMT+2; 2018-01-20 19:45; e70300-dr003
Valencia ; 4/5; 4/5; 3/4; 3/4; 5/6; 3/4; 4/5; 8/11; 7/9; 3/4; 3/4; 4/5; 9/10; 4/5; 3/4; 4/5; 7/9; 10/13; 7/9; 11/14; 7/9; 4/5; 5/6; 10/13; 4/5; ; 8/11; 8/11; 4/5
Draw; 14/5; 3; 29/10; 14/5; 31/10; 31/10; 14/5; 3; 56/19; 14/5; 3; 13/5; 3; 3; 3; 14/5; 3; 29/10; 3; 3; 56/19; 3; 3; 59/20; 29/10; ; 14/5; 14/5; 3
Las Palmas; 10/3; 29/10; 16/5; 10/3; 69/20; 10/3; 16/5; 16/5; 33/10; 3; 16/5; 10/3; 13/5; 16/5; 100/30; 10/3; 13/4; 33/10; 13/4; 13/4; 13/4; 3; 33/10; 10/3; 33/10; ; 10/3; 3; 10/3
