META; spain/la-liga-primera/levante-v-betis; 2018-02-16 18:38:22 GMT+2; 2018-02-26 20:00; e70300-dr003
Levante; 29/20; ; 16/11; 6/4; 31/20; 31/20; 7/5; ; 16/11; 29/20; ; 29/20; ; 6/4; 6/4; 7/5; 7/5; 16/11; 16/11; 16/11; 6/4; 29/20; 29/20; 7/5; ; 7/5; ; 
Betis; 19/10; ; ; 9/5; 39/20; 9/5; 9/5; ; 19/10; 7/4; ; 15/8; ; 19/10; 9/5; 15/8; 9/5; 19/10; 7/4; 19/10; 9/5; 15/8; 37/20; 24/13; ; 17/10; ; 
Draw; 11/5; ; 23/10; 23/10; 63/25; 12/5; 23/10; ; 9/4; 23/10; ; 23/10; ; 23/10; 12/5; 23/10; 9/4; 11/5; 11/5; 9/4; 23/10; 12/5; 23/10; 23/10; ; 11/5; ; 
META; spain/la-liga-primera/levante-v-betis; 2018-02-19 16:18:19 GMT+2; 2018-02-26 20:00; e70300-dr003
Levante; 11/8; 11/8; 23/17; 6/4; 37/25; 6/4; 11/8; ; 6/4; 27/20; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 23/17; 23/17; 23/17; 6/4; 7/5; 7/5; 11/8; 23/17; ; 7/5; ; 7/5
Betis; 2; 15/8; 19/10; 9/5; 103/50; 2; 9/5; ; 19/10; 19/10; 19/10; 19/10; 15/8; 19/10; 15/8; 19/10; 19/10; 37/19; 2; 19/10; 15/8; 15/8; 39/20; 19/10; ; 15/8; ; 2
Draw; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 23/10; ; 9/4; 23/10; 12/5; 23/10; 12/5; 12/5; 5/2; 12/5; 23/10; 9/4; 5/2; 9/4; 12/5; 5/2; 47/20; 23/10; ; 11/5; ; 12/5
META; spain/la-liga-primera/levante-v-betis; 2018-02-20 12:17:15 GMT+2; 2018-02-26 20:00; e70300-dr003
Levante; 11/8; 7/5; 26/19; 6/4; 38/25; 6/4; 6/4; ; 6/4; 11/8; 7/5; 7/5; ; 29/20; 7/5; 7/5; 7/5; 23/17; 23/17; 6/4; 7/5; 7/5; 7/5; 7/5; ; 7/5; ; 7/5
Betis; 15/8; 9/5; 28/15; 9/5; 2; 2; 7/4; ; 19/10; 15/8; 15/8; 19/10; ; 15/8; 15/8; 15/8; 24/13; 2; 2; 19/10; 15/8; 15/8; 39/20; 19/10; ; 15/8; ; 19/10
Draw; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 23/10; ; 9/4; 23/10; 12/5; 23/10; ; 12/5; 5/2; 12/5; 40/17; 11/5; 5/2; 9/4; 12/5; 5/2; 47/20; 40/17; ; 11/5; ; 12/5
META; spain/la-liga-primera/levante-v-betis; 2018-02-24 12:16:32 GMT+2; 2018-02-26 20:00; e70300-dr003
Levante; 6/4; 7/5; 7/5; 7/5; 37/25; 6/4; 7/5; ; 16/11; 11/8; 29/20; 29/20; 7/5; 7/5; 7/5; 11/8; 7/5; 16/11; 13/9; 10/7; 7/5; 29/20; 29/20; 7/5; ; 7/5; 7/5; 7/5
Betis; 15/8; 9/5; 28/15; 9/5; 51/25; 15/8; 9/5; ; 37/19; 9/5; 9/5; 15/8; 15/8; 19/10; 15/8; 17/10; 19/10; 24/13; 19/10; 19/10; 15/8; 9/5; 19/10; 19/10; ; 9/5; 19/10; 19/10
Draw; 23/10; 5/2; 12/5; 5/2; 127/50; 12/5; 12/5; ; 12/5; 23/10; 12/5; 23/10; 5/2; 49/20; 5/2; 9/4; 12/5; 12/5; 5/2; 12/5; 12/5; 5/2; 47/20; 12/5; ; 12/5; 5/2; 12/5
