META; spain/la-liga-primera/athletic-bilbao-v-getafe; 2017-07-31 11:59:47 GMT+3; 2017-08-20 16:00; e70300-dr003
Athletic Bilbao; 9/20; 1/2; 1/2; 1/2; 1/2; 8/13; 1/2; 4/9; 5/11; 2/5; 2/5; 1/2; 12/25; 40/85; 1/2; 4/9; 8/15; 4/9; 7/15; 1/2; 17/35; 5/11; 1/2; ; 7/15; ; 1/25; ; 1/2
Draw; 16/5; 3; 31/10; 3; 16/5; 14/5; 16/5; 10/3; 13/4; 4; 4; 14/5; 16/5; 10/3; 16/5; 16/5; 3; 3; 31/10; 18/5; 41/13; 16/5; 7/2; ; 3; ; 21/10; ; 3
Getafe; 13/2; 6; 6; 6; 13/2; 9/2; 6; 6; 13/2; 11/2; 11/2; 6; 6; 13/2; 6; 6; 5; 6; 23/4; 33/5; 49/10; 6; 11/2; ; 6; ; 4/11; ; 32/5
META; spain/la-liga-primera/athletic-bilbao-v-getafe; 2017-08-15 20:17:43 GMT+3; 2017-08-20 16:00; e70300-dr003
Athletic Bilbao; 1/2; 1/2; 40/85; 1/2; 1/2; 9/20; 1/2; 4/9; 10/21; ; 4/9; 1/2; 12/25; 40/85; 1/2; 1/2; 4/9; 10/21; 17/35; 51/100; 17/35; 10/21; 4/7; ; 7/15; ; 4/9; 4/9; 4/9
Draw; 14/5; 3; 31/10; 3; 3; 10/3; 16/5; 10/3; 33/10; ; 14/5; 14/5; 16/5; 10/3; 16/5; 3; 16/5; 13/4; 58/19; 17/5; 41/13; 13/4; 11/4; ; 3; ; 14/5; 3; 7/2
Getafe; 13/2; 6; 6; 6; 13/2; 13/2; 6; 6; 23/4; ; 11/2; 13/2; 6; 13/2; 6; 6; 25/4; 23/4; 23/4; 7; 31/5; 23/4; 11/2; ; 6; ; 6; 29/5; 33/5
META; spain/la-liga-primera/athletic-bilbao-v-getafe; 2017-08-16 20:04:41 GMT+3; 2017-08-20 16:00; e70300-dr003
Athletic Bilbao; 1/2; 1/2; 40/85; 1/2; 1/2; 9/20; 1/2; 4/9; 10/21; 1/2; 1/2; 1/2; 12/25; ; 1/2; 1/2; 4/9; 10/21; 1/2; 51/100; 17/35; 10/21; 4/7; ; 7/15; ; 4/9; 4/9; 1/2
Draw; 14/5; 3; 31/10; 3; 3; 10/3; 33/10; 10/3; 33/10; 3; 3; 14/5; 16/5; ; 16/5; 3; 16/5; 13/4; 41/13; 17/5; 41/13; 13/4; 11/4; ; 3; ; 3; 3; 7/2
Getafe; 13/2; 6; 6; 6; 13/2; 13/2; 6; 6; 23/4; 6; 6; 13/2; 6; ; 6; 6; 25/4; 23/4; 113/19; 7; 31/5; 23/4; 11/2; ; 6; ; 6; 31/5; 33/5
