META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-02-27 18:16:13 GMT+2; 2018-03-03 17:30; e70300-dr003
Deportivo La Coruna; 6/4; 6/4; 6/4; 17/10; 161/100; 31/20; 6/4; 7/5; 8/5; 6/4; 6/4; 29/20; ; 6/4; 6/4; 6/4; 6/4; 6/4; ; 8/5; 6/4; 29/20; 17/11; ; 7/5; ; 
Eibar; 15/8; 7/4; 9/5; 29/20; 49/25; 15/8; 9/5; 17/10; 7/4; 7/4; 15/8; 9/5; ; 37/20; 9/5; 7/4; 24/13; 7/4; ; 7/4; 9/5; 37/20; 24/13; ; 7/4; ; 
Draw; 11/5; 12/5; 9/4; 11/5; 12/5; 23/10; 9/4; 21/10; 11/5; 11/5; 9/4; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 9/4; ; 11/5; 12/5; 23/10; 23/10; ; 21/10; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-01 15:58:00 GMT+2; ; e70300-dr003
Deportivo La Coruna d l l l d l; 13/8; 13/8; 13/8; 17/10; 44/25; 13/8; 8/5; 6/4; 8/5; 13/8; 8/5; 13/8; 8/5; 17/10; 8/5; 8/5; 28/17; 6/4; 29/18; 8/5; 13/8; 33/20; 28/17; 6/4; 7/5; 13/8
Eibar d w w l l w; 7/4; 13/8; 17/10; 29/20; 179/100; 7/4; 17/10; 13/8; 7/4; 17/10; 17/10; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 7/4; 7/4; 7/4; 17/10; 17/10; 7/4; 8/5; 6/4; 7/4
Draw; 11/5; 12/5; 11/5; 11/5; 12/5; 12/5; 9/4; 23/10; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 9/4; 12/5; 11/5; 12/5; 47/20; 9/4; 21/10; 9/4; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-02 01:02:22 GMT+2; 2018-03-03 17:30; e70300-dr003
Deportivo La Coruna; 13/8; 13/8; 13/8; 17/10; 7/4; 13/8; 13/8; 6/4; 17/10; 33/20; 13/8; 13/8; 13/8; 33/20; 13/8; 8/5; 28/17; 6/4; 29/18; 17/10; 17/10; 33/20; 28/17; 13/8; 13/8; 13/8
Eibar; 7/4; 13/8; 33/20; 29/20; 89/50; 7/4; 17/10; 13/8; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 9/5; 17/10; 7/4; 7/4; 7/4; 17/10; 7/4; 17/10; 7/4; 13/8; 13/8; 7/4
Draw; 11/5; 12/5; 11/5; 11/5; 121/50; 12/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 47/20; 9/4; 11/5; 21/10; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-02 03:02:23 GMT+2; 2018-03-03 17:30; e70300-dr003
Deportivo La Coruna; 17/10; 13/8; 13/8; 17/10; 44/25; 13/8; 13/8; 6/4; 17/10; 33/20; 13/8; 13/8; 13/8; 33/20; 13/8; 8/5; 28/17; 6/4; 29/18; 17/10; 17/10; 28/17; 13/8; 13/8; 13/8
Eibar; 7/4; 13/8; 33/20; 29/20; 179/100; 7/4; 17/10; 13/8; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 9/5; 17/10; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 13/8; 13/8; 7/4
Draw; 11/5; 12/5; 11/5; 11/5; 12/5; 12/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 9/4; 11/5; 21/10; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-02 04:02:20 GMT+2; 2018-03-03 17:30; e70300-dr003
Deportivo La Coruna; 17/10; 13/8; 13/8; 17/10; 44/25; 13/8; 13/8; 6/4; 17/10; 33/20; 13/8; 13/8; 13/8; 33/20; 13/8; 8/5; 28/17; 17/11; 29/18; 17/10; 17/10; 17/10; 13/8; 13/8; 13/8
Eibar; 7/4; 13/8; 33/20; 29/20; 179/100; 7/4; 17/10; 13/8; 7/4; 17/10; 17/10; 17/10; 7/4; 17/10; 9/5; 17/10; 17/10; 9/5; 7/4; 17/10; 7/4; 7/4; 13/8; 13/8; 7/4
Draw; 11/5; 12/5; 11/5; 11/5; 12/5; 12/5; 9/4; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 23/10; 12/5; 11/5; 12/5; 11/5; 11/5; 21/10; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-02 05:02:22 GMT+2; 2018-03-03 17:30; e70300-dr003
Deportivo La Coruna; 17/10; 13/8; 13/8; 17/10; 44/25; 13/8; 13/8; 6/4; 17/10; 33/20; 13/8; 13/8; 13/8; 33/20; 13/8; 8/5; 28/17; 17/11; 29/18; 17/10; 17/10; 33/20; 17/10; 13/8; 13/8; 13/8
Eibar; 7/4; 13/8; 33/20; 29/20; 179/100; 7/4; 17/10; 13/8; 7/4; 17/10; 17/10; 17/10; 7/4; 17/10; 9/5; 17/10; 17/10; 9/5; 7/4; 17/10; 7/4; 17/10; 7/4; 13/8; 13/8; 7/4
Draw; 11/5; 12/5; 11/5; 11/5; 12/5; 12/5; 9/4; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 23/10; 12/5; 11/5; 12/5; 47/20; 11/5; 11/5; 21/10; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-02 07:02:21 GMT+2; 2018-03-03 17:30; e70300-dr003
Deportivo La Coruna; 17/10; 13/8; 13/8; 17/10; 177/100; 13/8; 13/8; 6/4; 17/10; 33/20; 13/8; 13/8; 13/8; 33/20; 13/8; 17/10; 28/17; 17/11; 29/18; 17/10; 17/10; 33/20; 17/10; 13/8; 13/8; 13/8
Eibar; 7/4; 13/8; 33/20; 29/20; 179/100; 7/4; 17/10; 13/8; 7/4; 17/10; 17/10; 17/10; 7/4; 17/10; 9/5; 8/5; 17/10; 9/5; 7/4; 17/10; 7/4; 17/10; 7/4; 13/8; 13/8; 7/4
Draw; 11/5; 12/5; 11/5; 11/5; 119/50; 12/5; 9/4; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 23/10; 12/5; 11/5; 12/5; 47/20; 11/5; 11/5; 21/10; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-02 08:19:08 GMT+2; 2018-03-03 17:30; e70300-dr003
Deportivo La Coruna; 17/10; 13/8; 13/8; 17/10; 179/100; 13/8; 13/8; 6/4; 17/10; 33/20; 13/8; 13/8; 13/8; 33/20; 13/8; 8/5; 28/17; 17/11; 29/18; 17/10; 17/10; 33/20; 17/10; 13/8; 13/8; 17/10
Eibar; 7/4; 13/8; 17/10; 8/5; 179/100; 7/4; 17/10; 13/8; 7/4; 17/10; 17/10; 17/10; 7/4; 17/10; 9/5; 17/10; 17/10; 9/5; 7/4; 17/10; 7/4; 17/10; 7/4; 13/8; 17/10; 9/5
Draw; 11/5; 12/5; 11/5; 23/10; 47/20; 12/5; 11/5; 23/10; 9/4; 11/5; 9/4; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 23/10; 12/5; 11/5; 12/5; 47/20; 9/4; 11/5; 21/10; 9/4
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-02 09:02:22 GMT+2; 2018-03-03 17:30; e70300-dr003
Deportivo La Coruna; 17/10; 13/8; 13/8; 17/10; 87/50; 13/8; 13/8; 6/4; 17/10; 33/20; 13/8; 13/8; 13/8; 33/20; 13/8; 8/5; 28/17; 17/11; 29/18; 17/10; 17/10; 33/20; 17/10; 13/8; 13/8; 17/10
Eibar; 7/4; 13/8; 17/10; 8/5; 37/20; 7/4; 17/10; 13/8; 7/4; 17/10; 17/10; 17/10; 7/4; 17/10; 9/5; 17/10; 17/10; 9/5; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 17/10; 9/5
Draw; 11/5; 12/5; 11/5; 23/10; 117/50; 12/5; 11/5; 23/10; 9/4; 11/5; 9/4; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 23/10; 12/5; 11/5; 12/5; 47/20; 9/4; 11/5; 21/10; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-02 13:58:16 GMT+2; 2018-03-03 17:30; e70300-dr003
Eibar; 7/4; 13/8; 17/10; 8/5; 7/4; 7/4; 17/10; 13/8; 7/4; 17/10; 17/10; 17/10; 17/10; 9/5; 17/10; 17/10; 9/5; 7/4; 17/10; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10
Deportivo La Coruna; 17/10; 13/8; 33/20; 17/10; 183/100; 13/8; 13/8; 6/4; 17/10; 33/20; 13/8; 17/10; 17/10; 13/8; 8/5; 17/10; 17/11; 29/18; 17/10; 17/10; 17/10; 17/10; 17/10; 7/4; 
Draw; 11/5; 23/10; 11/5; 23/10; 47/20; 12/5; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 23/10; 12/5; 11/5; 12/5; 23/10; 9/4; 11/5; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-eibar; 2018-03-03 12:17:32 GMT+2; 2018-03-03 17:30; e70300-dr003
Eibar; 9/5; 13/8; 33/20; 8/5; 7/4; 17/10; 17/10; 13/8; 7/4; 17/10; 17/10; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 31/18; 17/10; 7/4; 17/10; 17/10; 17/10; 7/4; 7/4
Deportivo La Coruna; 17/10; 13/8; 33/20; 17/10; 9/5; 17/10; 13/8; 13/8; 8/5; 33/20; 13/8; 13/8; 17/10; 33/20; 13/8; 8/5; 28/17; 28/17; 22/13; 8/5; 17/10; 17/10; 17/10; 17/10; 7/4; 17/10
Draw; 21/10; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 9/4; 12/5; 11/5; 11/5; 11/5; 9/4; 9/4; 12/5; 11/5; 9/4; 23/10; 23/10; 40/17; 12/5; 47/20; 9/4; 9/4; 23/10; 23/10
