META; spain/la-liga-primera/malaga-v-girona; 2018-01-17 12:26:17 GMT+2; 2018-01-27 17:30; e70300-dr003
Malaga; 29/20; 6/4; 6/4; 6/4; 161/ 100; 31/20; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; 6/4; 8/5; 7/5; 16/11; 16/11; 16/11; 11/8; 8/5; 6/4; 6/4; 6/4; 16/11; 21/20; ; 
Girona; 2; 19/10; 19/10; 19/10; 54/25; 19/10; 19/10; 15/8; 19/10; 19/10; ; 15/8; ; 2; 2; 19/10; 37/19; 37/19; 37/19; 23/13; 19/10; 2; 19/10; 39/20; 37/19; 7/5; ; 
Draw; 21/10; 11/5; 21/10; 11/5; 54/25; 11/5; 21/10; 11/5; 2; 21/10; ; 11/5; ; 43/20; 2; 2; 21/10; 2; 21/10; 40/17; 2; 85/40; 23/10; 21/10; 39/19; 9/5; ; 
META; spain/la-liga-primera/malaga-v-girona; 2018-01-18 18:19:30 GMT+2; 2018-01-27 17:30; e70300-dr003
Malaga; 29/20; 6/4; 6/4; 6/4; 161/ 100; 31/20; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; 6/4; 8/5; 7/5; 16/11; 16/11; 16/11; 11/8; 8/5; 6/4; 6/4; 6/4; 16/11; 27/20; ; 
Girona; 2; 19/10; 19/10; 19/10; 54/25; 19/10; 19/10; 15/8; 19/10; 19/10; ; 15/8; ; 2; 2; 19/10; 37/19; 37/19; 37/19; 23/13; 19/10; 2; 19/10; 39/20; 2; 17/10; ; 
Draw; 21/10; 11/5; 21/10; 11/5; 54/25; 11/5; 21/10; 11/5; 2; 21/10; ; 11/5; ; 43/20; 2; 2; 21/10; 2; 21/10; 40/17; 2; 85/40; 23/10; 21/10; 39/19; 9/5; ; 
META; spain/la-liga-primera/malaga-v-girona; 2018-01-19 12:15:43 GMT+2; 2018-01-27 17:30; e70300-dr003
Malaga; 29/20; 6/4; 6/4; 6/4; 161/100; 31/20; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; 6/4; 8/5; 7/5; 16/11; 16/11; 16/11; 11/8; 8/5; 6/4; 6/4; 6/4; 16/11; ; 20/21; ; 
Girona; 2; 19/10; 19/10; 19/10; 54/25; 19/10; 19/10; 15/8; 19/10; 19/10; ; 15/8; ; 2; 2; 19/10; 37/19; 37/19; 37/19; 23/13; 19/10; 2; 19/10; 39/20; 37/19; ; 7/5; ; 
Draw; 21/10; 11/5; 21/10; 11/5; 54/25; 11/5; 21/10; 11/5; 2; 21/10; ; 11/5; ; 43/20; 2; 2; 21/10; 2; 21/10; 40/17; 2; 85/40; 23/10; 21/10; 39/19; ; 9/5; ; 
META; spain/la-liga-primera/malaga-v-girona; 2018-01-22 12:14:49 GMT+2; 2018-01-27 17:30; e70300-dr003
Malaga; 29/20; 6/4; 6/4; 6/4; 33/20; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 6/4; ; 8/5; 8/5; 7/5; 16/11; 6/4; 16/11; 22/15; 8/5; 6/4; 6/4; 6/4; 17/11; 10/9; ; 13/8
Girona; 2; 19/10; 19/10; 19/10; 103/ 50; 2; 19/10; 2; 2; 19/10; 19/10; 15/8; ; 15/8; 2; 9/5; 37/19; 19/10; 37/19; 2; 2; 15/8; 19/10; 39/20; 37/19; 6/4; ; 2
Draw; 21/10; 11/5; 21/10; 11/5; 111/ 50; 11/5; 21/10; 21/10; 2; 2; 11/5; 11/5; ; 43/20; 2; 21/10; 21/10; 39/19; 21/10; 23/10; 2; 85/40; 23/10; 21/10; 21/10; 9/5; ; 11/5
META; spain/la-liga-primera/malaga-v-girona; 2018-01-23 02:14:18 GMT+2; 2018-01-27 17:30; e70300-dr003
Malaga; 29/20; 6/4; 6/4; 6/4; 39/25; 31/20; 6/4; 6/4; 8/5; 6/4; 29/20; 29/20; ; 6/4; 7/5; 7/5; 16/11; 17/11; 16/11; 23/15; 8/5; 7/5; 29/20; 6/4; 17/11; 7/5; 27/20; 6/4
Girona; 2; 19/10; 19/10; 19/10; 54/25; 21/10; 19/10; 2; 2; 19/10; 2; 2; ; 2; 21/10; 19/10; 37/19; 37/19; 37/19; 2; 2; 2; 2; 2; 37/19; 19/10; 9/5; 21/10
Draw; 21/10; 11/5; 21/10; 11/5; 56/25; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 21/10; ; 43/20; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 2; 85/40; 11/5; 21/10; 21/10; 19/10; 2; 11/5
META; spain/la-liga-primera/malaga-v-girona; 2018-01-23 17:20:26 GMT+2; 2018-01-27 17:30; e70300-dr003
Malaga; 11/8; 7/5; 16/11; 6/4; 79/50; 31/20; 6/4; 8/5; 16/11; 29/20; 29/20; 29/20; ; 6/4; 7/5; 11/8; 16/11; 16/11; 16/11; 22/15; 16/11; 6/4; 29/20; 6/4; 6/4; 11/8; 11/8; 6/4
Girona; 21/10; 2; 2; 19/10; 85/40; 19/10; 19/10; 15/8; 39/19; 19/10; 2; 19/10; ; 2; 21/10; 19/10; 37/19; 39/19; 37/19; 2; 39/19; 2; 2; 39/20; 39/19; 19/10; 9/5; 21/10
Draw; 21/10; 11/5; 21/10; 11/5; 9/4; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; ; 43/20; 11/5; 2; 21/10; 28/13; 21/10; 23/10; 11/5; 85/40; 9/4; 21/10; 28/13; 2; 2; 11/5
META; spain/la-liga-primera/malaga-v-girona; 2018-01-24 12:15:52 GMT+2; 2018-01-27 17:30; e70300-dr003
Malaga; 11/8; 7/5; 16/11; 6/4; 153/ 100; 31/20; 6/4; ; 16/11; 29/20; 29/20; 29/20; ; 6/4; 7/5; 11/8; 16/11; 16/11; 16/11; 22/15; 16/11; 7/5; 29/20; 29/20; 16/11; ; 11/8; 11/8; 6/4
Girona; 21/10; 2; 2; 19/10; 111/ 50; 2; 19/10; ; 39/19; 2; 2; 19/10; ; 41/20; 21/10; 19/10; 37/19; 39/19; 37/19; 2; 39/19; 2; 2; 2; 21/10; ; 19/10; 9/5; 11/5
Draw; 21/10; 11/5; 21/10; 11/5; 111/ 50; 21/10; 21/10; ; 11/5; 21/10; 21/10; 11/5; ; 43/20; 11/5; 2; 21/10; 21/10; 21/10; 23/10; 11/5; 85/40; 9/4; 21/10; 28/13; ; 2; 19/10; 21/10
