META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-03 18:18:06 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 2/9; 2/9; 1/4; 3/16; 1/5; 3/14; 2/9; 3/16; 2/15
Draw; 9/2; 9/2; 26/5; 9/2; 5; 9/2; 9/2; 5; 9/2; 63/13; 5; 24/5; 19/4; 49/10; 4
Levante; 14; 12; 18; 13; 18; 13; 16; 14; 14; 65/4; 13; 23/2; 18; 33/2; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-04 08:17:30 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 2/15
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 4; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-04 18:18:47 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 1/10
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 14/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-05 13:12:26 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 1/8
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 17; 65/4; 10/3
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-06 08:17:47 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 1/5; 2/11; 1/6; 1/5; 2/9; 2/9; 2/9; 2/9; 1/4; 3/16; 1/5; 3/14; 1/5; 1/5; 1/5; 
Draw; 9/2; 19/4; 9/2; 26/5; 5; 9/2; 19/4; 19/4; 9/2; 19/4; 5; 9/2; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 16; 18; 13; 16; 16; 14; 15; 14; 14; 65/4; 13; 23/2; 16; 17; 65/4; 7/2
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-07 12:18:49 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; 1/4; 6/25; 1/5; 2/11; 1/6; 1/5; 2/9; 2/9; 2/9; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 2/9; 2/9; 
Draw; 9/2; 19/4; 9/2; 53/10; 5; 9/2; 19/4; 19/4; 9/2; 5; 19/4; 11/2; 5; 63/13; 5; 24/5; 23/5; 19/4; 49/10; 14/5
Levante; 14; 16; 12; 19; 16; 18; 13; 16; 16; 14; 14; 15; 12; 65/4; 13; 23/2; 16; 17; 33/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-10 08:16:06 GMT+3; 2018-04-14 15:00; e70300-dr003
Atletico Madrid; 1/5; 1/4; 2/9; 2/9; 23/100; 1/5; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 2/9; 2/9; 3/16; 1/5; 2/9; 1/5; 1/5; 3/16; 2/9; 
Draw; 11/2; 9/2; 24/5; 5; 11/2; 11/2; 5; 5; 19/4; 5; 9/2; 5; 19/4; 11/2; 5; 5; 53/10; 24/5; 21/4; 96/19; 21/5; ; 
Levante; 12; 12; 18; 12; 20; 18; 18; 14; 18; 16; 16; 16; 14; 15; 12; 14; 73/4; 13; 15; 18; 16; 73/4; 73/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-11 12:54:04 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 1/5; 1/4; 2/9; 2/9; 23/100; 1/5; 1/5; 1/6; 1/5; 2/9; 1/5; 2/9; 1/5; 2/9; 1/5; 1/5; 2/9; 1/5; 1/5; 1/5; 2/9; 2/9; 1/5; 2/9; 
Draw; 5; 9/2; 19/4; 5; 28/5; 11/2; 19/4; 5; 19/4; 5; 9/2; 5; 11/2; 9/2; 96/19; 5; 53/10; 24/5; 21/4; 51/10; 23/5; 4; 28/5; 27/5; 
Levante; 14; 12; 16; 12; 37/2; 18; 16; 16; 18; 16; 16; 14; 15; 12; 14; 73/4; 27/2; 15; 18; 16; 37/2; 78/5; 81/5; 93/5; 18
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-11 20:18:00 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 1/5; 1/4; 2/9; 2/9; 23/00; 1/5; 2/11; 1/6; 1/5; 2/9; 1/5; 2/9; 1/5; 2/9; 3/14; 1/5; 2/9; 1/5; 1/5; 3/14; 2/9; 1/5; 2/9; ; 
