META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-01 15:58:37 GMT+2; ; e70300-dr003
Barcelona; 1/5; 2/9; 27/100; 2/9; 1/5; 1/6; 2/9; 2/9; 2/9; 2/9; 2/9; 1/5; 1/5; 3/13; 2/9; 2/9; 2/9; 1/5; 2/9
Draw; 11/2; 5; 29/5; 11/2; 11/2; 5; 23/4; 5; 11/2; 11/2; 21/4; 11/2; 51/10; 11/2; 11/2; 21/4; 53/10; 24/5; 
Malaga; 12; 12; 23/2; 11; 11; 10; 23/2; 12; 11; 11; 11; 11; 23/2; 44/5; 11; 12; 12; 11; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-02 08:19:44 GMT+2; 2018-03-10 19:45; e70300-dr003
Barcelona; 2/7; 2/7; 27/100; 1/4; 2/7; 1/5; 1/4; 1/4; 2/7; 2/7; 1/4; 5/18; 1/5; 2/9; 1/4; 1/4; 2/7; 5/18; 2/9
Draw; 19/4; 9/2; 29/5; 5; 9/2; 9/2; 11/2; 9/2; 9/2; 5; 79/17; 11/2; 51/10; 11/2; 21/4; 9/2; 47/10; 23/5; 
Malaga; 8; 10; 23/2; 11; 17/2; 9; 10; 10; 9; 15/2; 23/2; 9; 10; 15/2; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-02 13:58:52 GMT+2; 2018-03-10 19:45; e70300-dr003
Barcelona; 2/7; 1/4; 2/7; 1/4; 1/4; 1/5; 1/4; 1/4; 1/4; 2/7; 2/7; 2/7; 1/5; 2/9; 1/4; 1/4; 2/7; 2/7; 2/9
Draw; 19/4; 19/4; 51/10; 5; 19/4; 9/2; 11/2; 9/2; 9/2; 5; 9/2; 23/5; 11/2; 51/10; 11/2; 21/4; 9/2; 79/17; 23/5
Malaga; 8; 11; 25/2; 11; 9; 11; 10; 10; 29/4; 23/2; 9; 10; 10; 15/2; 10; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-03 12:18:10 GMT+2; 2018-03-10 19:45; e70300-dr003
Barcelona; 2/7; 2/7; 1/4; 2/7; 1/4; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 2/7; 1/5; 2/9; 1/4; 1/4; 2/7; 2/7; 2/9
Draw; 19/4; 19/4; 19/4; 51/10; 5; 19/4; 9/2; 19/4; 19/4; 5; 9/2; 5; 9/2; 49/11; 11/2; 51/10; 23/5; 5; 9/2; 9/2; 23/5
Malaga; 8; 11; 25/2; 11; 9; 21/2; 11; 10; 10; 10; 31/4; 23/2; 9; 10; 11; 31/4; 10; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-05 20:16:25 GMT+2; 2018-03-10 19:45; e70300-dr003
Barcelona; 2/7; 3/10; 2/7; 2/7; 31/100; 1/4; 2/7; 2/9; 2/7; 2/7; 2/7; 2/7; 3/10; 3/10; 30/100; 1/4; 5/18; 1/4; 4/13; 2/7; 2/7; 2/7; 5/18; 1/4; 1/4; 2/7
Draw; 9/2; 17/4; 9/2; 9/2; 24/5; 5; 9/2; 9/2; 19/4; 17/4; 9/2; 4; 17/4; 17/4; 9/2; 4; 43/10; 19/4; 24/5; 23/5; 19/4; 17/4; 43/10; 21/5; 10/3; 24/5
Malaga; 9; 17/2; 10; 23/2; 10; 17/2; 17/2; 10; 10; 10; 9; 17/2; 19/2; 19/2; 17/2; 17/2; 9; 11; 39/4; 9; 54/5; 54/5; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-06 15:02:16 GMT+2; 2018-03-10 19:45; e70300-dr003
Barcelona; 2/7; 3/10; 2/7; 2/7; 31/00; 2/7; 1/4; 1/4; 2/7; 2/7; 2/7; 2/7; 3/10; 3/10; 30/00; 1/4; 2/7; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 2/7
Draw; 9/2; 17/4; 9/2; 9/2; 49/10; 9/2; 9/2; 9/2; 19/4; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 22/5; 19/4; 49/10; 23/5; 17/4; 22/5; 23/5; 10/3; 24/5
Malaga; 9; 10; 11; 10; 10; 17/2; 10; 10; 10; 10; 17/2; 41/4; 19/2; 9; 17/2; 11; 41/4; 52/5; 56/5; 54/5; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-08 10:14:09 GMT+2; 2018-03-10 19:45; e70300-dr003
Barcelona; 1/4; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 1/4; 2/7; 2/9; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 2/9; 1/4; 1/4
Draw; 5; 9/2; 9/2; 9/2; 5; 19/4; 9/2; 19/4; 9/2; 5; 9/2; 17/4; 9/2; 5; 79/17; 19/4; 49/10; 23/5; 5; 9/2; 47/10; 23/5; 22/5; 5; 24/5; ; 
Malaga; 12; 11; 25/2; 11; 11; 10; 11; 11; 10; 11; 11; 19/2; 47/4; 19/2; 9; 11; 11; 12; 47/4; 57/5; 46/5; 61/5; 66/5; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-08 12:17:36 GMT+2; 2018-03-10 19:45; e70300-dr003
Barcelona; 1/4; 3/10; 1/4; 2/7; 29/00; 1/4; 1/4; 2/9; 1/4; 2/7; 2/9; 1/4; 3/10; 2/7; 2/7; 2/7; 5/19; 1/4; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4
Draw; 5; 17/4; 9/2; 9/2; 5; 19/4; 9/2; 19/4; 9/2; 5; 9/2; 17/4; 9/2; 5; 9/2; 23/5; 19/4; 49/10; 23/5; 5; 9/2; 79/17; 23/5; 22/5; 5; 24/5; 
Malaga; 12; 11; 25/2; 11; 11; 10; 11; 11; 10; 11; 11; 10; 47/4; 19/2; 9; 11; 11; 12; 12; 57/5; 59/5; 61/5; 66/5; ; ; ; 
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-09 12:16:50 GMT+2; 2018-03-10 19:45; e70300-dr003
Barcelona; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 2/9; 2/9; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4; 5/19; 1/4; 5/18; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 5; 9/2; 9/2; 9/2; 51/10; 5; 19/4; 9/2; 5; 9/2; 9/2; 9/2; 11/2; 5; 9/2; 23/5; 5; 49/10; 24/5; 19/4; 5; 26/5; 5; ; 
Malaga; 12; 10; 12; 11; 25/2; 13; 12; 11; 12; 12; 12; 10; 10; 13; 10; 11; 47/4; 11; 10; 23/2; 12; 62/5; 63/5; 64/5; 64/5
META; spain/la-liga-primera/malaga-v-barcelona; 2018-03-10 12:17:19 GMT+2; 2018-03-10 19:45; e70300-dr003
Barcelona; 4/11; 4/11; 4/11; 1/3; 37/00; 4/11; 1/3; 1/3; 4/11; 4/11; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 5/19; 1/3; 3/8; 4/11; 4/11; 4/11; 5/19; 4/11; 4/11; 4/11; 4/11
Draw; 4; 18/5; 18/5; 19/5; 43/10; 4; 7/2; 39/10; 15/4; 19/5; 7/2; 15/4; 19/5; 4; 15/4; 23/5; 4; 75/19; 39/10; 21/5; 4; 79/17; 7/2; 4; 4; ; 
Malaga; 8; 15/2; 8; 19/2; 9; 17/2; 17/2; 8; 8; 8; 17/2; 15/2; 17/2; 47/4; 9; 39/5; 8; 17/2; 15/2; 12; 46/5; 46/5; 46/5; ; ; ; 
