META; spain/la-liga-primera/eibar-v-alaves; 2018-04-03 18:18:03 GMT+3; 2018-04-15 11:00; e70300-dr003
Eibar; 4/5; 4/5; 89/100; 7/10; 3/4; 4/6; 4/5; 4/5; 5/6; 10/13; 4/5; 8/11; 3/4; 10/13; 10/13; 8/13
Draw; 12/5; 12/5; 13/5; 23/10; 12/5; 23/10; 23/10; 5/2; 12/5; 40/17; 23/10; 5/2; 5/2; 49/20; 40/17; 21/10
Alaves; 19/5; 15/4; 19/5; 18/5; 15/4; 7/2; 4; 15/4; 15/4; 15/4; 15/4; 18/5; 21/5; 15/4; 19/5; 3
META; spain/la-liga-primera/eibar-v-alaves; 2018-04-04 08:17:27 GMT+3; 2018-04-15 11:00; e70300-dr003
Eibar; 4/5; 4/5; 4/5; 89/100; 7/10; 3/4; 4/6; 10/13; 4/5; 4/5; 4/5; 5/6; 10/13; 4/5; 8/11; 10/13; 3/4; 10/13; 10/13; 8/13
Draw; 12/5; 23/10; 12/5; 13/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 5/2; 12/5; 40/17; 23/10; 5/2; 12/5; 5/2; 49/20; 40/17; 21/10
Alaves; 19/5; 19/5; 15/4; 19/5; 18/5; 15/4; 7/2; 4; 15/4; 4; 15/4; 15/4; 15/4; 15/4; 18/5; 39/10; 21/5; 15/4; 19/5; 3
META; spain/la-liga-primera/eibar-v-alaves; 2018-04-04 18:18:44 GMT+3; 2018-04-15 11:00; e70300-dr003
Eibar; 4/5; 4/5; 4/5; 21/25; 7/10; 3/4; 4/6; 10/13; 4/5; 4/5; 4/5; 4/5; 10/13; 4/5; 8/11; 10/13; 3/4; 10/13; 10/13; 1/16
Draw; 12/5; 23/10; 12/5; 129/0; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 5/2; 12/5; 40/17; 23/10; 5/2; 12/5; 5/2; 49/20; 40/17; 19/10
Alaves; 19/5; 19/5; 15/4; 21/5; 18/5; 15/4; 7/2; 4; 15/4; 4; 15/4; 15/4; 15/4; 15/4; 18/5; 39/10; 21/5; 15/4; 19/5; 4/11
META; spain/la-liga-primera/eibar-v-alaves; 2018-04-05 13:12:23 GMT+3; 2018-04-15 11:00; e70300-dr003
Eibar; 4/5; 4/5; 4/5; 21/25; 7/10; 3/4; 4/6; 10/13; 4/5; 4/5; 4/5; 4/5; 10/13; 4/5; 3/4; 10/13; 3/4; 10/13; 1/16
Draw; 12/5; 23/10; 12/5; 129/50; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 5/2; 12/5; 40/17; 23/10; 5/2; 12/5; 5/2; 40/17; 19/10
