META; spain/la-liga-primera/levante-v-leganes; 2017-12-07 10:55:40 GMT+2; 2017-12-19 20:30; e70300-dr003
Levante; ; ; ; ; ; ; 11/8; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; 11/8; ; ; ; ; 
Draw; ; ; ; ; ; ; 21/10; 21/10; ; ; ; ; ; ; ; ; ; ; 57/25; ; ; ; ; 11/5; ; ; ; ; 
Leganes; ; ; ; ; ; ; 21/10; 21/10; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; 21/10; ; ; ; ; 
META; spain/la-liga-primera/levante-v-leganes; 2017-12-08 12:13:52 GMT+2; 2017-12-19 20:30; e70300-dr003
Levante; ; ; ; ; ; ; 7/5; 11/8; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; 7/5; ; 11/8; ; ; ; ; 
Draw; ; ; ; ; ; ; 21/10; 21/10; ; ; ; ; ; ; ; ; ; ; 57/25; ; ; 11/5; ; 11/5; ; ; ; ; 
Leganes; ; ; ; ; ; ; 2; 21/10; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 85/40; ; 21/10; ; ; ; ; 
META; spain/la-liga-primera/levante-v-leganes; 2017-12-11 18:14:02 GMT+2; 2017-12-19 20:30; e70300-dr003
Levante; ; ; ; ; 28/17; 13/8; 8/5; 8/5; ; ; ; 13/8; ; 17/10; 17/10; ; 28/17; 8/5; 169/100; 14/9; ; 13/8; 13/8; 13/8; 8/5; ; ; 8/5; 
Leganes; ; ; ; ; 7/4; 19/10; 15/8; 15/8; ; ; ; 19/10; ; 37/20; 15/8; ; 7/4; 7/4; 51/25; 5/3; ; 15/8; 15/8; 9/5; 9/5; ; ; 7/5; 
Draw; ; ; ; ; 2; 21/10; 2; 21/10; ; ; ; 2; ; ; 2; ; 2; 39/19; 109/50; 28/13; ; 2; 85/40; 21/10; 39/19; ; ; 19/10; 
META; spain/la-liga-primera/levante-v-leganes; 2017-12-12 10:58:33 GMT+2; 2017-12-19 20:30; e70300-dr003
Levante; ; ; ; ; 28/17; 13/8; 8/5; 8/5; 8/5; ; ; 13/8; ; 17/10; 17/10; ; 28/17; 8/5; 169/100; 14/9; ; 13/8; 13/8; 13/8; 8/5; ; ; 8/5; 
Leganes; ; ; ; ; 7/4; 19/10; 15/8; 15/8; 19/10; ; ; 19/10; ; 37/20; 15/8; ; 7/4; 7/4; 51/25; 5/3; ; 15/8; 9/5; 9/5; 9/5; ; ; 7/5; 
Draw; ; ; ; ; 2; 21/10; 2; 21/10; 2; ; ; 2; ; ; 2; ; 2; 39/19; 109/50; 28/13; ; 2; 85/40; 21/10; 39/19; ; ; 19/10; 
