META; spain/la-liga-primera/deportivo-la-coruna-v-sevilla; 2018-04-03 18:18:16 GMT+3; 2018-04-17 18:30; e70300-dr003
Sevilla; 7/5; 13/10
Deportivo La Coruna; 56/25; 21/10
Draw; 49/20; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-sevilla; 2018-04-04 08:17:39 GMT+3; 2018-04-17 18:30; e70300-dr003
Sevilla; 7/5; 13/10
Deportivo La Coruna; 56/25; 21/10
Draw; 49/20; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-sevilla; 2018-04-04 18:18:57 GMT+3; 2018-04-17 18:30; e70300-dr003
Sevilla; 7/5; 13/10
Deportivo La Coruna; 56/25; 21/10
Draw; 49/20; 23/10
META; spain/la-liga-primera/deportivo-la-coruna-v-sevilla; 2018-04-05 13:12:35 GMT+3; 2018-04-17 18:30; e70300-dr003
Sevilla; 7/5
Deportivo La Coruna; 56/25
Draw; 49/20
META; spain/la-liga-primera/deportivo-la-coruna-v-sevilla; 2018-04-06 08:17:56 GMT+3; 2018-04-17 18:30; e70300-dr003
Sevilla; 7/5
Deportivo La Coruna; 56/25
Draw; 49/20
META; spain/la-liga-primera/deportivo-la-coruna-v-sevilla; 2018-04-07 12:18:59 GMT+3; 2018-04-17 18:30; e70300-dr003
Sevilla; 7/5
Deportivo La Coruna; 56/25
Draw; 49/20
META; spain/la-liga-primera/deportivo-la-coruna-v-sevilla; 2018-04-10 08:16:34 GMT+3; 2018-04-17 18:30; e70300-dr003
Sevilla; 13/10; 13/10; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 13/10; 6/5; 7/6; 6/5; 6/5; 6/5; 5/6
Deportivo La Coruna; 21/10; 117/50; 21/10; 21/10; 2; 11/5; 21/10; 11/5; 43/20; 11/5; 21/10; 39/19; 2; 11/5; 9/4; 21/10; 13/10
Draw; 23/10; 64/25; 12/5; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 40/17; 5/2; 12/5; 5/2; 12/5; 21/10
META; spain/la-liga-primera/deportivo-la-coruna-v-sevilla; 2018-04-11 12:54:14 GMT+3; 2018-04-17 18:30; e70300-dr003
Sevilla; 13/10; 37/25; 7/5; 7/5; 13/10; 6/5; 7/5; 6/4; 6/4; 11/8; 7/5; 7/5; 11/8; 6/5; 29/20; 7/5; 23/20; 7/5
Deportivo La Coruna; 21/10; 51/25; 19/10; 9/5; 9/5; 11/5; 15/8; 9/5; 9/5; 19/10; 19/10; 24/13; 5/3; 11/5; 9/5; 19/10; 7/5; 19/10
Draw; 23/10; 127/50; 12/5; 23/10; 11/5; 12/5; 12/5; 23/10; 47/20; 5/2; 12/5; 40/17; 5/2; 12/5; 5/2; 12/5; 9/5; 12/5
META; spain/la-liga-primera/deportivo-la-coruna-v-sevilla; 2018-04-11 20:18:10 GMT+3; 2018-04-17 18:30; e70300-dr003
