META; spain/la-liga-primera/atletico-madrid-v-alaves; 2017-12-07 10:55:24 GMT+2; 2017-12-16 19:45; e70300-dr003
Atletico Madrid; 1/6; ; 1/7; 1/6; 2/13; 1/7; 1/9; 1/8; 2/13; 1/7; ; 1/7; ; 2/13; ; ; ; 1/8; 1/6; 1/7; 2/13; 1/7; 2/15; 1/7; 1/7; ; 1/6; ; 
Draw; 6; ; 13/2; 11/2; 25/4; 7; 13/2; 13/2; 6; 13/2; ; 6; ; 6; ; ; ; 113/19; 37/5; 67/10; 6; 6; 13/2; 6; 6; ; 7/2; ; 
Alaves; 14; ; 28; 20; 14; 30; 22; 25; 18; 28; ; 22; ; 22; ; ; ; 19; 25; 20; 18; 20; 28; 25; 77/4; ; 1/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2017-12-08 12:13:36 GMT+2; 2017-12-16 19:45; e70300-dr003
Atletico Madrid; 1/6; 1/7; 1/7; 1/6; 2/13; 1/7; 1/9; 1/8; 2/13; 1/7; ; 1/7; ; 2/13; ; ; ; 1/7; 1/6; 1/7; 2/13; 1/7; 2/15; 1/7; 1/7; ; 1/6; ; 
Draw; 6; 6; 13/2; 11/2; 25/4; 7; 13/2; 13/2; 6; 13/2; ; 6; ; 6; ; ; ; 6; 37/5; 67/10; 6; 6; 13/2; 6; 6; ; 7/2; ; 
Alaves; 14; 22; 28; 20; 14; 30; 22; 25; 18; 28; ; 22; ; 22; ; ; ; 15; 25; 20; 18; 20; 28; 25; 61/4; ; 1/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2017-12-11 18:13:47 GMT+2; 2017-12-16 19:45; e70300-dr003
Atletico Madrid; 1/6; 1/5; 1/5; 1/6; 3/19; 2/11; 1/6; 1/6; 1/5; 1/5; 2/11; 1/5; ; 1/5; 1/5; ; 3/19; 3/16; 19/100; 2/11; 1/5; 1/5; 2/11; 2/11; 3/16; ; 1/5; 2/11; 1/5
Draw; 11/2; 5; 11/2; 11/2; 6; 11/2; 11/2; 11/2; 6; 5; 6; 5; ; 5; 11/2; ; 6; 91/17; 69/10; 29/5; 23/4; 11/2; 6; 21/4; 27/5; ; 11/2; 4; 6
Alaves; 16; 14; 18; 20; 31/2; 20; 18; 20; 13; 18; 18; 16; ; 16; 14; ; 31/2; 55/4; 20; 33/2; 13; 14; 16; 20; 55/4; ; 76/5; 17; 84/5
META; spain/la-liga-primera/atletico-madrid-v-alaves; 2017-12-12 10:58:17 GMT+2; 2017-12-16 19:45; e70300-dr003
Atletico Madrid; 1/6; 1/5; 1/5; ; 3/19; 2/11; 1/6; 1/6; 1/5; 1/5; 2/11; 1/5; ; 1/5; 1/5; ; 3/19; 1/5; 21/100; 2/11; 1/5; 1/5; 2/11; 2/11; 1/5; ; 1/5; 2/11; 
Draw; 11/2; 5; 11/2; ; 23/4; 11/2; 11/2; 11/2; 6; 5; 6; 5; ; 5; 11/2; ; 23/4; 61/11; 63/10; 29/5; 23/4; 11/2; 6; 21/4; 28/5; ; 11/2; 4; 
Alaves; 16; 14; 18; ; 33/2; 19; 18; 18; 13; 18; 18; 16; ; 16; 14; ; 33/2; 14; 18; 33/2; 13; 14; 16; 20; 57/4; ; 78/5; 17; 
