META; spain/la-liga-primera/barcelona-v-eibar; 2017-09-19 13:48:07 GMT+3; 2017-09-19 21:00; e70300-dr003
Barcelona; 1/9; 1/8; 1/8; 1/8; 1/9; 13/100; 2/15; 1/10; 2/17; 1/9; 1/9; 1/9; 1/9; 1/10; 1/8; 2/17; 2/17; 1/9; 1/10; 1/8; 2/17; 1/9; 1/12; 1/9; 1/11; ; 1/8; 2/15; 1/7
Draw; 9; 15/2; 9; 7; 9; 9; 9; 10; 19/2; 17/2; 9; 8; 17/2; 10; 9; 9; 9; 9; 37/4; 11; 9; 9; 12; 17/2; 9; ; 10; 51/5; 52/5
Eibar; 14; 16; 25; 20; 20; 16; 20; 20; 17; 28; 28; 20; 22; 22; 16; 20; 33/2; 17; 79/4; 22; 37/2; 17; 18; 18; 18; ; 24; 24; 25
