META; spain/la-liga-primera/deportivo-la-coruna-v-malaga; 2018-03-18 14:17:29 GMT+2; 2018-04-08 15:00; e70300-dr003
Deportivo La Coruna; 81/100
Draw; 11/4
Malaga; 41/10
META; spain/la-liga-primera/deportivo-la-coruna-v-malaga; 2018-03-19 08:15:46 GMT+2; 2018-04-08 15:00; e70300-dr003
Deportivo La Coruna; 17/20; 81/100; 4/5; 20/23; 10/11; 5/6; 17/20; 10/11
Draw; 5/2; 11/4; 5/2; 12/5; 12/5; 5/2; 49/20; 12/5
Malaga; 16/5; 41/10; 10/3; 10/3; 29/10; 18/5; 16/5; 29/10
META; spain/la-liga-primera/deportivo-la-coruna-v-malaga; 2018-03-20 08:16:27 GMT+2; 2018-04-08 15:00; e70300-dr003
Deportivo La Coruna; 17/20; 17/20; 89/100; 4/5; 11/13; 20/23; 10/11; 10/11; 13/15; 4/5; 11/13; 20/23; 17/20; 10/11
Draw; 5/2; 5/2; 139/50; 5/2; 12/5; 5/2; 47/20; 5/2; 12/5; 5/2; 12/5; 5/2; 49/20; 27/11
Malaga; 16/5; 10/3; 7/2; 10/3; 7/2; 16/5; 10/3; 16/5; 3; 17/5; 17/5; 10/3; 10/3; 3
META; spain/la-liga-primera/deportivo-la-coruna-v-malaga; 2018-03-21 14:17:14 GMT+2; 2018-04-06 19:00; e70300-dr003
Deportivo La Coruna; 17/20; 17/20; 10/11; 23/25; 17/20; 11/13; 20/23; 10/11; 10/11; 5/6; 4/5; 7/8; 11/13; 20/23; 17/20; 5/6
Draw; 5/2; 5/2; 23/10; 129/0; 12/5; 12/5; 5/2; 47/20; 5/2; 40/17; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5
Malaga; 16/5; 10/3; 10/3; 73/20; 16/5; 7/2; 16/5; 10/3; 16/5; 13/4; 17/5; 37/13; 17/5; 17/5; 10/3; 33/10
META; spain/la-liga-primera/deportivo-la-coruna-v-malaga; 2018-03-22 12:36:11 GMT+2; 2018-04-06 19:00; e70300-dr003
Deportivo La Coruna; 17/20; 17/20; 10/11; 23/25; 17/20; 11/13; 20/23; 10/11; 10/11; 13/15; 4/5; 7/8; 11/13; 20/23; 17/20; 13/15
Draw; 5/2; 5/2; 23/10; 129/50; 12/5; 12/5; 23/10; 47/20; 5/2; 40/17; 5/2; 27/11; 12/5; 5/2; 49/20; 40/17
Malaga; 16/5; 10/3; 10/3; 73/20; 16/5; 7/2; 7/2; 10/3; 16/5; 16/5; 17/5; 37/13; 17/5; 17/5; 10/3; 16/5
META; spain/la-liga-primera/deportivo-la-coruna-v-malaga; 2018-03-23 14:42:51 GMT+2; 2018-04-06 19:00; e70300-dr003
Deportivo La Coruna; 17/20; 17/20; 10/11; 23/25; 17/20; 11/13; 20/23; 10/11; 10/11; 5/6; 4/5; 7/8; 11/13; 20/23; 9/10; 13/15
Draw; 5/2; 5/2; 23/10; 129/0; 12/5; 12/5; 23/10; 47/20; 5/2; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5
Malaga; 16/5; 10/3; 10/3; 73/20; 16/5; 7/2; 7/2; 10/3; 16/5; 16/5; 17/5; 37/13; 17/5; 10/3; 16/5; 16/5
