META; spain/la-liga-primera/real-madrid-v-eibar; 2017-10-18 12:02:40 GMT+3; 2017-10-22 19:45; e70300-dr003
Real Madrid; 1/12; 1/9; 1/10; 1/10; 1/11; 1/12; 1/14; 1/12; 1/10; 1/10; 1/10; 1/10; 1/10; 1/12; 1/10; 1/11; 1/14; 1/11; 1/9; 1/9; 1/10; 1/10; 1/11; 1/10; 1/11; ; 1/10; 1/12; 1/9
Draw; 10; 17/2; 10; 9; 11; 12; 10; 10; 10; 9; 17/2; 17/2; 17/2; 11; 10; 17/2; 21/2; 39/4; 12; 10; 19/2; 9; 11; 17/2; 10; ; 19/2; 53/5; 59/5
Eibar; 22; 18; 28; 18; 22; 22; 18; 25; 19; 28; 20; 22; 22; 28; 18; 16; 19; 17; 25; 20; 19; 20; 20; 22; 69/4; ; 25; 24; 21
