META; spain/la-liga-primera/barcelona-v-deportivo-la-coruna; 2017-12-07 10:55:35 GMT+2; 2017-12-17 19:45; e70300-dr003
Barcelona; ; ; 1/14; 1/14; 1/14; 1/14; 223214/6249993; 1/16; 1/12; 1/14; ; 1/14; ; 1/12; 1/12; ; 1/14; 1/16; 2/25; 1/12; 1/12; 1/16; 1/18; 1/16; 1/16; ; 1/10; ; 
Draw; ; ; 11; 11; 10; 13; 14; 13; 12; 11; ; 10; ; 10; 11; ; 10; 11; 31/2; 23/2; 23/2; 11; 12; 10; 11; ; 37/5; ; 
Deportivo La Coruna; 22; ; 40; 22; 20; 40; 28; 35; 19; 40; ; 28; ; 28; ; ; 20; 81/4; 33; 20; 19; 25; 40; 33; 41/2; ; 16; ; 
META; spain/la-liga-primera/barcelona-v-deportivo-la-coruna; 2017-12-08 12:13:47 GMT+2; 2017-12-17 19:45; e70300-dr003
Barcelona; ; 1/11; 1/14; 1/14; 1/14; 1/14; 1/25; 1/16; 1/12; 1/14; ; 1/14; ; 1/12; 1/12; ; 1/14; 1/16; 2/25; 1/12; 1/12; 1/16; 1/18; 1/16; 1/16; ; 1/10; ; 
Draw; ; 9; 11; 11; 10; 13; 12; 13; 12; 11; ; 10; ; 10; 11; ; 10; 11; 31/2; 23/2; 23/2; 11; 14; 10; 45/4; ; 38/5; ; 
Deportivo La Coruna; 22; 22; 40; 22; 20; 40; 28; 35; 19; 40; ; 25; ; 28; ; ; 20; 81/4; 33; 20; 19; 25; 28; 33; 81/4; ; 16; ; 
META; spain/la-liga-primera/barcelona-v-deportivo-la-coruna; 2017-12-11 18:13:57 GMT+2; 2017-12-17 19:45; e70300-dr003
Barcelona; ; 1/11; 1/12; 1/14; ; 1/16; 1/25; 1/16; 1/12; 1/14; 1/14; 1/14; ; 1/12; 1/12; ; 1/14; 1/16; 17/200; 1/12; 1/12; 1/14; 1/14; 1/12; 1/16; ; 1/10; 1/14; 1/10
Draw; ; 9; ; 11; ; 14; 12; 13; 12; ; 14; 10; ; 10; 12; ; 10; 23/2; 29/2; 23/2; 23/2; 11; 12; 10; 47/4; ; 59/5; 15/2; 69/5
Deportivo La Coruna; 22; 22; ; 22; ; 35; 28; 33; 19; 40; 25; 25; ; 28; 20; ; 20; 87/4; 33; 20; 19; 22; 25; 20; 22; ; 26; ; 20
META; spain/la-liga-primera/barcelona-v-deportivo-la-coruna; 2017-12-12 10:58:27 GMT+2; 2017-12-17 19:45; e70300-dr003
Barcelona; ; 1/10; 1/12; ; ; 1/16; 1/25; 1/16; 1/12; 1/12; 1/12; 1/12; ; 1/12; 1/11; ; 1/14; 1/16; 9/100; 1/12; 1/12; 1/14; 1/12; 1/12; 1/16; ; 1/10; 1/14; 
Draw; ; 9; ; ; ; 14; 12; 13; 12; ; 12; 9; ; 10; 10; ; 10; 12; 15; 23/2; 23/2; 11; 11; 10; 12; ; 59/5; 36/5; 
Deportivo La Coruna; 22; 20; 28; ; ; 35; 28; 33; 19; 28; 25; 25; ; 25; 22; ; 20; 43/2; 28; 20; 19; 22; 22; 20; 87/4; ; 20; ; 
