META; spain/la-liga-primera/athletic-bilbao-v-real-madrid; 2017-12-01 18:24:10 GMT+2; 2017-12-02 19:45; e70300-dr003
Real Madrid ; 4/9; 1/2; 4/9; 1/2; 5/11; 4/9; 4/9; 2/5; 5/11; 4/9; 9/20; 4/9; 4/9; 40/85; 9/20; 4/9; 5/11; 7/15; 49/100; 5/11; 5/11; 4/9; 9/20; 21/50; 7/15; ; 4/9; 4/9; 1/2
Draw; 7/2; 7/2; 7/2; 10/3; 15/4; 4; 7/2; 7/2; 15/4; 18/5; 19/5; 7/2; 15/4; 37/10; 15/4; 15/4; 15/4; 7/2; 39/10; 19/5; 37/10; 7/2; 19/5; 7/2; 39/11; ; 7/2; 7/2; 7/2
Athletic Bilbao; 13/2; 5; 11/2; 5; 23/4; 6; 11/2; 6; 23/4; 11/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 23/4; 29/5; 61/10; 59/10; 23/4; 11/2; 6; 13/2; 76/13; ; 29/5; 6; 31/5
