META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-18 14:17:20 GMT+2; 2018-04-08 15:00; e70300-dr003
Barcelona; 1/10; 1/12
Draw; 25/2; 9
Leganes; 30; 25
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-19 08:15:37 GMT+2; 2018-04-08 15:00; e70300-dr003
Barcelona; 1/8; 1/10; 1/12; 2/13; 2/15; 2/13
Draw; 7; 25/2; 8; 96/17; 7; 57/10
Leganes; 18; 30; 25; 18; 20; 73/4
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-20 08:16:18 GMT+2; 2018-04-08 15:00; e70300-dr003
Barcelona; 1/8; 1/8; 1/7; 1/11; 2/17; 1/8; 1/7; 1/7; 1/7; 2/17; 2/17; 2/15; 1/7
Draw; 7; 19/2; 8; 15/2; 7; 15/2; 6; 15/2; 7; ; ; ; 
Leganes; 18; 16; 22; 20; 19; 20; 20; 16; 35/2; 37/2; 18; 18; 71/4
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-21 14:17:26 GMT+2; 2018-04-07 18:45; e70300-dr003
Barcelona; 1/8; 1/8; 1/7; 1/7; 1/10; 2/17; 1/8; 1/7; 1/7; 2/17; 2/17; 2/17; 2/17; 2/17; 2/15; 2/17
Draw; 7; 13/2; 19/2; 8; 15/2; 7; 15/2; 13/2; 7; 71/10; 15/2; 8; 27/4; ; ; 
Leganes; 18; 16; 18; 22; 20; 19; 20; 20; 16; 33/2; 37/2; 14; 18; 22; 18; 67/4
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-22 12:36:24 GMT+2; 2018-04-07 18:45; e70300-dr003
Barcelona; 1/8; 1/8; 1/7; 1/7; 1/14; 1/10; 1/14; 2/17; 1/8; 1/7; 1/7; 2/17; 2/17; 2/17; 2/17; 1/9; 2/15; 2/17
Draw; 7; 13/2; 19/2; 7; 7; 15/2; 7; 15/2; 27/4; 7; 71/10; 15/2; 8; 27/4; ; ; ; 
Leganes; 18; 16; 18; 22; 20; 20; 20; 19; 20; 20; 16; 67/4; 37/2; 14; 18; 25; 18; 67/4
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-23 14:43:05 GMT+2; 2018-04-07 18:45; e70300-dr003
Barcelona; 1/8; 1/8; 1/7; 1/7; 1/14; 1/10; 1/14; 2/17; 1/8; 1/7; 1/7; 2/17; 2/17; 2/17; 2/17; 1/9; 2/15; 2/17
Draw; 7; 13/2; 19/2; 7; 7; 15/2; 7; 15/2; 27/4; 7; 71/10; 15/2; 8; 27/4; ; ; ; 
Leganes; 18; 16; 18; 22; 20; 20; 20; 19; 20; 20; 16; 67/4; 37/2; 14; 18; 25; 18; 67/4
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-26 12:16:42 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/8; 1/7; 1/7; 1/14; 1/10; 1/14; 2/17; 1/9; 1/8; 1/7; 1/7; 1/9; 2/17; 2/17; 2/17; 2/17; 1/9; 2/15; 2/17
Draw; 7; 15/2; 13/2; 19/2; 7; 15/2; 7; 15/2; 15/2; 7; 15/2; 7; 27/4; 7; 71/10; 15/2; 8; 27/4; ; 
Leganes; 18; 18; 18; 22; 20; 20; 20; 19; 22; 20; 20; 16; 18; 67/4; 37/2; 14; 18; 25; 18; 67/4
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-27 08:16:26 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/7; 1/7; 1/7; 1/14; 1/11; 1/14; 2/17; 1/9; 1/8; 1/7; 1/7; 1/9; 2/17; 2/17; 2/17; 2/17; 2/17; 2/15; 2/17
Draw; 7; 13/2; 19/2; 7; 7; 15/2; 15/2; 7; 15/2; 7; 27/4; 7; 71/10; 15/2; 8; 13/2; 27/4; ; ; 
Leganes; 18; 16; 18; 22; 20; 22; 20; 19; 22; 20; 20; 16; 16; 67/4; 37/2; 14; 18; 22; 18; 67/4
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-28 08:17:10 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/7; 1/7; 1/7; 1/14; 1/11; 1/14; 2/17; 1/9; 1/8; 1/7; 1/7; 1/9; 2/17; 2/17; 2/17; 2/17; 2/17; 2/15; 2/17
Draw; 7; 13/2; 19/2; 7; 7; 15/2; 15/2; 7; 15/2; 7; 27/4; 7; 71/10; 15/2; 8; 13/2; 27/4; ; ; 
Leganes; 18; 16; 18; 22; 20; 22; 20; 19; 22; 20; 20; 16; 16; 17; 37/2; 14; 18; 22; 18; 67/4
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-29 08:16:51 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/7; 1/7; 1/7; 2/17; 1/11; 1/12; 2/17; 1/9; 1/8; 1/7; 1/7; 1/9; 2/17; 2/17; 2/17; 2/17; 2/15; 2/17; 
Draw; 7; 13/2; 19/2; 8; 7; 15/2; 15/2; 7; 15/2; 7; 71/10; 15/2; 8; 27/4; ; ; ; ; ; 
Leganes; 18; 16; 18; 22; 22; 22; 18; 19; 20; 20; 20; 16; 16; 67/4; 37/2; 14; 18; 22; 18; 67/4
META; spain/la-liga-primera/barcelona-v-leganes; 2018-03-31 12:17:41 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/7; 1/7; 1/7; 2/17; 1/11; 1/12; 2/17; 1/9; 1/8; 1/7; 1/7; 1/9; 2/17; 2/17; 2/17; 2/17; 2/15; 2/17; 
Draw; 7; 13/2; 19/2; 8; 7; 15/2; 15/2; 7; 15/2; 15/2; 7; 71/10; 15/2; 8; 27/4; ; ; ; ; 
Leganes; 18; 16; 18; 22; 22; 22; 18; 19; 20; 20; 20; 16; 18; 67/4; 37/2; 14; 18; 22; 18; 17
META; spain/la-liga-primera/barcelona-v-leganes; 2018-04-03 18:17:26 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/7; 1/8; 1/8; 1/7; 7/50; 2/17; 1/11; 1/10; 2/17; 1/9; 1/9; 1/8; 2/15; 1/8; 2/15; 1/9; 2/17; 2/17; 1/8; 2/17; 1/10; 1/8; 2/17; 1/7; 1/9; 1/8; 2/13
Draw; 13/2; 7; 15/2; 13/2; 19/2; 8; 15/2; 15/2; 15/2; 15/2; 7; 7; 15/2; 7; 31/4; 7; 15/2; 17/2; 7; 31/4; 17/2; 27/5; 9; 43/5; ; ; 
Leganes; 16; 18; 28; 18; 22; 28; 25; 22; 24; 28; 22; 20; 22; 22; 20; 20; 20; 37/2; 20; 22; 28; 22; 81/4; 27; 24; 27; 23
META; spain/la-liga-primera/barcelona-v-leganes; 2018-04-04 08:16:50 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/8; 1/8; 1/7; 7/50; 2/17; 1/11; 1/10; 2/17; 1/9; 1/9; 1/8; 2/15; 1/8; 2/15; 1/9; 2/17; 2/17; 1/8; 2/17; 1/9; 1/8; 2/17; 2/15; 1/9; 1/8; 1/7
Draw; 15/2; 15/2; 15/2; 13/2; 19/2; 8; 15/2; 15/2; 15/2; 15/2; 7; 7; 15/2; 15/2; 8; 8; 15/2; 8; 8; 17/2; 39/5; 9; 44/5; ; ; ; 
Leganes; 16; 18; 28; 18; 22; 28; 25; 22; 24; 28; 22; 20; 22; 22; 20; 18; 20; 37/2; 20; 22; 28; 22; 81/4; 27; 24; 27; 26
META; spain/la-liga-primera/barcelona-v-leganes; 2018-04-04 18:18:06 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/8; 1/9; 1/7; 7/50; 2/17; 1/12; 1/10; 2/17; 1/9; 1/9; 1/9; 2/15; 1/8; 2/15; 1/9; 2/17; 2/17; 1/8; 2/17; 1/10; 1/8; 2/17; 1/8; 2/15; 1/8; 2/15
Draw; 15/2; 15/2; 8; 13/2; 19/2; 8; 17/2; 15/2; 15/2; 8; 15/2; 15/2; 7; 15/2; 15/2; 8; 8; 15/2; 17/2; 7; 17/2; 44/5; 9; 44/5; ; ; 
Leganes; 16; 18; 33; 18; 22; 28; 28; 22; 24; 33; 22; 22; 22; 22; 20; 20; 20; 37/2; 20; 22; 28; 25; 81/4; 27; 25; 27; 26
META; spain/la-liga-primera/barcelona-v-leganes; 2018-04-05 13:11:46 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/8; 1/8; 1/7; 2/15; 2/17; 1/11; 1/10; 2/17; 1/8; 1/10; 1/8; 2/15; 1/8; 2/15; 1/9; 2/17; 2/17; 1/8; 2/17; 1/10; 2/17; 2/15; 2/15; 1/8; 2/15
Draw; 8; 15/2; 15/2; 13/2; 10; 8; 15/2; 15/2; 8; 7; 7; 15/2; 15/2; 8; 8; 15/2; 17/2; 8; 17/2; 44/5; 44/5; 44/5; ; ; ; 
Leganes; 20; 18; 28; 18; 25; 30; 25; 25; 24; 28; 22; 22; 22; 22; 20; 20; 41/2; 37/2; 20; 22; 28; 83/4; 27; 25; 27; 26
META; spain/la-liga-primera/barcelona-v-leganes; 2018-04-06 08:17:08 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/7; 1/8; 1/7; 3/20; 1/8; 1/11; 1/10; 2/17; 1/8; 1/9; 1/8; 1/7; 1/7; 2/15; 1/9; 2/17; 1/8; 1/7; 2/17; 2/17; 2/15; 1/7; 2/13; 2/15; 
Draw; 8; 15/2; 13/2; 44/5; 8; 15/2; 15/2; 15/2; 15/2; 7; 8; 15/2; 15/2; 8; 15/2; 8; 15/2; 17/2; 17/2; 39/5; 44/5; 44/5; ; ; ; 
Leganes; 20; 16; 28; 18; 22; 30; 25; 25; 24; 28; 22; 20; 22; 28; 20; 20; 41/2; 20; 20; 22; 30; 41/2; 27; 24; 27; 26
META; spain/la-liga-primera/barcelona-v-leganes; 2018-04-07 12:18:06 GMT+3; 2018-04-07 19:45; e70300-dr003
Barcelona; 1/8; 1/8; 1/9; 1/7; 1/7; 1/9; 1/12; 1/10; 2/17; 1/9; 1/9; 1/9; 1/8; 1/8; 1/8; 1/7; 1/9; 1/8; 1/9; 2/17; 2/15; 1/9; 2/15; 1/7; 1/7; 1/7
Draw; 9; 15/2; 8; 44/5; 17/2; 17/2; 8; 15/2; 8; 15/2; 8; 17/2; 8; 8; 15/2; 43/5; 15/2; 17/2; 33/4; 9; 44/5; 46/5; 46/5; ; ; 
Leganes; 16; 18; 33; 25; 25; 30; 28; 25; 24; 33; 20; 22; 25; 33; 20; 22; 83/4; 20; 25; 22; 22; 21; 29; 29; 29; 30
