META; spain/la-liga-primera/eibar-v-valencia; 2017-12-07 10:55:22 GMT+2; 2017-12-16 17:30; e70300-dr003
Valencia; ; ; ; 21/20; 1; 21/20; 21/20; 1; 21/20; 21/20; ; 11/10; ; 21/20; 21/20; ; 1; 21/20; 117/100; 68/67; 21/20; 21/20; 21/20; 1; 21/20; ; 1/100; ; 
Eibar; ; ; ; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 13/5; 5/2; ; 5/2; 40/17; 63/25; 28/11; 5/2; 13/5; 5/2; 53/20; 40/17; ; 4/11; ; 
Draw; ; ; ; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 49/20; 13/5; ; 5/2; 27/11; 27/10; 45/17; 5/2; 5/2; 13/5; 5/2; 5/2; ; 21/10; ; 
META; spain/la-liga-primera/eibar-v-valencia; 2017-12-08 12:13:34 GMT+2; 2017-12-16 17:30; e70300-dr003
Valencia; ; 1; ; 21/20; 1; 21/20; 21/20; 1; 21/20; 21/20; ; 11/10; ; 21/20; 21/20; ; 1; 21/20; 117/100; 68/67; 21/20; 21/20; 21/20; 1; 21/20; ; 1/100; ; 
Eibar; ; 13/5; ; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 13/5; 5/2; ; 5/2; 40/17; 63/25; 28/11; 5/2; 13/5; 5/2; 53/20; 40/17; ; 4/11; ; 
Draw; ; 5/2; ; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 49/20; 13/5; ; 5/2; 27/11; 27/10; 45/17; 5/2; 5/2; 13/5; 5/2; 27/11; ; 21/10; ; 
META; spain/la-liga-primera/eibar-v-valencia; 2017-12-11 18:13:45 GMT+2; 2017-12-16 17:30; e70300-dr003
Valencia; 6/5; 5/4; 23/17; 5/4; 6/5; 5/4; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; ; 27/20; 13/10; ; 6/5; 13/10; 69/50; 17/13; 13/10; 13/10; 13/10; 5/4; 13/10; ; 6/5; 13/10; 11/8
Eibar; 23/10; 21/10; ; 21/10; 21/10; 11/5; 19/10; 21/10; 21/10; 19/10; 21/10; 2; ; 2; 21/10; ; 21/10; 2; 54/25; 37/19; 21/10; 85/40; 2; 21/10; 39/19; ; 2; 15/8; 2
Draw; 23/10; 12/5; ; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; ; 12/5; 12/5; ; 12/5; 40/17; 129/50; 13/5; 12/5; 12/5; 5/2; 12/5; 40/17; ; 21/10; 19/10; 5/2
META; spain/la-liga-primera/eibar-v-valencia; 2017-12-12 10:58:15 GMT+2; 2017-12-16 17:30; e70300-dr003
Valencia; 13/10; 7/5; 23/17; ; 6/5; 13/10; 11/8; 5/4; 13/10; 27/20; 11/8; 13/10; ; 11/8; 7/5; ; 6/5; 23/17; 34/25; 23/17; 13/10; 13/10; 11/8; 13/10; 23/17; ; 13/10; 13/10; 
Eibar; 21/10; 19/10; 19/10; ; 21/10; 21/10; 19/10; 21/10; 21/10; 19/10; 21/10; 19/10; ; 39/20; 2; ; 21/10; 2; 109/50; 19/10; 21/10; 2; 19/10; 2; 39/19; ; 19/10; 9/5; 
Draw; 23/10; 12/5; ; ; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 5/2; ; 12/5; 23/10; ; 12/5; 40/17; 13/5; 28/11; 12/5; 12/5; 5/2; 12/5; 40/17; ; 9/4; 19/10; 
