META; spain/la-liga-primera/getafe-v-valencia; 2017-12-01 18:24:16 GMT+2; 2017-12-03 15:15; e70300-dr003
Valencia; 13/10; 7/5; 26/19; 7/5; 23/17; 11/8; 11/8; 13/10; 23/17; 7/5; 7/5; 7/5; 23/20; 11/8; 11/8; 7/5; 23/17; 7/5; 38/25; 16/11; 25/19; 13/10; 6/4; 11/8; 7/5; ; 7/5; 7/5; 7/5
Getafe; 2; 15/8; 28/15; 21/10; 2; 21/10; 15/8; 2; 21/10; 15/8; 2; 15/8; 11/5; 39/20; 19/10; 19/10; 2; 19/10; 99/50; 19/10; 39/19; 15/8; 19/10; 2; 37/19; ; 19/10; 15/8; 21/10
Draw; 12/5; 12/5; 12/5; 21/10; 12/5; 12/5; 12/5; 23/10; 27/11; 12/5; 12/5; 12/5; 5/2; 49/20; 5/2; 12/5; 12/5; 40/17; 127/50; 5/2; 12/5; 12/5; 5/2; 49/20; 12/5; ; 12/5; 9/4; 12/5
