META; spain/la-liga-primera/deportivo-la-coruna-v-valencia; 2017-12-26 12:45:34 GMT+2; 2018-01-13 19:45; e70300-dr003
Valencia; ; ; ; ; 27/25; ; 20/21; 10/11; 9/10; ; ; 20/23; ; ; ; ; 11/13; 10/11; 11/13; ; 9/10; 10/11; ; 10/11; 10/11; ; ; ; 
Draw; ; ; ; ; 143/ 50; ; 5/2; 5/2; 5/2; ; ; 11/4; ; ; ; ; 5/2; 27/11; 5/2; ; 5/2; 13/5; ; 51/20; 27/11; ; ; ; 
Deportivo La Coruna; ; ; ; ; 66/25; ; 13/5; 11/4; 3; ; ; 14/5; ; ; ; ; 3; 29/10; 3; ; 3; 14/5; ; 57/20; 29/10; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-valencia; 2017-12-31 12:14:27 GMT+2; 2018-01-13 19:45; e70300-dr003
Valencia; 6/5; ; ; ; 27/25; 11/10; 11/10; 1; 21/20; ; ; 11/10; ; 6/5; 11/10; 11/10; 1; 11/10; 1; 9/8; 21/20; 6/5; 23/20; 23/20; 11/10; ; 4/5; ; 
Deportivo La Coruna; 11/5; ; ; ; 66/25; 12/5; 9/4; 12/5; 5/2; ; ; 23/10; ; 9/4; 9/4; 23/10; 5/2; 9/4; 5/2; 2; 5/2; 23/10; 9/4; 9/4; 9/4; ; 13/8; ; 
Draw; 12/5; ; ; ; 143/ 50; 13/5; 12/5; 13/5; 5/2; ; ; 5/2; ; 5/2; 11/4; 12/5; 5/2; 23/10; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 40/17; ; 21/10; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-valencia; 2018-01-07 12:14:34 GMT+2; 2018-01-13 19:45; e70300-dr003
Valencia; 6/5; 5/4; ; 6/5; 133/100; 6/5; 5/4; 6/5; 6/5; ; 5/4; 13/10; ; 13/10; 5/4; 5/4; 15/13; 5/4; 15/13; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; ; 21/20; ; 
Deportivo La Coruna; 11/5; 2; ; 21/10; 111/50; 9/4; 2; 11/5; 28/13; ; 11/5; 21/10; ; 2; 21/10; 21/10; 11/5; 39/19; 11/5; 24/13; 28/13; 2; 2; 2; 21/10; ; 2; ; 
Draw; 12/5; 5/2; ; 5/2; 131/50; 5/2; 5/2; 5/2; 5/2; ; 5/2; 23/10; ; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; ; 12/5; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-valencia; 2018-01-10 12:20:33 GMT+2; ; e70300-dr003
Valencia; 5/4; 13/10; 13/10; 6/5; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; ; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; 4/3; 13/10; 13/10; 13/10; 13/10; 13/10; ; 5/4; 6/5; 11/8
Deportivo La Coruna; 21/10; 19/10; 19/10; 21/10; 85/40; 2; 19/10; 2; 2; 2; 21/10; 2; ; 2; 21/10; 2; 21/10; 2; 21/10; 37/19; 2; 2; 2; 39/20; 39/19; ; 2; 19/10; 2
Draw; 12/5; 5/2; 5/2; 5/2; 133/50; 5/2; 12/5; 12/5; 28/11; 5/2; 13/5; 12/5; ; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; 45/17; 5/2; 5/2; 13/5; 51/20; 27/11; ; 12/5; 21/10; 13/5
META; spain/la-liga-primera/deportivo-la-coruna-v-valencia; 2018-01-10 13:41:48 GMT+2; 2018-01-13 19:45; e70300-dr003
Valencia; 5/4; 13/10; 13/10; 6/5; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; ; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; 4/3; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 6/5; 11/8
Deportivo La Coruna; 21/10; 19/10; 19/10; 21/10; 85/40; 2; 19/10; 2; 2; 2; 21/10; 2; ; 2; 21/10; 2; 21/10; 2; 21/10; 37/19; 2; 2; 2; 39/20; 39/19; 2; 19/10; 2
Draw; 12/5; 5/2; 5/2; 5/2; 133/ 50; 5/2; 12/5; 12/5; 28/11; 5/2; 13/5; 12/5; ; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; 45/17; 5/2; 5/2; 13/5; 51/20; 27/11; 12/5; 21/10; 13/5
