META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-23 10:15:42 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 3/10; 1/6; 1/6; 1/16
Draw; 5; 9/2; 9/2; 1/9
Espanyol; 23/2; 13; 13; 1/9
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-24 08:15:43 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 19/10; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 1/4
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-25 08:15:45 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/12
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 2; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 1/4
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-25 12:16:22 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/12
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 2; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 2/5
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-26 12:16:20 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/16
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 2; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 1/3
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-27 08:15:22 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 3/10
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 2; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 1/3
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-28 12:18:14 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 2/5; 19/50; 1/3; 1/3; 2/7; 3/11; 1/3; 7/20; 4/11; 1/3; 4/13; 3/11; 1/3; 1/3; 1/16
Draw; 16/5; 9/2; 15/4; 7/2; 7/2; 17/4; 7/2; 18/5; 15/4; 39/11; 7/2; 21/5; 18/5; 18/5; 9/5
Espanyol; 8; 83/10; 10; 19/2; 9; 11; 10; 10; 17/2; 35/4; 19/2; 10; 21/2; 35/4; 1/3
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-30 14:34:09 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 4/9; 4/9; 4/9; 47/00; 4/9; 4/9; 2/5; 5/11; 4/9; 4/9; 1/3; 40/85; 1/2; 4/9; 3/7; 4/9; 10/21; 5/11; 9/20; 4/9; 1/3; 2/5; 1/2; 2/5
Draw; 3; 3; 13/4; 16/5; 3; 13/4; 3; 14/5; 15/4; 3; 3; 31/10; 3; 41/13; 16/5; 16/5; 31/10; 14/5; 13/5; 14/5; 10/3; ; ; 
Espanyol; 17/2; 15/2; 7; 38/5; 7; 13/2; 7; 15/2; 15/2; 10; 13/2; 15/2; 27/4; 7; 13/2; 7; 27/4; 8/11; 26/5; 29/5; 39/5; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-05-01 12:14:14 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 1/2; 4/9; 4/9; 1/2; 47/00; 4/9; 7/15; 2/5; 5/11; 4/9; 9/20; 4/9; 1/3; 1/2; 1/2; 4/9; 5/11; 4/9; 10/21; 5/11; 9/20; 5/11; 4/11; 1/2; 4/9
Draw; 11/4; 3; 14/5; 3; 13/4; 16/5; 3; 13/4; 14/5; 3; 15/4; 29/10; 3; 3; 41/13; 16/5; 31/10; 3; 14/5; 2; 14/5; 3; ; ; 
Espanyol; 13/2; 15/2; 13/2; 6; 77/10; 7; 13/2; 13/2; 7; 13/2; 7; 13/2; 10; 13/2; 7; 27/4; 7; 13/2; 7; 27/4; 9/2; 2/9; 29/5; 37/5; 
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-05-02 11:05:09 GMT+3; 2018-05-06 15:15; e70300-dr003
Atletico Madrid; 4/9; 4/9; 4/9; 4/9; 4/9; 2/5; 2/5; 5/11; 4/9; 4/9; 4/9; 1/3; 40/85; 9/20; 4/9; 3/7; 4/9; 6/13; 5/11; 4/9; 3/7; 2/5; 2/5; 4/9; 4/9
Draw; 3; 29/10; 3; 16/5; 3; 3; 29/10; 3; 15/4; 3; 16/5; 3; 31/10; 3; 16/5; 56/19; 16/5; 41/13; 14/5; 27/10; 14/5; 3; ; ; 
