META; english/fa-cup/arsenal-v-man-city; 2017-03-14 02:24:41 GMT+2; 2017-04-22 18:45; Nothing; Xlenovo
Man City; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal; ; 23/10; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-14 06:22:11 GMT+2; 2017-04-22 18:45; Nothing; Xlenovo
Man City; 11/10; 11/10; ; 11/10; ; ; 11/10; ; ; ; ; ; ; ; ; ; 21/20; ; ; 21/20; ; ; ; ; ; ; ; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; ; 12/5; ; ; ; ; ; ; ; ; ; 40/17; ; ; 40/17; ; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; 11/5; ; ; 5/2; ; ; ; ; ; ; ; ; ; 27/11; ; ; 27/11; ; ; ; ; ; ; ; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-14 10:23:05 GMT+2; 2017-04-23 18:45; Nothing; Xlenovo
Man City; 11/10; 11/10; ; 11/10; ; 21/20; 11/10; ; ; ; ; ; 11/10; ; ; ; 11/10; ; ; 11/10; 6/5; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; 11/5; ; 12/5; 5/2; ; ; ; ; ; 5/2; ; ; ; 12/5; ; ; 12/5; 51/20; ; ; ; ; ; ; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; 23/10; 12/5; ; ; ; ; ; 47/20; ; ; ; 23/10; ; ; 23/10; 129/50; ; ; ; ; ; ; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-14 14:26:04 GMT+2; 2017-04-23 18:45; Nothing; Xlenovo
Man City; 11/10; 11/10; ; 11/10; ; 21/20; 21/20; ; ; ; ; ; 21/20; ; ; ; 21/20; ; ; 21/20; 6/5; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; 11/5; ; 12/5; 5/2; ; ; ; ; ; 5/2; ; ; ; 12/5; ; ; 12/5; 51/20; ; ; ; ; ; ; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; 23/10; 5/2; ; ; ; ; ; 5/2; ; ; ; 40/17; ; ; 40/17; 129/50; ; ; ; ; ; ; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-14 18:22:35 GMT+2; 2017-04-23 18:45; Nothing; Xlenovo
Man City; 11/10; 11/10; ; 11/10; ; 21/20; 6/5; ; ; ; ; ; 6/5; ; ; ; 15/13; ; ; 15/13; 6/5; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; 11/5; ; 12/5; 12/5; ; ; ; ; ; 47/20; ; ; ; 23/10; ; ; 23/10; 51/20; ; ; ; ; ; ; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; 23/10; 11/5; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; 9/4; 129/50; ; ; ; ; ; ; ; 
