Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 1/2; 1/2; 7/15; 5/11; 4/9; 7/15; 27/50; 1/2; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; 16/5; 3; 10/3; 10/3; 31/10; 16/5; 3; 31/10; 7/2; 16/5; 13/4; 16/5; ; 14/5; ; 
Oxford; 6; 11/2; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 6; 6; 11/2; 6; 23/4; 6; 6; 23/4; 57/10; 24/5; 6; 11/2; ; 11/2; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-11 10:24:10 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 1/2; 1/2; 5/11; 5/11; 4/9; 5/11; 27/50; 1/2; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; 16/5; 3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 7/2; 16/5; 13/4; 16/5; ; 14/5; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 6; 6; 11/2; 6; 23/4; 6; 6; 23/4; 57/10; 24/5; 6; 11/2; ; 11/2; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-11 14:29:25 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 7/15; 5/11; 4/9; 7/15; 27/50; 1/2; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 7/2; 16/5; 13/4; 16/5; ; 14/5; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; ; 6; 11/2; 6; 57/10; 6; 6; 57/10; 57/10; 24/5; 6; 11/2; ; 11/2; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-11 18:23:25 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 7/15; 5/11; 4/9; 7/15; 27/50; ; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 7/2; ; 13/4; 16/5; ; 14/5; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; ; 6; 11/2; 6; 57/10; 6; 6; 57/10; 57/10; ; 6; 11/2; ; 11/2; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-11 22:28:30 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 5/11; 5/11; 4/9; 5/11; 27/50; 1/2; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 7/2; 16/5; 13/4; 16/5; ; 14/5; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; ; 6; 11/2; 6; 23/4; 6; 6; 23/4; 57/10; 24/5; 6; 11/2; ; 11/2; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-12 02:26:06 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 5/11; 5/11; 4/9; 5/11; 27/50; 1/2; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 7/2; 16/5; 13/4; 16/5; ; 14/5; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; ; 6; 11/2; 6; 23/4; 6; 6; 23/4; 57/10; 24/5; 6; 11/2; ; 11/2; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-12 06:23:40 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 5/11; 5/11; 4/9; 5/11; 27/50; 1/2; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 7/2; 16/5; 13/4; 16/5; ; 14/5; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; ; 6; 11/2; 6; 23/4; 6; 6; 23/4; 57/10; 24/5; 6; 11/2; ; 11/2; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-12 10:24:05 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 5/11; 5/11; 4/9; 5/11; 27/50; 1/2; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 7/2; 16/5; 13/4; 16/5; ; 14/5; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; ; 6; 11/2; 6; 23/4; 6; 6; 23/4; 57/10; 24/5; 6; 11/2; ; 11/2; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-12 14:24:23 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 5/11; 5/11; 4/9; 5/11; 27/50; 1/2; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 7/2; 16/5; 13/4; 16/5; ; 14/5; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; ; 6; 11/2; 6; 23/4; 6; 6; 23/4; 57/10; 24/5; 6; 11/2; ; 11/2; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-12 22:24:00 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 27/50; 1/2; 6/13; 1/2; ; 1/2; ; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 7/2; 16/5; 13/4; 3; ; 14/5; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 57/10; 6; 6; 57/10; 57/10; 24/5; 6; 11/2; ; 5; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-13 02:23:23 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 27/50; 1/2; 7/15; 1/2; ; 4/9; ; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 7/2; 16/5; 13/4; 3; ; 3; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 57/10; 6; 28/5; 57/10; 57/10; 24/5; 23/4; 11/2; ; 24/5; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-13 06:22:33 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 27/50; 1/2; 7/15; 1/2; ; 4/9; ; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 7/2; 16/5; 13/4; 3; ; 3; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 23/4; 6; 28/5; 23/4; 57/10; 24/5; 23/4; 11/2; ; 24/5; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-13 10:23:09 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 17/35; 5/11; 4/9; 17/35; 27/50; 1/2; 7/15; 1/2; ; 4/9; ; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; ; 3; 10/3; 10/3; 41/13; 16/5; 3; 41/13; 7/2; 16/5; 13/4; 3; ; 3; ; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; ; 11/2; 11/2; 6; 57/10; 6; 28/5; 57/10; 57/10; 24/5; 23/4; 11/2; ; 24/5; ; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-13 14:23:36 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 27/50; 1/2; 7/15; 1/2; ; 4/9; 4/9; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; 16/5; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 7/2; 16/5; 13/4; 3; ; 3; 27/10; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 57/10; 6; 28/5; 57/10; 57/10; 24/5; 23/4; 11/2; ; 24/5; 23/5; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-13 18:24:52 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
