META; spain/la-liga-segunda/tenerife-v-valladolid; 2018-01-22 12:20:06 GMT+2; 2018-01-28 19:00; e70300-dr003
Tenerife; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; ; ; ; 16/11; 4/7; ; 
Draw; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; 39/19; 20/21; ; 
Valladolid; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; ; ; ; ; ; 19/10; 20/21; ; 
META; spain/la-liga-segunda/tenerife-v-valladolid; 2018-01-23 02:19:52 GMT+2; 2018-01-28 19:00; e70300-dr003
Tenerife; 23/20; 23/20; 15/13; 5/4; 31/25; ; ; ; 6/5; 23/20; 23/20; 6/5; 6/5; ; 6/5; ; 6/5; 15/13; 6/5; 17/14; 6/5; 11/10; 6/5; 23/20; 15/13; 8/11; 10/9; 
Draw; 23/10; 21/10; 21/10; 2; 23/10; ; ; ; 28/13; 21/10; 21/10; 21/10; 11/5; ; 21/10; ; 11/5; 28/13; 11/5; 11/5; 28/13; 2; 23/10; 11/5; 28/13; 5/4; 2; 
Valladolid; 12/5; 23/10; 23/10; 11/5; 131/ 50; ; ; ; 9/4; 23/10; 12/5; 23/10; 11/5; ; 12/5; ; 9/4; 12/5; 9/4; 79/40; 9/4; 23/10; 12/5; 12/5; 12/5; 1/4; 21/10; 
META; spain/la-liga-segunda/tenerife-v-valladolid; 2018-01-23 17:26:34 GMT+2; 2018-01-28 19:00; e70300-dr003
Tenerife; 5/4; 23/20; 5/4; 5/4; 67/50; ; ; ; 6/5; 5/4; 5/4; 5/4; 5/4; ; 13/10; ; 6/5; 5/4; 6/5; 5/4; 6/5; 6/5; 13/10; 5/4; 5/4; 4/5; 23/20; 13/10
Draw; 23/10; 85/40; 21/10; 2; 9/4; ; ; ; 28/13; 21/10; 21/10; 11/5; 11/5; ; 11/5; ; 11/5; 28/13; 11/5; 9/4; 28/13; 2; 9/4; 11/5; 28/13; 5/4; 19/10; 11/5
Valladolid; 11/5; 9/4; 11/5; 11/5; 61/25; ; ; ; 9/4; 11/5; 11/5; 21/10; 21/10; ; 21/10; ; 9/4; 11/5; 9/4; 17/9; 9/4; 2; 9/4; 11/5; 9/4; 1/4; 2; 12/5
META; spain/la-liga-segunda/tenerife-v-valladolid; 2018-01-24 12:21:35 GMT+2; 2018-01-28 19:00; e70300-dr003
Tenerife; 5/4; 5/4; 5/4; 5/4; 67/50; ; ; 11/10; 6/5; 5/4; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 5/4; 6/5; 5/4; 6/5; 6/5; 13/10; 5/4; 5/4; ; 6/5; 23/20; 13/10
Draw; 23/10; 21/10; 21/10; 2; 9/4; ; ; 2; 28/13; 21/10; 21/10; 11/5; 11/5; ; 11/5; 21/10; 11/5; 28/13; 11/5; 9/4; 28/13; 2; 9/4; 11/5; 28/13; ; 2; 19/10; 11/5
Valladolid; 11/5; 85/40; 11/5; 11/5; 61/25; ; ; 21/10; 9/4; 11/5; 11/5; 11/5; 21/10; ; 21/10; 11/5; 9/4; 9/4; 9/4; 17/9; 9/4; 2; 9/4; 11/5; 9/4; ; 12/5; 2; 12/5
