META; spain/la-liga-segunda/leonesa-v-numancia; 2017-12-26 12:55:09 GMT+2; 2018-01-07 17:00; e70300-dr003
Leonesa; 8/5; ; 17/11; ; ; ; ; ; 6/4; 31/20; ; 8/5; ; ; 13/8; ; 17/11; 17/11; 17/11; 16/11; 6/4; ; 13/8; 13/8; 8/5; ; ; 7/5; 
Numancia; 2; ; 7/4; ; ; ; ; ; 2; 7/4; ; 7/4; ; ; 9/5; ; 19/10; 9/5; 19/10; 28/17; 2; ; 15/8; 9/5; 24/13; ; ; 13/8; 
Draw; 15/8; ; 2; ; ; ; ; ; 24/13; 2; ; 2; ; ; 2; ; 2; 19/10; 2; 11/5; 24/13; ; 85/40; 2; 19/10; ; ; 19/10; 
META; spain/la-liga-segunda/leonesa-v-numancia; 2017-12-31 12:21:19 GMT+2; 2018-01-07 17:00; e70300-dr003
Leonesa; 8/5; 6/4; 17/11; 8/5; 44/25; ; ; ; 8/5; 31/20; ; 8/5; 6/4; ; 13/8; ; 6/4; 17/11; 6/4; 16/11; 17/11; 6/4; 13/8; 13/8; 8/5; ; ; 7/5; 
Numancia; 2; 7/4; 17/10; 17/10; 193/ 100; ; ; ; 24/13; 17/10; ; 7/4; 7/4; ; 9/5; ; 24/13; 7/4; 24/13; 28/17; 9/5; 7/4; 9/5; 9/5; 9/5; ; ; 13/8; 
Draw; 15/8; 2; 21/10; 2; 21/10; ; ; ; 21/10; 21/10; ; 21/10; 21/10; ; 2; ; 21/10; 37/19; 21/10; 11/5; 39/19; 15/8; 11/5; 2; 37/19; ; ; 19/10; 
META; spain/la-liga-segunda/leonesa-v-numancia; 2018-01-07 12:18:45 GMT+2; 2018-01-07 17:00; e70300-dr003
Leonesa; 11/8; 7/5; 16/11; 11/8; 8/5; ; 7/5; ; 7/5; 27/20; 6/4; 29/20; 6/4; 29/20; 7/5; 7/5; 7/5; 16/11; 7/5; 13/9; 11/8; 13/10; 29/20; 6/4; 16/11; ; 6/4; 6/4; 17/10
Draw; 19/10; 2; 21/10; 2; 109/50; ; 2; ; 39/19; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 39/19; 21/10; 11/5; 39/19; 2; 11/5; 21/10; 21/10; ; 21/10; 21/10; 21/10
Numancia; 12/5; 19/10; 9/5; 2; 103/50; ; 2; ; 21/10; 2; 2; 15/8; 15/8; 37/20; 2; 2; 21/10; 39/19; 21/10; 16/9; 21/10; 15/8; 2; 2; 39/19; ; 2; 21/10; 19/10
